"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Berberidaceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Celastraceae"	"Cistaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Grossulariaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Linaceae"	"Lythraceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Scrophulariaceae"	"Solanaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Tofieldiaceae"	"Ulmus"	"Urticaceae"	"Vitaceae"
16474	25765	"Buntes Moor"	46.995904	11.140446	5	"AWI"	5	-103	35	-29	0.573065902578797	0	16.9770773638968	0.0716332378223496	0	0	0	0.501432664756447	0	0	2.36389684813754	0	0.0716332378223496	0	0	0	0	0	0	0	1.64756446991404	0	39.8997134670487	0	0	0.573065902578797	0	3.43839541547278	0	0	0.0716332378223496	0	0	0.286532951289398	0	0.214899713467049	0	0	0	0	0.286532951289398	8.02292263610315	9.45558739255014	0	0	12.3209169054441	0	0	0	0.214899713467049	0	0	0.644699140401146	0	0.787965616045845	0	0.286532951289398	0	0.143266475644699	0	0	0.286532951289398	0.0716332378223496	0	0.286532951289398	0.501432664756447	0
16474	25765	"Buntes Moor"	46.995904	11.140446	10	"AWI"	10	-86	64	-13	0.117050331642606	0	9.2469761997659	0.0780335544284042	0	0	0	0.429184549356223	0	0	0.663285212641436	0	0	0	0	0	0	0	0	0	0.429184549356223	0	77.7214202106906	0	0	0	0	0.702301989855638	0	0	0	0	0	0.234100663285213	0	0	0	0	0.0390167772142021	0	0	4.56496293406165	4.60397971127585	0	0	0	0	0	0	0.0780335544284042	0	0	0.351150994927819	0	0.0780335544284042	0.117050331642606	0	0	0.234100663285213	0	0	0	0.0390167772142021	0	0	0.273117440499415	0
16474	25765	"Buntes Moor"	46.995904	11.140446	15	"AWI"	15	-61	103	7	0	0	7.35294117647059	0.432525951557093	0	0	0	0.259515570934256	0	0	1.29757785467128	0	0	0	0	0	0	0.519031141868512	0	0	1.3840830449827	0	22.5778546712803	0	0	1.29757785467128	0	0.519031141868512	0	0	0	0	0.0865051903114187	0.951557093425606	0	0	0	0	0	0	0.0865051903114187	4.1522491349481	14.4463667820069	0	0	30.9688581314879	0	0	0	0.432525951557093	0	0.0865051903114187	0	0.173010380622837	1.47058823529412	8.99653979238754	0.605536332179931	0	0.173010380622837	0	0	0.259515570934256	0	0	0.0865051903114187	1.3840830449827	0
16474	25765	"Buntes Moor"	46.995904	11.140446	20	"AWI"	20	-20	171	51	0	0	4.69361147327249	0.195567144719687	0	0	0	0.195567144719687	0	0	0.847457627118644	0	0.0651890482398957	0	0	0	0	0.586701434159061	0	0	0.717079530638853	0	29.400260756193	0	0	0	0	0.260756192959583	0	0	0	0	4.36766623207301	1.23859191655802	0	0.130378096479791	0	0	0	0	0.0651890482398957	2.41199478487614	8.60495436766623	0	0	24.380704041721	0	0	0.0651890482398957	0.45632333767927	0	0.0651890482398957	1.82529335071708	0.130378096479791	0.847457627118644	16.7535853976532	0.195567144719687	0	0	0	0	0.325945241199478	0	0	0.0651890482398957	1.10821382007823	0
16474	25765	"Buntes Moor"	46.995904	11.140446	25	"AWI"	25	-3	276	91	0.16597510373444	0	6.55601659751037	0.16597510373444	0	0	0	0.33195020746888	0	0	2.4896265560166	0	0	0	0	0	0	0.4149377593361	0	0	1.49377593360996	0	27.8838174273859	0	0	0	0	0.4149377593361	0	0	0	0	0.0829875518672199	2.40663900414938	0	0.24896265560166	0	0	0	0	0.0829875518672199	5.56016597510373	7.38589211618257	0	0	37.344398340249	0	0	0.16597510373444	0.33195020746888	0	0	0	0.0829875518672199	1.57676348547718	1.74273858921162	0.16597510373444	0	0.0829875518672199	0	0.0829875518672199	0.663900414937759	0	0	0.16597510373444	1.90871369294606	0
16474	25765	"Buntes Moor"	46.995904	11.140446	30	"AWI"	30	42	409	172	0.216216216216216	0	6.48648648648649	0	0	0	0	0.648648648648649	0	0	1.83783783783784	0	0.108108108108108	0	0	0	0	0.540540540540541	0	0	1.72972972972973	0	39.2432432432432	0	0.108108108108108	0.648648648648649	0	1.08108108108108	0	0	0	0	0.324324324324324	1.18918918918919	0	0.108108108108108	0	0	0.108108108108108	0	0	3.45945945945946	5.51351351351351	0	0	28.972972972973	0	0.108108108108108	1.40540540540541	0.216216216216216	0	0	1.72972972972973	0.324324324324324	0.864864864864865	1.40540540540541	0.216216216216216	0	0.108108108108108	0	0	0.108108108108108	0	0	0	1.18918918918919	0
16474	25765	"Buntes Moor"	46.995904	11.140446	35	"AWI"	35	84	665	299	0.177935943060498	0	3.46975088967972	0.177935943060498	0	0	0	0.355871886120996	0	0	1.33451957295374	0	0	0	0	0	0	0.0889679715302491	0	0	1.06761565836299	0	53.6476868327402	0	0	0.444839857651246	0	1.33451957295374	0	0	0	0	0.266903914590747	0.97864768683274	0	0.0889679715302491	0	0	0.0889679715302491	0	0.0889679715302491	3.02491103202847	5.33807829181495	0	0	24.4661921708185	0	0	0	0.177935943060498	0	0.0889679715302491	0	0.266903914590747	0.889679715302491	0.533807829181495	0	0	0.177935943060498	0	0	0.266903914590747	0.0889679715302491	0	0	1.06761565836299	0
16474	25765	"Buntes Moor"	46.995904	11.140446	40	"AWI"	40	109	1003	417	0	0	0	0.287631831255992	0	0	0	0.958772770853308	0	0	2.4928092042186	0	0	0	0.383509108341323	0	0	0.0958772770853308	0.191754554170662	0	10.3547459252157	0	34.1323106423778	4.02684563758389	0	0.479386385426654	0	0.958772770853308	0.0958772770853308	0	0	0	3.25982742090125	1.05465004793864	0	0	0	0	0	0	0.0958772770853308	2.87631831255992	6.71140939597315	0	0	24.1610738255034	0	0.0958772770853308	0	0.287631831255992	0	0	0	0.0958772770853308	1.72579098753595	0.862895493767977	0.191754554170662	0	0.191754554170662	0	0.0958772770853308	0.479386385426654	0.191754554170662	0	0.575263662511985	2.58868648130393	0
16474	25765	"Buntes Moor"	46.995904	11.140446	45	"AWI"	45	200	1186	545	0.31496062992126	0	11.3385826771654	0.15748031496063	0	0	0	1.88976377952756	0	0	3.77952755905512	0	0	0	0	0	0	0.78740157480315	0	0	2.83464566929134	0	46.6141732283465	0	0	1.25984251968504	0	2.51968503937008	0	0	0	0	0.31496062992126	0.62992125984252	0	0	0	0	0	0	0	2.83464566929134	6.92913385826772	0	0	0	0	0	0	0.31496062992126	0	0	0	0	3.93700787401575	1.25984251968504	0.31496062992126	0	0	0	0	1.41732283464567	0.31496062992126	0	0.78740157480315	9.44881889763779	0
16474	25765	"Buntes Moor"	46.995904	11.140446	50	"AWI"	50	272	1271	696	0	0	7.05663881151346	0	0	0	0	1.0213556174559	0	0	0.74280408542247	0	0	0	0	0	0	0.464252553389044	0	0	1.76415970287837	0	51.6248839368617	0	0	0	0	0.278551532033426	0	0	0	0	0.185701021355617	0.74280408542247	0	0	0	0	0.0928505106778087	0	0	3.80687093779016	5.84958217270195	0	0	19.0343546889508	0	0	0.464252553389044	0.0928505106778087	0	0	2.87836583101207	0.185701021355617	0	2.1355617455896	0	0	0.649953574744661	0	0	0	0	0	0	0.928505106778087	0
