"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asparagaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cedrus"	"Cistaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Geraniaceae"	"Heliotropium"	"Juglans"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Linaceae"	"Lythraceae"	"Olea"	"Onagraceae"	"Ostrya.Carpinus"	"Phillyrea"	"Picea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Platanus"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Prosopis"	"Prunus"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Rutaceae"	"Salix"	"Sambucus"	"Taxus"	"Thalictrum"	"Thymelaeaceae"	"Tilia"	"Ulmus"	"Verbenaceae"	"Vitaceae"	"Zygophyllaceae"
15737	24166	"Pinarbasi"	37.46667	30.05	45	"AWI"	45	253	953	577	0	0	0	0	9	0	0	0	0	0	0	0	0	1	0	6	0	0	0	39	0	0	0	0	0	0	0	0	0	2	0	1	0	0	1	0	0	0	0	246	0	0	2	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15737	24166	"Pinarbasi"	37.46667	30.05	65	"AWI"	65	514	1215	873	0	0	0	0	17	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1332	0	0	0	0	1	0	0	0	1	5	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	1	0	0	0	19	19	0	0	1	4	0	0	0	0	0	1	0	0	0	0	0	0
15737	24166	"Pinarbasi"	37.46667	30.05	80	"AWI"	80	745	1416	1091	0	0	0	0	26	0	0	0	0	0	0	0	0	0	1	1	0	0	0	192	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	180	0	0	1	0	0	0	0	0	1	13	16	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0
15737	24166	"Pinarbasi"	37.46667	30.05	90	"AWI"	90	960	1535	1225	1	0	9	0	11	0	0	0	0	0	0	0	0	0	0	2	0	0	0	116	1	0	0	0	0	0	0	0	1	7	0	0	0	0	1	0	0	0	0	151	0	0	1	0	554	0	0	0	0	19	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15737	24166	"Pinarbasi"	37.46667	30.05	100	"AWI"	100	1186	1767	1397	0	1	0	0	0	0	0	0	0	0	0	0	0	5	1	3	1	0	1	1685	12	0	0	0	1	1	0	0	2	0	0	0	0	0	5	0	0	1	0	250	1	0	3	0	1018	0	0	0	0	35	63	0	0	2	5	0	0	0	0	0	1	0	0	2	0	0	0
15737	24166	"Pinarbasi"	37.46667	30.05	120	"AWI"	120	1472	2857	1971	0	4	0	0	38	0	0	0	0	0	0	0	0	0	0	16	0	2	0	1049	0	0	0	0	0	4	0	0	3	5	1	0	0	0	12	0	1	0	0	116	0	0	0	1	56	2	0	0	0	29	23	0	0	2	6	0	0	0	1	0	0	0	0	0	0	1	0
15737	24166	"Pinarbasi"	37.46667	30.05	130	"AWI"	130	1646	3274	2274	0	2	0	0	0	0	0	1	0	0	0	1	0	1	0	4	0	0	0	809	0	0	0	0	0	1	0	0	4	1	1	0	0	0	14	1	0	1	0	95	1	0	0	0	115	2	0	0	0	20	26	0	0	5	4	0	0	0	0	0	1	0	0	2	0	1	0
15737	24166	"Pinarbasi"	37.46667	30.05	140	"AWI"	140	1840	3677	2586	0	0	0	0	0	1	0	0	0	0	0	0	0	5	3	7	0	0	0	311	0	0	0	0	0	2	1	0	5	0	0	0	0	0	10	0	0	0	0	123	1	0	0	0	42	1	0	0	0	14	14	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	1
15737	24166	"Pinarbasi"	37.46667	30.05	150	"AWI"	150	2052	4052	2881	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	9	0	0	0	257	0	0	0	0	0	1	0	0	0	0	1	0	0	0	4	0	0	0	0	160	0	0	0	0	22	0	0	0	0	11	6	0	1	1	1	0	0	0	0	0	0	0	0	1	0	1	0
15737	24166	"Pinarbasi"	37.46667	30.05	160	"AWI"	160	2281	4388	3190	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	28	0	0	0	155	0	0	0	0	0	1	0	0	5	0	0	0	0	0	0	0	0	0	0	377	3	0	0	0	9	3	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
