"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Celastraceae"	"Cistaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Iridaceae"	"Juniperus"	"Larix"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rhododendron"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Scrophulariaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
16480	25776	"Wasenmoos"	47.30543	12.41723	10	"AWI"	10	4	1601	432	6	0	96	0	0	3	0	0	0	41	0	1	0	0	0	3	2	0	0	26	157	0	0	0	0	24	3	0	0	2	0	0	0	155	62	17	127	0	0	0	11	0	0	0	0	0	42	1	0	0	1	0	0	0	1	2
16480	25776	"Wasenmoos"	47.30543	12.41723	20	"AWI"	20	241	2431	1044	14	1	313	0	0	1	0	1	0	77	1	0	0	0	0	0	0	0	0	21	28	0	0	0	0	22	2	0	0	1	1	0	1	110	76	14	81	0	0	0	10	0	0	0	0	0	12	0	0	0	2	0	0	0	2	4
16480	25776	"Wasenmoos"	47.30543	12.41723	30	"AWI"	30	600	3028	1648	25	0	1293	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	3	7	0	0	0	0	13	0	0	1	0	0	0	1	58	9	4	0	0	0	0	4	0	0	0	0	0	5	0	0	0	0	0	0	0	1	0
16480	25776	"Wasenmoos"	47.30543	12.41723	40	"AWI"	40	1046	3575	2251	129	3	806	1	0	0	0	4	0	298	0	0	0	0	0	0	0	0	0	26	2	0	0	0	2	55	5	0	0	0	0	0	5	163	16	1	0	0	0	0	10	0	0	0	0	2	2	0	0	0	1	0	0	0	7	0
16480	25776	"Wasenmoos"	47.30543	12.41723	50	"AWI"	50	1526	4013	2873	66	0	1084	1	0	4	0	3	0	105	0	0	0	0	0	0	0	0	0	17	3	0	0	0	0	41	4	0	0	1	0	0	1	134	5	1	0	0	0	0	16	0	0	0	0	0	0	2	0	0	1	0	1	0	4	0
16480	25776	"Wasenmoos"	47.30543	12.41723	60	"AWI"	60	2193	4377	3523	181	1	400	2	0	1	0	3	0	85	0	0	0	0	0	0	0	0	0	22	8	0	0	0	0	66	9	0	0	0	0	0	0	141	5	1	0	0	0	0	13	0	0	0	0	1	2	3	0	0	0	0	0	1	8	0
16480	25776	"Wasenmoos"	47.30543	12.41723	70	"AWI"	70	2975	4632	4087	124	0	186	0	0	3	0	1	0	287	0	0	0	0	0	0	0	0	0	32	23	0	0	0	0	67	15	0	0	0	0	0	1	281	29	1	0	0	0	0	21	0	0	0	0	0	0	0	0	0	2	0	1	6	10	0
16480	25776	"Wasenmoos"	47.30543	12.41723	77.5	"AWI"	77.5	4023.5	4780	4453.5	84	0	90	0	0	0	0	0	0	322	0	0	0	0	0	0	1	0	0	26	22	0	0	0	0	53	2	0	0	0	0	0	0	233	33	0	0	0	0	0	14	6	0	0	0	0	0	0	0	0	1	0	1	3	10	0
16480	25776	"Wasenmoos"	47.30543	12.41723	80	"AWI"	80	4230	4888	4588	25	0	34	0	0	0	0	0	0	897	0	0	0	0	0	0	0	0	0	11	12	0	0	0	0	27	4	0	0	0	0	0	0	109	3	0	0	0	0	0	7	0	0	0	0	0	0	1	0	0	0	0	0	0	3	1
16480	25776	"Wasenmoos"	47.30543	12.41723	82.5	"AWI"	82.5	4440	4969	4701	10	1	36	0	0	2	0	0	0	692	0	0	0	0	0	0	0	0	0	14	7	0	0	0	0	13	3	0	0	0	0	0	0	109	4	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16480	25776	"Wasenmoos"	47.30543	12.41723	85	"AWI"	85	4530	5171	4815	58	0	86	0	0	1	0	0	0	179	0	0	0	0	0	0	0	0	1	23	17	0	0	0	0	33	3	0	0	0	0	0	0	247	8	1	0	0	0	0	9	0	0	0	0	0	0	1	0	0	1	0	0	0	5	2
16480	25776	"Wasenmoos"	47.30543	12.41723	90	"AWI"	90	4613	5772	5008	74	0	141	0	0	0	0	2	0	37	0	0	0	0	0	0	0	0	0	26	13	0	0	0	0	28	8	0	0	0	0	0	0	369	24	0	0	0	0	0	32	0	0	0	0	0	1	0	1	0	2	0	0	3	11	1
16480	25776	"Wasenmoos"	47.30543	12.41723	100	"AWI"	100	4841	6514	5452	45	2	79	0	0	0	0	1	0	71	0	0	0	0	0	0	0	0	0	16	60	0	0	0	0	16	12	2	0	0	0	0	1	382	30	0	0	0	0	0	15	0	0	0	0	0	2	15	0	0	2	0	0	1	3	1
16480	25776	"Wasenmoos"	47.30543	12.41723	110	"AWI"	110	5097	7132	5928	110	3	104	0	0	0	0	2	0	67	0	0	0	0	0	0	0	0	0	26	100	0	0	0	0	10	6	0	0	0	0	0	0	441	22	1	0	0	0	0	18	0	0	0	0	0	1	0	0	0	0	0	0	3	3	2
16480	25776	"Wasenmoos"	47.30543	12.41723	120	"AWI"	120	5408	7683	6411	21	1	40	1	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	16	25	0	0	0	0	8	10	0	0	0	0	0	0	430	43	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	3	32	1
16480	25776	"Wasenmoos"	47.30543	12.41723	130	"AWI"	130	5756	8141	6874	0	1	63	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	23	62	0	0	0	0	2	20	0	0	0	0	0	0	472	43	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	14	2
16480	25776	"Wasenmoos"	47.30543	12.41723	140	"AWI"	140	6111	8597	7340	5	0	68	0	0	0	0	2	0	36	0	0	0	0	0	0	0	0	0	75	155	0	0	0	0	9	18	0	0	0	0	0	3	175	22	0	0	0	0	0	30	0	0	0	0	0	0	1	0	0	1	0	1	7	39	4
16480	25776	"Wasenmoos"	47.30543	12.41723	142.5	"AWI"	142.5	6257.5	8687.5	7451	0	3	52	0	0	2	0	0	0	13	0	1	0	0	0	0	0	0	0	13	60	0	0	0	0	3	12	0	0	0	0	0	0	388	24	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	6	29	2
16480	25776	"Wasenmoos"	47.30543	12.41723	150	"AWI"	150	6515	9013	7797	0	0	55	0	0	2	0	0	0	24	0	0	1	0	0	0	0	0	0	23	74	0	0	0	0	1	9	1	0	0	0	0	0	245	13	0	0	0	0	1	14	0	0	0	0	0	0	0	0	0	1	0	0	2	20	2
