"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Betula"	"Corylus"	"Cyperaceae"	"Ericales"	"Fagus"	"Fraxinus"	"Myrica"	"Ostrya.Carpinus"	"Pinus"	"Poaceae"	"Quercus"	"Rosaceae"	"Salix"	"Tilia"	"Ulmus"
3316	4308	"Nigula"	58.00009	24.68735	10	"AWI"	10	-80	264	48	1	74	0	0	133	10	2	0	1	0	0	1	112	10	4	1	11	0	2
3316	4308	"Nigula"	58.00009	24.68735	20	"AWI"	20	-51	558	139	0	82	3	2	134	2	5	78	0	0	0	1	131	4	4	2	8	0	2
3316	4308	"Nigula"	58.00009	24.68735	30	"AWI"	30	19	651	268	0	71	1	2	202	16	3	0	0	1	0	3	120	6	6	1	5	4	4
3316	4308	"Nigula"	58.00009	24.68735	40	"AWI"	40	54	822	384	2	59	0	0	124	17	4	0	1	0	0	2	139	6	0	1	12	3	5
3316	4308	"Nigula"	58.00009	24.68735	50	"AWI"	50	161	891	511	0	37	2	2	143	15	4	0	2	0	0	1	147	5	10	1	17	2	3
3316	4308	"Nigula"	58.00009	24.68735	60	"AWI"	60	208	1024	628	1	34	0	3	96	9	4	0	0	0	0	0	114	6	3	3	2	2	5
3316	4308	"Nigula"	58.00009	24.68735	70	"AWI"	70	354	1079	746	1	88	1	1	153	6	6	34	0	1	0	2	107	4	5	3	9	0	4
3316	4308	"Nigula"	58.00009	24.68735	80	"AWI"	80	439	1169	874	3	89	3	2	128	12	4	27	0	2	0	1	93	5	13	1	11	3	7
3316	4308	"Nigula"	58.00009	24.68735	90	"AWI"	90	702	1201	981	0	143	0	2	118	32	5	23	1	1	0	1	66	6	9	1	15	1	3
3316	4308	"Nigula"	58.00009	24.68735	100	"AWI"	100	870	1280	1107	0	119	0	4	165	14	2	0	0	0	0	0	69	6	4	1	20	0	3
3316	4308	"Nigula"	58.00009	24.68735	110	"AWI"	110	1029	1429	1249	1	107	0	3	158	8	3	0	0	0	0	0	56	6	4	3	2	2	2
3316	4308	"Nigula"	58.00009	24.68735	120	"AWI"	120	1093	1761	1370	1	62	2	0	110	16	0	25	1	0	0	3	102	0	9	3	4	3	6
3316	4308	"Nigula"	58.00009	24.68735	130	"AWI"	130	1244	1881	1555	0	66	1	0	74	16	0	148	2	0	0	3	71	0	8	3	7	5	4
3316	4308	"Nigula"	58.00009	24.68735	140	"AWI"	140	1313	2110	1728	1	64	1	0	135	17	4	0	0	1	0	0	56	2	10	2	0	10	4
3316	4308	"Nigula"	58.00009	24.68735	150	"AWI"	150	1611	2167	1886	0	137	1	0	114	14	4	0	2	1	0	1	92	5	6	4	0	6	3
3316	4308	"Nigula"	58.00009	24.68735	160	"AWI"	160	1777	2289	2050	0	96	0	0	146	12	6	0	0	1	0	1	80	3	2	1	3	2	4
3316	4308	"Nigula"	58.00009	24.68735	170	"AWI"	170	1961	2433	2201	0	63	0	0	152	10	7	0	1	0	0	0	106	0	0	0	0	3	4
3316	4308	"Nigula"	58.00009	24.68735	180	"AWI"	180	2036	2729	2351	0	83	0	0	128	14	0	89	1	0	0	0	81	5	8	0	0	8	7
3316	4308	"Nigula"	58.00009	24.68735	190	"AWI"	190	2189	2802	2500	0	110	0	0	106	39	4	144	1	1	0	0	60	5	4	0	2	4	6
3316	4308	"Nigula"	58.00009	24.68735	200	"AWI"	200	2257	2993	2645	0	66	1	0	120	16	4	37	0	1	0	0	44	3	8	0	2	7	6
3316	4308	"Nigula"	58.00009	24.68735	210	"AWI"	210	2489	3041	2752	0	93	0	0	114	40	7	52	0	0	0	0	75	2	2	0	1	3	7
3316	4308	"Nigula"	58.00009	24.68735	220	"AWI"	220	2625	3154	2876	0	132	0	2	166	35	9	0	0	0	0	0	35	0	12	0	2	11	4
3316	4308	"Nigula"	58.00009	24.68735	230	"AWI"	230	2812	3273	3016	0	60	2	2	146	22	9	0	0	0	0	0	57	4	12	0	0	12	9
3316	4308	"Nigula"	58.00009	24.68735	240	"AWI"	240	2864	3517	3158	0	129	0	3	121	30	5	48	0	0	0	0	30	1	6	0	0	6	10
3316	4308	"Nigula"	58.00009	24.68735	250	"AWI"	250	2992	3615	3302	0	72	0	1	98	42	3	0	0	0	0	0	43	3	10	0	0	10	7
3316	4308	"Nigula"	58.00009	24.68735	260	"AWI"	260	3055	3797	3443	0	86	0	3	116	31	3	0	0	0	0	0	32	2	8	0	0	11	14
3316	4308	"Nigula"	58.00009	24.68735	270	"AWI"	270	3297	3846	3564	0	90	3	2	102	36	3	0	0	0	0	0	66	0	10	0	0	8	10
