"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asphodelaceae"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Convolvulaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Juglans"	"Lamiaceae"	"Lentibulariaceae"	"Liliaceae"	"Lythraceae"	"Malvaceae"	"Myrica"	"Onagraceae"	"Ostrya.Carpinus"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Scrophulariaceae"	"Solanaceae"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Verbenaceae"
3247	4215	"Locmariaquer"	47.55444	-2.93222	12	"AWI"	12	5314	5923	5718	0	6	24	4	1	1	1	11	2	2	0	0	0	0	0	18	45	0	0	0	0	2	0	0	0	0	0	0	2	0	0	2	0	0	98	0	0	32	1	2	0	0	0	0	2	0	0	0	2	2	0
3247	4215	"Locmariaquer"	47.55444	-2.93222	15	"AWI"	15	5358	5960	5764	0	7	18	7	1	3	3	29	3	5	1	0	0	0	0	18	75	0	0	0	0	2	0	0	0	0	0	1	1	0	0	3	0	0	112	0	0	74	0	5	0	4	0	1	0	0	0	0	3	1	0
3247	4215	"Locmariaquer"	47.55444	-2.93222	20	"AWI"	20	5449	6066	5836	1	10	21	2	1	3	0	20	13	1	1	0	0	0	0	6	49	2	0	0	1	1	0	0	1	0	0	0	10	0	0	1	0	4	112	0	0	41	0	3	0	1	0	0	1	0	1	1	4	3	0
3247	4215	"Locmariaquer"	47.55444	-2.93222	25	"AWI"	25	5554	6128	5906	0	8	21	8	1	1	0	32	5	0	0	0	0	0	1	12	64	0	0	0	0	0	0	1	0	0	0	0	15	0	0	2	0	0	118	0	0	60	0	5	0	2	0	0	0	6	0	0	3	5	0
3247	4215	"Locmariaquer"	47.55444	-2.93222	30	"AWI"	30	5648	6199	5975	0	9	22	5	0	0	0	21	4	3	0	0	0	0	2	16	38	0	0	0	0	2	0	0	0	0	0	1	12	0	0	1	0	0	140	0	0	44	0	0	8	2	0	0	0	1	0	0	2	4	0
3247	4215	"Locmariaquer"	47.55444	-2.93222	35	"AWI"	35	5765	6251	6043	0	4	30	9	0	1	0	11	4	0	2	0	0	0	0	37	36	0	0	0	0	2	0	1	0	0	0	0	3	0	0	4	0	0	124	0	0	37	0	2	0	0	0	0	0	0	0	0	1	3	0
3247	4215	"Locmariaquer"	47.55444	-2.93222	40	"AWI"	40	5848	6316	6117	0	9	18	1	1	1	0	39	3	0	1	0	0	0	0	28	22	0	0	0	0	3	0	0	0	0	0	0	2	0	0	3	0	2	96	0	0	52	1	4	0	0	0	0	0	0	0	0	2	4	0
3247	4215	"Locmariaquer"	47.55444	-2.93222	45	"AWI"	45	5971	6369	6191	0	3	30	2	2	1	0	43	4	1	3	0	0	0	0	7	28	0	0	0	0	0	0	0	0	0	1	0	10	0	0	2	0	2	126	0	0	42	0	1	3	1	0	0	0	0	0	0	4	2	1
3247	4215	"Locmariaquer"	47.55444	-2.93222	50	"AWI"	50	6042	6455	6267	0	4	26	2	0	0	0	35	3	1	0	0	0	1	0	34	15	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	76	0	0	46	0	2	0	0	0	0	3	0	0	0	3	2	0
3247	4215	"Locmariaquer"	47.55444	-2.93222	55	"AWI"	55	6124	6549	6344	0	10	30	2	0	1	0	44	4	1	0	0	0	0	0	32	21	1	0	0	0	1	0	0	0	0	0	1	2	0	0	6	0	0	83	0	0	58	0	2	0	0	0	0	0	0	0	0	4	1	0
3247	4215	"Locmariaquer"	47.55444	-2.93222	60	"AWI"	60	6179	6687	6421	0	3	35	0	1	2	0	0	1	0	0	2	0	0	0	13	25	1	0	0	0	0	0	0	0	0	0	1	1	0	0	2	0	0	102	0	0	33	0	2	0	0	0	0	1	0	0	0	1	1	0
3247	4215	"Locmariaquer"	47.55444	-2.93222	65	"AWI"	65	6265	6768	6504	0	3	28	1	1	3	0	20	3	0	0	0	3	0	0	9	50	0	0	0	0	1	0	0	0	1	0	0	8	0	0	2	0	6	89	0	0	43	0	1	0	1	0	0	1	1	0	0	4	4	0
3247	4215	"Locmariaquer"	47.55444	-2.93222	70	"AWI"	70	6323	6861	6589	0	5	27	1	0	0	0	0	0	1	0	0	0	0	0	9	36	0	0	0	0	1	0	0	0	0	0	0	1	0	0	2	0	0	163	0	0	30	0	3	0	0	0	0	1	0	0	0	1	1	0
3247	4215	"Locmariaquer"	47.55444	-2.93222	75	"AWI"	75	6426	6920	6670	0	3	22	3	0	0	0	0	1	0	0	0	0	0	0	4	50	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	147	0	0	46	1	3	0	0	0	0	0	0	0	0	1	0	0
3247	4215	"Locmariaquer"	47.55444	-2.93222	80	"AWI"	80	6495	6999	6759	0	3	44	5	0	1	0	0	4	1	0	0	0	0	0	4	50	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	201	0	1	45	0	1	0	0	0	0	0	0	0	0	1	3	1
3247	4215	"Locmariaquer"	47.55444	-2.93222	85	"AWI"	85	6618	7060	6834	0	3	12	2	0	1	0	0	0	0	0	0	0	0	0	9	23	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	212	0	0	53	1	1	0	0	0	1	1	0	0	0	1	1	0
3247	4215	"Locmariaquer"	47.55444	-2.93222	90	"AWI"	90	6693	7138	6912	0	6	11	2	0	0	0	0	1	0	0	0	0	0	0	14	4	0	0	0	0	1	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	116	1	4	0	0	0	0	1	0	0	0	1	2	0
3247	4215	"Locmariaquer"	47.55444	-2.93222	95	"AWI"	95	6760	7197	6968	1	3	26	0	1	0	0	0	4	0	0	0	0	0	0	6	14	0	0	3	0	1	0	0	0	0	2	0	3	0	0	1	11	0	0	0	0	196	0	1	0	0	6	0	0	3	0	0	2	0	0
3247	4215	"Locmariaquer"	47.55444	-2.93222	100	"AWI"	100	6804	7277	7022	0	5	34	0	1	2	0	0	2	0	0	0	0	0	0	3	10	0	0	0	0	2	0	1	0	0	0	0	2	0	0	4	0	0	70	0	0	179	0	1	0	1	5	0	0	3	0	0	1	3	0
3247	4215	"Locmariaquer"	47.55444	-2.93222	105	"AWI"	105	6864	7341	7073	1	4	61	2	1	1	0	0	5	0	0	0	9	0	0	4	72	0	0	0	0	2	0	2	0	0	2	0	15	0	0	3	0	0	69	0	0	115	2	1	0	0	0	1	0	1	0	0	2	3	0
