"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Crataegus"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Hypericaceae"	"Ilex"	"Indeterminable"	"Lamiaceae"	"Myrica"	"Nartheciaceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygalaceae"	"Polygonaceae"	"Pterocarya"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Verbenaceae"
9698	14289	"Lough Camclaun"	52.19429	-10.166208	110	"AWI"	110	556	2218	1297	0	3	0	1	0	0	8	3	0	2	0	0	2	0	59	68	0	0	0	1	0	0	0	0	0	0	10	1	0	0	1	19	0	0	0	0	0	4	1	0	2	5	3	0	0	0	0	0	0	0
9698	14289	"Lough Camclaun"	52.19429	-10.166208	120	"AWI"	120	659	2344	1423	0	3	0	1	0	0	0	6	0	1	0	0	0	1	60	75	0	0	0	0	2	0	0	0	3	0	4	1	0	0	1	11	0	113	0	0	0	5	2	0	0	6	0	0	0	0	0	0	2	0
9698	14289	"Lough Camclaun"	52.19429	-10.166208	130	"AWI"	130	741	2498	1545	0	4	0	2	0	1	0	8	1	0	0	0	1	0	58	70	0	3	0	0	0	0	0	1	0	0	3	1	0	0	1	17	0	115	0	0	0	7	1	0	1	5	1	0	0	0	0	0	0	0
9698	14289	"Lough Camclaun"	52.19429	-10.166208	140	"AWI"	140	850	2613	1666	0	5	0	0	0	0	0	3	0	1	0	0	2	0	65	73	0	0	0	0	0	0	0	1	1	0	4	0	0	0	0	7	0	0	0	0	0	4	0	0	2	1	0	0	0	0	0	0	0	0
9698	14289	"Lough Camclaun"	52.19429	-10.166208	150	"AWI"	150	945	2738	1797	0	2	0	2	0	0	0	6	0	2	0	0	2	0	38	73	0	0	0	0	0	0	0	0	1	0	5	1	0	0	0	13	0	0	0	0	0	2	1	0	0	1	3	0	0	0	0	1	0	0
9698	14289	"Lough Camclaun"	52.19429	-10.166208	160	"AWI"	160	1020	2905	1933	0	4	0	2	0	0	0	6	0	0	7	0	1	0	39	64	0	0	0	0	0	0	0	1	0	0	9	0	0	0	1	11	0	0	0	0	0	0	1	0	2	3	0	0	0	0	0	0	0	0
9698	14289	"Lough Camclaun"	52.19429	-10.166208	170	"AWI"	170	1170	3001	2063	0	3	0	1	0	0	0	8	0	2	0	0	2	0	31	63	0	0	0	1	0	0	0	0	0	0	10	1	0	0	1	7	1	0	0	0	0	5	2	0	2	1	0	0	0	0	0	0	1	0
9698	14289	"Lough Camclaun"	52.19429	-10.166208	180	"AWI"	180	1270	3133	2183	0	3	0	3	0	0	0	4	1	2	0	0	2	0	45	73	0	0	0	0	0	0	0	0	0	0	11	0	0	0	1	7	0	0	0	0	0	1	1	0	2	2	2	0	0	0	0	1	0	0
9698	14289	"Lough Camclaun"	52.19429	-10.166208	190	"AWI"	190	1381	3273	2313	0	4	1	0	0	0	0	7	0	0	0	0	0	0	28	156	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	7	0	72	0	0	0	4	0	0	0	0	0	0	0	0	0	1	1	0
9698	14289	"Lough Camclaun"	52.19429	-10.166208	200	"AWI"	200	1498	3372	2446	0	5	0	1	0	0	0	8	0	0	0	0	6	0	44	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	5	0	0	0	0	0	4	0	0	0	4	1	0	0	0	0	1	0	0
9698	14289	"Lough Camclaun"	52.19429	-10.166208	210	"AWI"	210	1609	3501	2583	0	6	1	2	0	0	0	3	0	2	0	0	2	0	37	91	0	0	0	0	0	0	0	0	0	0	9	0	0	0	2	0	0	119	0	0	0	3	0	0	0	2	1	0	0	0	0	1	0	0
