"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asparagaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Hypericaceae"	"Iridaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Linaceae"	"Lythraceae"	"Melanthiaceae"	"Onagraceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Scrophulariaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Viburnum"	"Vitaceae"
3245	4213	"Lobsigensee"	47.03194	7.29917	85	"AWI"	85	322	890	582	9	0	50	3	0	7	0	2	1	0	17	0	0	0	0	17	0	0	0	0	0	19	59	1	0	0	0	28	0	7	0	0	12	3	0	0	0	0	0	0	5	0	52	83	0	0	0	0	61	0	0	2	19	5	0	0	0	0	2	3	0	1
3245	4213	"Lobsigensee"	47.03194	7.29917	95	"AWI"	95	388	968	663	12	1	34	0	0	11	0	1	0	0	0	0	3	0	0	38	0	0	2	0	0	17	55	0	0	0	0	47	0	1	0	0	16	4	0	0	0	1	2	0	3	0	0	108	0	0	0	0	77	0	0	1	0	2	0	0	0	0	1	0	0	1
3245	4213	"Lobsigensee"	47.03194	7.29917	105	"AWI"	105	459	1051	743	13	0	60	1	0	7	0	0	0	0	22	0	3	0	0	0	0	0	4	0	0	19	84	0	0	0	0	28	0	0	0	0	16	1	0	0	1	1	0	0	4	0	40	0	0	403	0	0	146	0	0	0	20	2	0	0	0	0	1	0	0	0
3245	4213	"Lobsigensee"	47.03194	7.29917	115	"AWI"	115	535	1126	821	12	1	57	1	0	6	0	5	0	0	0	0	5	0	0	41	0	0	4	0	0	57	91	2	0	0	0	42	0	1	0	0	0	0	0	0	0	0	0	0	7	0	65	194	0	197	0	0	234	0	0	0	9	5	0	0	0	0	0	0	1	0
3245	4213	"Lobsigensee"	47.03194	7.29917	125	"AWI"	125	606	1202	900	9	0	50	1	0	7	0	0	0	0	13	0	10	0	0	49	0	0	2	0	0	0	151	1	0	0	0	49	0	0	0	0	0	2	0	0	0	0	0	0	7	0	36	125	0	185	0	0	248	0	0	1	7	0	0	0	0	0	0	0	0	0
3245	4213	"Lobsigensee"	47.03194	7.29917	135	"AWI"	135	692	1276	982	7	2	54	0	0	6	0	2	0	0	0	0	4	2	0	62	0	0	2	0	0	51	184	2	0	0	0	48	0	0	0	0	9	4	0	0	0	0	0	0	5	0	30	78	0	167	0	0	252	0	0	3	0	4	0	0	0	0	0	0	0	1
3245	4213	"Lobsigensee"	47.03194	7.29917	143	"AWI"	143	750	1337	1043	11	0	47	3	0	3	0	3	0	0	21	0	0	1	0	44	0	0	4	0	0	42	162	0	0	0	0	61	0	0	0	0	27	2	1	0	0	0	0	0	6	0	0	58	0	0	0	0	368	0	0	0	14	5	0	0	0	0	0	0	0	0
3245	4213	"Lobsigensee"	47.03194	7.29917	153	"AWI"	153	827	1406	1118	7	0	61	3	0	1	0	5	0	0	29	1	0	0	0	27	0	0	4	0	0	0	175	0	0	0	0	71	0	1	0	0	0	1	1	0	0	1	0	0	8	0	26	110	0	106	0	0	355	0	0	0	0	5	0	0	0	0	2	0	0	0
3245	4213	"Lobsigensee"	47.03194	7.29917	163	"AWI"	163	910	1475	1195	12	0	75	1	0	4	0	9	0	0	31	0	3	0	0	8	0	0	3	0	0	59	139	0	0	0	0	80	0	0	0	0	44	0	0	0	0	0	0	0	7	0	24	82	0	66	0	0	375	0	0	0	4	1	0	0	0	0	0	1	0	0
3245	4213	"Lobsigensee"	47.03194	7.29917	173	"AWI"	173	999	1544	1277	7	2	84	0	0	4	0	3	0	0	0	0	2	0	0	10	0	0	2	0	0	84	0	0	0	0	0	105	0	0	0	0	30	0	1	0	0	1	0	0	16	0	0	51	0	0	0	0	367	0	0	0	0	6	0	0	0	0	1	0	0	0
