"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Araliaceae"	"Asteraceae"	"Betula"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Gentianaceae"	"Ilex"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Salix"	"Tilia"	"Ulmus"
23795	41226	"Cut Hill"	50.6275	-3.98194	0	"AWI"	0	5302	5597	5457	7	0	0	2	0	0	79	4	0	0	0	8	1	7	36	0	0	1	0	0
23795	41226	"Cut Hill"	50.6275	-3.98194	3	"AWI"	3	5489	5724	5601	1	1	0	1	2	0	11	2	0	0	0	5	0	11	3	0	0	0	0	0
23795	41226	"Cut Hill"	50.6275	-3.98194	11	"AWI"	11	5795	6125	5962	4	0	0	0	1	1	8	5	0	1	0	16	0	7	14	0	0	0	0	4
23795	41226	"Cut Hill"	50.6275	-3.98194	19	"AWI"	19	6146	6510	6329	3	1	0	2	5	0	27	6	0	0	0	18	1	12	16	0	0	0	0	2
23795	41226	"Cut Hill"	50.6275	-3.98194	27	"AWI"	27	6508	6884	6699	7	0	0	4	1	0	42	31	0	0	0	9	0	21	39	0	0	0	1	4
23795	41226	"Cut Hill"	50.6275	-3.98194	35	"AWI"	35	6885	7250	7068	2	2	0	7	2	0	41	24	0	0	1	12	1	21	58	0	0	0	0	3
23795	41226	"Cut Hill"	50.6275	-3.98194	43	"AWI"	43	7286	7600	7440	7	2	0	9	2	0	35	17	135	0	0	14	0	22	48	1	1	0	0	7
23795	41226	"Cut Hill"	50.6275	-3.98194	51	"AWI"	51	7705	7942	7806	0	0	0	6	8	0	19	0	235	0	0	14	0	3	13	0	0	0	0	3
