"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Arctostaphylos"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Geraniaceae"	"Grossulariaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Lentibulariaceae"	"Myrica"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Scrophulariaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Violaceae"
3105	4040	"Fjällnas"	62.615724	12.133112	51	"AWI"	51	3577	4077	3783	0	19.0654205607477	0	0.373831775700935	0	0	0	53.8317757009346	0.0934579439252337	0	0	0	0	0	0.280373831775701	5.32710280373832	0	0	0	0	0	0	3.08411214953271	0	0	0	0	0	0	0	17.5700934579439	0	0	0	0	0.0934579439252337	0	0	0	0	0	0.186915887850467	0	0	0	0	0.0934579439252337	0	0
3105	4040	"Fjällnas"	62.615724	12.133112	52	"AWI"	52	3635	4133	3837	0	0	0	0.580270793036751	0	0	0	65.9574468085106	0	0	0	0	0	0	0.386847195357834	5.41586073500967	0	0	0	0	0	0	6.09284332688588	0	0	0	0	0	0.0967117988394584	0	21.2765957446809	0	0	0	0	0	0	0	0	0	0	0	0	0	0.193423597678917	0	0	0	0
3105	4040	"Fjällnas"	62.615724	12.133112	53	"AWI"	53	3679	4199	3889	0	2.45979186376537	0	0.851466414380322	0	0	0	69.8202459791864	0	0	0	0	0	0	0	4.44654683065279	0	0	0	0.0946073793755913	0	0	3.87890255439924	0	0	0	0	0	0	0	17.6915799432356	0	0	0	0	0	0	0.189214758751183	0	0	0	0.283822138126774	0	0.0946073793755913	0	0.0946073793755913	0.0946073793755913	0	0
3105	4040	"Fjällnas"	62.615724	12.133112	54	"AWI"	54	3713	4278	3944	0	3.03893637226971	0	0.189933523266857	0	0	0	73.5042735042735	0	0	0	0	0	0	0.189933523266857	3.32383665716999	0	0	0	0	0	0	1.99430199430199	0	0	0	0	0	0	0	17.4738841405508	0	0	0	0	0.0949667616334283	0	0	0	0	0	0	0.0949667616334283	0	0	0	0.0949667616334283	0	0
3105	4040	"Fjällnas"	62.615724	12.133112	55	"AWI"	55	3737	4378	3991	0	2.56410256410256	0	2.27920227920228	0	0	0	83.3808167141501	0	0	0	0	0	0	0.379867046533713	0.56980056980057	0	0	0.284900284900285	0	0	0	4.46343779677113	0	0	0	0	0	0	0	5.98290598290598	0	0	0	0	0	0	0	0	0	0	0.0949667616334283	0	0	0	0	0	0	0
3105	4040	"Fjällnas"	62.615724	12.133112	56	"AWI"	56	4019	4503	4221	0	2.45901639344262	0	0.273224043715847	0	0	0	79.3260473588342	0	0	0	0	0	0	0.273224043715847	2.64116575591985	0	0	0	0	0	0	4.91803278688525	0	0	0	0	0	0	0	9.92714025500911	0	0	0	0	0	0	0	0	0	0	0	0	0.0910746812386157	0	0.0910746812386157	0	0	0
3105	4040	"Fjällnas"	62.615724	12.133112	57	"AWI"	57	4270	4665	4457	0	3.15398886827458	0	0	0	0	0	78.5714285714286	0	0	0	0	0	0	0.0927643784786642	3.52504638218924	0	0	0	0.0927643784786642	0	0	3.33951762523191	0	0	0	0.278293135435993	0	0	0	10.760667903525	0	0	0	0	0.0927643784786642	0	0	0	0	0	0	0	0	0	0.0927643784786642	0	0	0
3105	4040	"Fjällnas"	62.615724	12.133112	58	"AWI"	58	4474	4876	4694	0	6.43611911623439	0	0.0960614793467819	0	0	0	83.0931796349664	0	0	0	0	0	0	0.0960614793467819	1.72910662824208	0	0	0	0	0	0.0960614793467819	1.0566762728146	0	0	0	0	0	0	0	7.39673390970221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3105	4040	"Fjällnas"	62.615724	12.133112	59	"AWI"	59	4636	5139	4931	0	4.92565055762082	0	0.0929368029739777	0	0	0	61.8959107806691	0	0	0	0	0.0929368029739777	0	0	6.13382899628253	0	0	0	0.185873605947955	0	0	0.929368029739777	0	0	0	0	0	0	0	25.185873605948	0	0	0	0	0.185873605947955	0	0	0	0	0	0	0	0	0	0.185873605947955	0.185873605947955	0	0
3105	4040	"Fjällnas"	62.615724	12.133112	60	"AWI"	60	4765	5428	5152	0	5.44933078393881	0	0	0	0	0	46.3671128107075	0	0	0	0	0.0956022944550669	0	0.191204588910134	2.67686424474187	0	0	0	0	0	0	0.191204588910134	0	0	0	0.0956022944550669	0	0	0	44.5506692160612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.191204588910134	0.191204588910134	0	0
3105	4040	"Fjällnas"	62.615724	12.133112	61	"AWI"	61	4884	5448	5215	0	3.6541889483066	0	0	0	0.089126559714795	0	63.7254901960784	0	0	0	0	0	0	0.35650623885918	3.83244206773619	0	0	0	0	0	0	1.15864527629234	0	0	0	0	0	0	0	26.9162210338681	0	0	0	0	0	0	0	0	0	0	0	0	0.089126559714795	0	0	0.17825311942959	0	0
3105	4040	"Fjällnas"	62.615724	12.133112	62	"AWI"	62	4981	5477	5276	0	3.2258064516129	0	0.094876660341556	0	0	0	65.5597722960152	0	0	0	0	0.189753320683112	0	0	3.98481973434535	0.47438330170778	0	0	0	0	0	0.189753320683112	0	0	0	0	0	0	0	25.9962049335863	0	0	0	0	0	0	0	0	0	0	0.094876660341556	0.094876660341556	0	0.094876660341556	0	0	0	0
3105	4040	"Fjällnas"	62.615724	12.133112	63	"AWI"	63	5061	5520	5334	0	3.86100386100386	0	0.0965250965250965	0	0	0	64.96138996139	0	0	0	0	0.193050193050193	0	0.965250965250965	2.7027027027027	0	0	0	0.0965250965250965	0	0	0.482625482625483	0	0	0	0	0	0	0	26.6409266409266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3105	4040	"Fjällnas"	62.615724	12.133112	64	"AWI"	64	5125	5589	5400	0	23.3212341197822	0	0	0	0.0907441016333938	0	42.4682395644283	0	0	0	0	0.181488203266788	0	0.362976406533575	2.17785843920145	0	0	0	0	0	0	0.0907441016333938	0	0	0	0	0	0	0	30.6715063520871	0	0	0	0	0.181488203266788	0	0	0	0	0	0.181488203266788	0	0	0	0.0907441016333938	0.181488203266788	0	0
3105	4040	"Fjällnas"	62.615724	12.133112	65	"AWI"	65	5176	5688	5464	0	9.24690181124881	0	0	0	0.0953288846520496	0	56.0533841754051	0	0	0.0953288846520496	0	0.190657769304099	0	0.667302192564347	2.28789323164919	0	0	0	0.0953288846520496	0	0	0.381315538608198	0	0	0	0	0	0	0.0953288846520496	30.1239275500477	0	0	0	0	0	0	0	0	0.0953288846520496	0	0.0953288846520496	0.0953288846520496	0	0	0.0953288846520496	0.190657769304099	0.0953288846520496	0
3105	4040	"Fjällnas"	62.615724	12.133112	66	"AWI"	66	5293	5803	5555	0	7.00094607379375	0	0	0	0	0	48.8174077578051	0	0	0	0	0	0	0	2.36518448438978	0	0	0.0946073793755913	0	0	0	0	0	0	0	0.0946073793755913	0	0	0	41.438032166509	0	0	0	0	0.0946073793755913	0	0	0	0	0	0	0	0	0	0	0.0946073793755913	0	0
