"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cedrus"	"Celastraceae"	"Cistaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Hypericaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Lythraceae"	"Malvaceae"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Platanus"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Resedaceae"	"Rhamnus"	"Rhus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Scrophulariaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
16151	24966	"Watten"	50.83361	2.21333	250	"AWI"	250	1367	1702	1532	0	0	9.50292397660819	2.77777777777778	0	0.43859649122807	0	0.292397660818713	0	1.75438596491228	0	0	0	0	0	0	0	0	0	18.4210526315789	0	51.1695906432749	0	0	0	2.63157894736842	0	0.584795321637427	0	0	0	0	0	0	0	0	0.146198830409357	4.09356725146199	0	4.97076023391813	0.146198830409357	0	0	0	0.730994152046784	0	0	0.146198830409357	0.292397660818713	0.146198830409357	0	0	0	0	0	0	0.43859649122807	0	0	0	0	0	0.730994152046784	0.584795321637427	0	0
16151	24966	"Watten"	50.83361	2.21333	435	"AWI"	435	1525	2073	1724	0	0	9.375	62.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.5	0	3.125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16151	24966	"Watten"	50.83361	2.21333	555	"AWI"	555	1733	2509	1933	0	0.145985401459854	25.6934306569343	13.7226277372263	0	1.16788321167883	0.291970802919708	0	0	1.8978102189781	0	0	0	0	0	0	0	0	0	22.1897810218978	0	11.6788321167883	1.16788321167883	0.145985401459854	0	0.145985401459854	0.145985401459854	0	0	0.145985401459854	0	0	0	0	0	0	0	0	0	3.5036496350365	0.145985401459854	0	0.145985401459854	4.81751824817518	0	0	0	0	6.56934306569343	0.145985401459854	0	0	0	0	0	0.145985401459854	0.583941605839416	0.291970802919708	0	0	0	0.145985401459854	3.35766423357664	1.60583941605839	0	0
16151	24966	"Watten"	50.83361	2.21333	565	"AWI"	565	1760	2554	1973	0	0	32.5581395348837	0	0	0	0.775193798449612	0.775193798449612	0	4.65116279069767	0	0	0	0	0	0	0	0	0	23.2558139534884	0	0	0	0	0	0.775193798449612	0	0.775193798449612	0	0	0	0	0	0	0	0	0	0	0	3.10077519379845	0	0	0.775193798449612	4.65116279069767	0	0	0	0	20.1550387596899	0	0	0	0	0	0	0	0	1.55038759689922	0	0	0	0	3.10077519379845	2.32558139534884	0	0.775193798449612
16151	24966	"Watten"	50.83361	2.21333	635	"AWI"	635	1850	3076	2224	0	0	28.3582089552239	0	0	0	0	0	0	4.47761194029851	0	0	1.49253731343284	0	0	0	0	0	0	11.9402985074627	0	5.97014925373134	0	0	0	0	0	2.98507462686567	0	0	0	0	0	0	0	0	0	0	0	2.98507462686567	0	0	0	5.97014925373134	0	0	0	1.49253731343284	16.4179104477612	0	0	0	0	0	0	0	1.49253731343284	10.4477611940298	0	0	0	0	4.47761194029851	1.49253731343284	0	0
16151	24966	"Watten"	50.83361	2.21333	689	"AWI"	689	2491	3737	2881	0	0	11.4285714285714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.57142857142857	0	51.4285714285714	0	0	0	0	0	2.85714285714286	0	0	0	0	0	0	0	0	0	0	0	8.57142857142857	0	0	0	0	0	0	0	0	5.71428571428571	0	0	0	0	0	0	0	2.85714285714286	5.71428571428571	0	0	0	0	0	2.85714285714286	0	0
16151	24966	"Watten"	50.83361	2.21333	755	"AWI"	755	3854	4808	4262	0	0	16.7741935483871	0	0	0	0	0	0	0.645161290322581	0	0	0	0	0	0	0	0	0	14.1935483870968	0	30.3225806451613	0	0	0	0	0	0.967741935483871	0	0	0	0	0.645161290322581	0	0	0	0	0	0	4.19354838709677	0	0	0	0	0	0	0	0	21.2903225806452	0	0	0	0	0	0	0	0	0.645161290322581	0	0	0	0	6.7741935483871	3.54838709677419	0	0
16151	24966	"Watten"	50.83361	2.21333	1115	"AWI"	1115	7283	7556	7443	0	0	14.7727272727273	6.43939393939394	0	0.378787878787879	0.189393939393939	0.189393939393939	0	0.946969696969697	0	0	0	0	0	0	0	0	0	48.2954545454545	0	2.27272727272727	0	0	0	0	0	0.189393939393939	0	0.189393939393939	0	0	0	0	0	0	0	0	0.189393939393939	0.378787878787879	0	0	0.189393939393939	5.11363636363636	0	0	0	0	9.28030303030303	0	0	0	0	0	0	0	0	0	0	0	0	0.189393939393939	6.43939393939394	4.35606060606061	0	0
16151	24966	"Watten"	50.83361	2.21333	1125	"AWI"	1125	7327	7564	7467	0	0	22.089552238806	0	0	0	0.597014925373134	0.298507462686567	0	0.597014925373134	0	0	0	0	0	0	0	0	0	37.0149253731343	0	5.07462686567164	0	0	0	0	0	0.298507462686567	0	0	0	0	0	0	0	0	0	0	0	0.597014925373134	0	0	0	0	0	0	0	0	17.910447761194	0	0	0	0	0	0	0	0	0	0	0	0	0	5.07462686567164	10.4477611940298	0	0
16151	24966	"Watten"	50.83361	2.21333	1145	"AWI"	1145	7414	7600	7516	0	0	13.6470588235294	4	0	0	0	0	0	0.705882352941177	0	0	0	0	0	0	0	0	0	38.8235294117647	0	1.17647058823529	0	0	0	0.235294117647059	0	0.235294117647059	0	0.235294117647059	0	0	0	0	0	0	0	0	0.235294117647059	1.17647058823529	0.235294117647059	0	0	14.3529411764706	0	0	0	0.235294117647059	16.4705882352941	0	0	0	0	0	0	0	0	0	0	0	0	0	3.29411764705882	4.94117647058823	0	0
