"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Convolvulaceae"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Geraniaceae"	"Ilex"	"Iridaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Ligustrum"	"Liliaceae"	"Lythraceae"	"Malvaceae"	"Myrica"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Scrophulariaceae"	"Solanaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
3045	3972	"La Caudelais"	47.25444	-1.80028	5	"AWI"	5	-7	160	75	1	0	25	7	1	0	1	0	0	0	3	0	0	0	0	1	0	0	0	4	299	0	0	0	3	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2	34	0	0	52	6	0	15	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3045	3972	"La Caudelais"	47.25444	-1.80028	10	"AWI"	10	132	307	217	0	0	65	2	6	0	0	0	5	0	0	0	0	0	0	2	0	0	0	3	9	0	0	0	1	2	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	51	0	0	72	7	0	8	0	10	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1
3045	3972	"La Caudelais"	47.25444	-1.80028	15	"AWI"	15	264	462	359	0	0	43	1	4	0	1	0	2	0	0	0	0	0	0	2	0	0	0	5	14	0	0	0	0	1	0	0	0	0	1	0	0	0	0	2	1	4	0	0	0	0	24	0	0	40	6	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
3045	3972	"La Caudelais"	47.25444	-1.80028	20	"AWI"	20	389	616	501	2	0	50	3	8	1	0	0	2	0	0	0	0	0	0	2	0	0	0	0	18	0	0	0	0	2	0	0	0	0	4	0	0	0	0	0	1	1	0	0	0	2	15	0	0	43	5	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
3045	3972	"La Caudelais"	47.25444	-1.80028	25	"AWI"	25	516	774	643	0	0	45	1	15	1	1	0	0	0	0	0	0	1	0	2	0	0	0	2	19	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	33	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
3045	3972	"La Caudelais"	47.25444	-1.80028	30	"AWI"	30	640	933	785	0	0	34	3	24	1	1	0	0	0	3	0	0	0	0	1	0	0	0	1	16	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	35	3	0	9	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1
3045	3972	"La Caudelais"	47.25444	-1.80028	35	"AWI"	35	762	1094	927	0	0	40	2	8	0	0	0	0	0	1	0	0	0	0	2	0	0	0	1	26	0	0	0	0	0	0	0	0	2	2	0	0	0	0	1	0	0	0	0	0	0	2	0	0	33	3	0	9	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0
3045	3972	"La Caudelais"	47.25444	-1.80028	40	"AWI"	40	881	1258	1068	0	0	56	0	3	0	0	0	0	0	1	0	0	0	0	2	0	0	0	1	26	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	51	4	0	6	0	0	0	0	1	4	2	0	0	0	0	0	0	0	0	0	0
3045	3972	"La Caudelais"	47.25444	-1.80028	45	"AWI"	45	998	1422	1210	0	0	121	2	12	0	1	0	2	0	3	0	0	0	0	1	0	0	0	1	21	0	0	0	0	2	0	0	0	6	5	0	0	0	0	1	0	0	0	0	0	0	2	0	0	50	0	0	27	0	0	0	0	1	2	1	0	0	0	0	2	0	2	0	0	0
3045	3972	"La Caudelais"	47.25444	-1.80028	50	"AWI"	50	1115	1586	1351	0	0	184	5	3	0	0	0	2	0	0	0	0	0	0	2	0	0	0	2	16	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	3	0	0	46	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
3045	3972	"La Caudelais"	47.25444	-1.80028	55	"AWI"	55	1233	1751	1493	0	0	66	2	12	0	2	0	3	0	0	0	0	0	0	1	0	0	0	1	56	0	0	0	2	2	0	0	0	0	2	0	0	1	0	3	1	1	0	0	0	1	6	0	0	68	0	0	34	0	0	0	0	2	0	0	0	0	0	0	0	2	2	0	0	2
3045	3972	"La Caudelais"	47.25444	-1.80028	60	"AWI"	60	1351	1915	1635	0	0	4	0	1	0	0	0	5	0	1	0	0	0	0	0	0	0	0	1	40	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
