"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Ailanthus"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Arbutus"	"Artemisia"	"Asparagaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cedrus"	"Cistaceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Genista"	"Gentianaceae"	"Geraniaceae"	"Ilex"	"Iridaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Linaceae"	"Lythraceae"	"Melanthiaceae"	"Olea"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Phillyrea"	"Picea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Platanus"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Prunus"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Rhus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Solanaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Vitaceae"
23952	41631	"Lago del Greppo"	44.1199	10.67378	0	"AWI"	0	-82	-43	-59	89	1	0	0	1	0	0	0	0	2	0	0	4	0	2	0	0	5	0	0	7	0	0	0	0	0	9	48	0	0	0	0	0	165	11	0	0	0	0	0	2	4	0	0	0	0	12	0	0	51	0	35	0	0	0	1	0	0	0	0	1	17	0	0	0	0	0	2	0	6	16	0	7	3	0	1	0	6	1
23952	41631	"Lago del Greppo"	44.1199	10.67378	1	"AWI"	1	-65	-37	-51	84	2	0	0	2	0	0	0	0	3	0	0	1	0	2	1	0	0	0	0	16	0	0	0	0	13	12	32	0	0	6	0	0	191	0	0	0	0	0	0	2	0	0	0	0	0	12	0	0	41	0	35	0	0	0	1	0	0	0	0	0	20	0	0	0	0	0	0	4	12	0	0	0	0	0	0	0	0	0
23952	41631	"Lago del Greppo"	44.1199	10.67378	2	"AWI"	2	-60	-19	-42	74	2	0	0	0	0	0	0	0	1	0	0	20	0	3	0	0	0	0	0	14	0	0	0	0	16	6	54	0	0	0	0	0	191	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	38	0	24	0	0	0	2	0	0	0	0	0	18	0	0	0	0	0	2	10	18	0	0	0	1	2	0	1	0	0
23952	41631	"Lago del Greppo"	44.1199	10.67378	3	"AWI"	3	-56	5	-35	70	3	0	0	2	0	0	0	1	3	0	0	2	0	1	0	0	16	0	0	8	0	0	0	0	19	4	37	0	0	0	0	0	162	0	0	0	0	0	0	2	3	0	0	0	0	9	1	0	47	0	42	0	0	0	2	0	0	0	0	0	18	0	0	0	0	0	1	0	16	8	0	9	6	0	1	0	2	1
23952	41631	"Lago del Greppo"	44.1199	10.67378	4	"AWI"	4	-54	32	-28	55	1	0	0	5	0	0	0	0	2	0	0	9	0	6	0	0	2	0	0	8	0	0	0	0	29	13	35	0	0	0	0	0	159	0	0	0	0	0	0	2	0	0	0	0	0	22	1	0	32	0	21	0	0	0	1	0	28	0	0	0	18	0	0	0	0	0	0	0	21	0	0	4	0	2	0	0	0	1
23952	41631	"Lago del Greppo"	44.1199	10.67378	5	"AWI"	5	-53	58	-21	89	2	0	0	0	0	0	0	0	6	0	0	7	0	2	0	0	6	0	0	19	0	0	0	0	18	2	42	0	0	0	0	0	182	0	0	0	0	0	0	2	0	0	0	0	0	17	1	0	36	0	22	0	0	0	4	0	0	0	0	1	17	0	0	0	0	0	1	0	19	0	0	5	2	0	0	1	0	1
23952	41631	"Lago del Greppo"	44.1199	10.67378	6	"AWI"	6	-48	75	-12	52	2	0	0	2	0	0	0	0	5	0	0	6	0	6	0	0	4	0	0	23	0	0	0	0	28	11	25	0	0	0	0	0	171	0	0	0	0	0	0	3	0	0	0	0	0	17	0	0	0	0	14	0	0	0	0	0	0	0	0	1	27	0	0	0	0	0	0	0	31	0	0	5	1	1	0	0	0	0
23952	41631	"Lago del Greppo"	44.1199	10.67378	7	"AWI"	7	-43	86	-2	80	1	1	0	0	1	0	0	0	7	0	0	14	0	2	0	0	5	0	0	17	0	0	0	0	20	6	30	0	0	0	0	0	162	0	0	0	0	0	0	3	0	0	0	0	0	22	1	0	44	0	18	0	0	0	2	0	0	0	0	0	17	1	0	0	0	0	0	0	18	0	1	5	0	1	0	0	0	3
23952	41631	"Lago del Greppo"	44.1199	10.67378	8	"AWI"	8	-39	98	8	45	2	0	0	0	0	0	0	0	11	0	0	10	0	6	0	0	0	0	0	24	0	0	0	0	30	10	37	0	0	0	0	0	194	0	0	0	0	0	0	0	0	0	0	0	0	29	1	0	37	0	14	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	15	20	0	0	0	0	1	0	0	0	1
23952	41631	"Lago del Greppo"	44.1199	10.67378	9	"AWI"	9	-36	111	17	86	10	0	0	1	0	0	0	0	2	0	0	4	0	5	0	0	2	0	0	11	0	0	0	0	19	6	35	0	0	0	0	0	192	0	0	0	0	0	0	1	2	0	0	0	0	20	2	0	39	0	15	0	0	0	3	0	29	0	0	0	23	2	0	0	0	0	0	0	17	0	0	7	1	2	0	1	0	3
