"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Arctostaphylos"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Campanulaceae"	"Cannabaceae"	"Caryophyllaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Indeterminable"	"Juncaceae"	"Juniperus"	"Nartheciaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
26214	45710	"Flotatjønn"	59.669884	7.540184	808	"AWI"	808	-136	26	-52	12	0	0	0	0	0	189	0	0	0	0	1	0	81	0	0	1	0	2	0	0	10	0	43	0	0	0	1	16	0	0	0	0	5	0	0	0	0	0	1	0	0	0	4	0
26214	45710	"Flotatjønn"	59.669884	7.540184	812	"AWI"	812	-38	352	112	15	1	0	0	2	0	96	0	0	0	0	6	0	124	0	0	0	0	0	0	1	6	0	53	0	0	0	0	9	0	0	61	1	3	0	0	0	1	0	0	0	1	0	2	0
26214	45710	"Flotatjønn"	59.669884	7.540184	816	"AWI"	816	70	616	296	22	1	0	0	2	0	175	0	0	0	0	6	0	101	0	0	1	2	0	0	1	15	0	65	0	0	0	0	6	0	0	0	0	7	0	0	0	2	0	1	0	0	0	9	1
26214	45710	"Flotatjønn"	59.669884	7.540184	820	"AWI"	820	201	807	487	7	1	0	0	2	0	102	0	0	0	0	8	0	71	0	0	0	0	0	1	0	11	0	27	0	0	0	0	12	0	0	0	0	3	0	0	0	2	0	1	0	1	1	2	0
26214	45710	"Flotatjønn"	59.669884	7.540184	824	"AWI"	824	357	1005	669	10	1	0	0	1	0	66	1	0	0	0	6	0	103	0	0	0	0	0	0	0	7	0	27	0	0	0	0	2	0	0	0	0	1	1	0	0	0	0	0	0	0	1	3	0
26214	45710	"Flotatjønn"	59.669884	7.540184	828	"AWI"	828	520	1180	857	17	0	0	0	1	0	122	0	0	0	0	11	0	127	0	0	1	1	0	0	1	9	0	42	0	0	0	0	14	0	0	0	0	8	1	0	0	1	0	0	0	1	1	5	0
26214	45710	"Flotatjønn"	59.669884	7.540184	832	"AWI"	832	724	1317	1043	17	0	0	0	1	0	123	0	0	0	0	12	0	60	0	0	0	1	2	0	0	10	0	33	0	0	0	0	4	0	0	0	0	5	0	0	0	2	0	0	0	0	1	7	0
26214	45710	"Flotatjønn"	59.669884	7.540184	836	"AWI"	836	937	1480	1224	19	0	0	0	2	0	0	0	0	0	0	8	0	69	0	0	0	1	1	0	0	3	0	34	0	0	0	0	1	0	0	0	0	12	0	0	0	4	0	1	0	0	1	8	0
26214	45710	"Flotatjønn"	59.669884	7.540184	840	"AWI"	840	1218	1613	1394	14	0	0	0	0	0	104	0	0	0	0	6	0	137	0	0	0	0	1	1	0	13	0	38	0	0	0	1	7	0	0	0	0	4	0	0	0	3	0	0	1	1	1	1	0
26214	45710	"Flotatjønn"	59.669884	7.540184	844	"AWI"	844	1408	1802	1575	27	0	0	0	0	0	162	0	0	0	0	7	0	78	0	0	0	0	1	0	0	6	1	56	0	0	0	0	7	174	0	0	0	11	0	0	0	1	0	1	0	1	2	2	0
