"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Arbutus"	"Artemisia"	"Asparagaceae"	"Asphodelaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cedrus"	"Celtis"	"Cistaceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Ficus"	"Fraxinus"	"Genista"	"Gentianaceae"	"Geraniaceae"	"Hypericaceae"	"Juglans"	"Juncaceae"	"Juniperus"	"Lamiaceae"	"Ligustrum"	"Liliaceae"	"Linaceae"	"Loranthaceae"	"Lythraceae"	"Myrtus"	"Nerium"	"Olea"	"Oleaceae"	"Orchidaceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Phillyrea"	"Picea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Platanus"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Scrophulariaceae"	"Solanaceae"	"Taxus"	"Thalictrum"	"Thymelaeaceae"	"Tilia"	"Ulmus"	"Urticaceae"	"Verbenaceae"	"Viburnum"	"Violaceae"	"Vitaceae"
14644	22976	"Lago dell'Accesa"	42.987498	10.892302	19	"AWI"	19	-38	791	222	0	1	9	8	0	0	0	1	2	0	0	0	1	0	0	0	0	1	0	0	11	0	0	0	0	0	2	0	114	0	0	122	0	0	2	0	4	0	0	0	0	3	0	10	0	0	0	0	0	0	0	0	9	0	0	0	34	11	0	0	4	0	0	0	0	0	5	0	0	438	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1
14644	22976	"Lago dell'Accesa"	42.987498	10.892302	30	"AWI"	30	45	1024	389	1	1	0	11	0	0	1	0	25	0	0	0	3	0	0	0	0	0	0	0	9	0	0	0	0	0	4	0	0	0	0	0	0	0	14	0	5	0	0	0	0	1	0	2	0	0	0	0	0	0	4	0	40	0	0	0	14	3	0	12	6	0	0	0	0	0	1	0	0	400	75	0	0	0	0	0	1	0	0	1	0	1	0	0	1	6	0	0	0	0	4
14644	22976	"Lago dell'Accesa"	42.987498	10.892302	54	"AWI"	54	249	1454	775	1	1	62	9	0	0	0	0	13	0	0	0	12	0	0	0	0	0	0	0	1	0	0	0	0	0	13	0	27	0	0	0	0	0	9	0	7	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	3	0	0	0	52	5	1	0	4	0	0	0	0	0	2	0	1	460	102	0	0	0	0	0	5	0	0	2	0	0	0	0	0	9	0	0	0	0	1
14644	22976	"Lago dell'Accesa"	42.987498	10.892302	67	"AWI"	67	384	1709	985	3	3	0	6	0	0	0	1	18	0	0	0	11	0	0	0	0	0	0	0	2	0	0	0	0	0	9	0	20	1	0	0	0	0	10	0	12	2	0	0	0	3	0	2	0	0	0	0	0	0	0	0	2	0	0	0	61	3	3	0	2	0	0	0	0	0	0	0	0	466	102	0	0	0	0	0	3	0	0	0	0	0	0	1	0	11	0	0	0	0	2
14644	22976	"Lago dell'Accesa"	42.987498	10.892302	79	"AWI"	79	597	1867	1188	14	0	0	4	1	0	0	2	8	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	31	0	0	0	0	0	10	0	9	0	0	0	0	2	0	18	0	0	0	0	0	0	0	0	3	0	0	0	32	3	2	0	3	0	0	0	0	0	1	0	0	524	128	0	0	0	0	0	1	0	0	0	0	0	0	0	0	10	3	0	0	0	0
14644	22976	"Lago dell'Accesa"	42.987498	10.892302	89	"AWI"	89	681	2040	1342	10	0	0	3	0	0	0	1	6	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	9	0	13	0	0	150	0	0	24	0	3	0	0	0	1	4	0	1	0	0	0	0	0	0	1	0	6	0	0	0	33	3	0	20	6	0	0	0	0	0	0	0	0	532	170	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	1	0	0	0	1
14644	22976	"Lago dell'Accesa"	42.987498	10.892302	100	"AWI"	100	765	2171	1471	10	0	0	0	0	0	0	2	9	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	6	0	0	0	0	80	0	0	11	0	7	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	41	5	2	40	0	0	0	0	0	0	0	0	0	485	85	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	3	0	0	0	0
14644	22976	"Lago dell'Accesa"	42.987498	10.892302	109	"AWI"	109	828	2307	1568	6	0	0	0	0	0	0	7	9	0	0	0	4	0	0	1	0	1	0	0	1	0	0	0	0	0	12	0	0	0	0	0	0	0	16	0	16	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	1	0	0	0	46	8	2	39	1	0	0	0	0	0	2	0	0	494	124	0	0	0	0	0	3	0	0	0	0	0	0	0	0	10	0	0	0	0	0
14644	22976	"Lago dell'Accesa"	42.987498	10.892302	119	"AWI"	119	987	2386	1716	5	0	0	3	0	0	0	3	12	0	0	0	2	0	0	0	0	5	0	0	1	0	0	0	0	0	16	0	0	0	0	232	0	0	24	0	5	0	0	0	0	5	0	4	0	0	0	0	0	0	0	0	2	0	0	0	75	5	0	44	1	0	0	0	0	0	1	0	0	459	101	0	0	0	0	0	5	0	0	3	0	1	0	0	0	10	2	0	0	0	0
14644	22976	"Lago dell'Accesa"	42.987498	10.892302	140	"AWI"	140	1283	2567	2037	15	0	0	0	0	0	1	5	6	0	0	0	1	0	0	0	0	2	0	0	2	0	0	0	0	0	9	0	0	0	0	110	0	0	26	0	14	0	0	0	0	5	0	19	0	0	0	0	0	0	0	0	2	0	0	0	48	15	4	64	5	0	0	0	0	0	0	0	0	512	171	0	0	0	0	0	2	0	0	1	0	0	0	0	0	13	1	0	0	2	4
