"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Cornus"	"Corylus"	"Crataegus"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Hypericaceae"	"Ilex"	"Lamiaceae"	"Montiaceae"	"Nartheciaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygalaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Scrophulariaceae"	"Sorbus"	"Tilia"	"Ulmus"	"Urticaceae"
23838	41320	"North Twitchen Springs"	51.11722	-3.82611	48	"AWI"	48	2194	2565	2361	0	10	0	0	1	0	0	8	0	0	1	0	0	0	0	0	58	0	128	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	61	2	0	0	6	0	0	2	0	0	0
23838	41320	"North Twitchen Springs"	51.11722	-3.82611	50	"AWI"	50	2221	2748	2432	0	10	3	0	1	1	0	7	0	1	0	0	0	0	1	0	67	0	152	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	49	3	0	0	0	0	0	1	0	0	0
23838	41320	"North Twitchen Springs"	51.11722	-3.82611	52	"AWI"	52	2291	2804	2525	2	9	0	0	1	3	0	4	0	0	0	0	0	2	0	0	103	0	102	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	71	5	0	0	0	0	0	0	0	1	0
23838	41320	"North Twitchen Springs"	51.11722	-3.82611	54	"AWI"	54	2335	2897	2614	0	9	1	0	0	1	0	4	0	0	0	0	0	1	0	0	97	0	95	32	0	0	0	2	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	56	9	0	0	0	0	0	0	0	3	0
23838	41320	"North Twitchen Springs"	51.11722	-3.82611	56	"AWI"	56	2415	2986	2702	0	6	0	0	1	0	0	4	0	0	0	0	0	2	0	0	66	0	172	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	58	2	0	0	0	1	0	0	1	2	1
23838	41320	"North Twitchen Springs"	51.11722	-3.82611	58	"AWI"	58	2508	3034	2793	1	7	0	0	2	1	0	3	0	1	0	0	0	0	0	0	60	0	9	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	120	1	0	0	0	0	0	0	1	0	0
23838	41320	"North Twitchen Springs"	51.11722	-3.82611	60	"AWI"	60	2569	3112	2885	0	17	0	1	0	0	0	2	0	0	0	0	0	1	0	0	107	0	22	0	0	0	5	0	0	3	0	0	0	0	4	0	0	2	0	3	0	0	0	0	0	0	84	1	0	0	0	0	0	1	0	1	0
23838	41320	"North Twitchen Springs"	51.11722	-3.82611	62	"AWI"	62	2746	3140	2958	0	18	1	1	2	0	0	5	0	0	0	0	0	0	0	0	66	0	14	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	81	4	0	0	0	0	0	0	0	2	0
23838	41320	"North Twitchen Springs"	51.11722	-3.82611	64	"AWI"	64	2874	3182	3040	0	17	0	0	4	0	0	1	0	0	0	0	0	3	0	0	78	0	16	0	1	0	11	0	0	3	0	0	0	0	0	0	1	1	1	2	0	0	0	1	0	0	107	1	0	0	0	0	0	1	0	9	0
23838	41320	"North Twitchen Springs"	51.11722	-3.82611	66	"AWI"	66	2939	3240	3107	0	3	0	0	2	0	0	2	0	0	0	0	0	1	0	0	70	0	98	0	0	0	0	0	0	0	0	1	0	0	2	0	1	0	0	1	0	0	0	0	0	0	84	3	0	0	0	0	0	0	0	3	0
23838	41320	"North Twitchen Springs"	51.11722	-3.82611	68	"AWI"	68	2991	3318	3156	0	7	0	0	0	0	0	0	0	0	0	0	0	1	0	0	87	0	68	0	0	0	1	0	0	0	0	0	0	1	4	0	0	1	0	0	0	0	0	0	0	0	90	7	0	0	0	0	0	1	2	0	0
23838	41320	"North Twitchen Springs"	51.11722	-3.82611	70	"AWI"	70	3018	3415	3203	0	24	0	0	0	0	0	5	0	0	1	1	0	0	0	0	116	0	42	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	64	7	0	0	4	0	0	1	0	1	0
23838	41320	"North Twitchen Springs"	51.11722	-3.82611	72	"AWI"	72	3073	3454	3258	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	95	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	74	0	0	0	0	0	0	0	1	1	0
23838	41320	"North Twitchen Springs"	51.11722	-3.82611	74	"AWI"	74	3110	3508	3312	0	13	0	0	1	0	0	7	0	0	0	0	0	0	0	0	115	0	79	0	0	0	1	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	80	1	0	0	0	0	0	0	0	2	0
23838	41320	"North Twitchen Springs"	51.11722	-3.82611	76	"AWI"	76	3164	3553	3365	0	11	0	0	1	0	0	0	0	0	0	0	0	0	0	0	33	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	55	0	0	0	0	1	0	0	0	0	0
23838	41320	"North Twitchen Springs"	51.11722	-3.82611	78	"AWI"	78	3221	3586	3419	0	16	0	0	2	0	0	1	0	0	0	0	0	0	0	0	80	0	61	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	1	0
23838	41320	"North Twitchen Springs"	51.11722	-3.82611	80	"AWI"	80	3259	3636	3474	0	17	0	0	0	0	0	5	0	0	0	0	0	0	0	0	61	0	75	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	2	0	0	0	0	0	0	72	1	0	0	0	0	0	0	0	2	0
23838	41320	"North Twitchen Springs"	51.11722	-3.82611	82	"AWI"	82	3363	3658	3519	0	28	0	0	0	0	0	10	0	0	0	0	0	0	0	0	89	1	54	0	0	0	0	4	0	0	0	0	0	0	8	0	1	0	0	2	0	0	0	0	0	0	91	1	0	0	0	0	0	1	0	3	0
23838	41320	"North Twitchen Springs"	51.11722	-3.82611	84	"AWI"	84	3448	3684	3570	0	5	0	0	0	0	0	3	0	0	0	0	0	1	0	0	45	0	74	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	4	0	0	0	0	0	0	91	1	0	0	0	0	0	1	0	2	0
23838	41320	"North Twitchen Springs"	51.11722	-3.82611	86	"AWI"	86	3496	3727	3613	0	8	0	0	1	0	0	4	0	0	0	0	0	0	0	0	120	0	32	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	105	1	0	0	0	0	0	0	0	7	0
23838	41320	"North Twitchen Springs"	51.11722	-3.82611	88	"AWI"	88	3517	3790	3650	0	18	0	0	0	0	0	3	0	0	0	0	0	0	0	0	103	0	25	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	104	0	0	0	0	0	0	0	0	1	0
23838	41320	"North Twitchen Springs"	51.11722	-3.82611	90	"AWI"	90	3535	3862	3685	0	14	1	0	0	0	0	3	0	0	0	0	0	0	0	0	83	0	17	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	2	7	0	0	0	0	0	165	2	0	0	0	1	0	0	0	3	0
23838	41320	"North Twitchen Springs"	51.11722	-3.82611	92	"AWI"	92	3576	3891	3724	0	41	0	0	3	0	0	5	1	0	0	0	0	0	0	0	81	0	20	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	125	0	0	0	0	1	0	0	0	6	0
23838	41320	"North Twitchen Springs"	51.11722	-3.82611	94	"AWI"	94	3603	3934	3762	0	8	0	0	1	0	0	2	0	0	0	0	0	0	0	0	68	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	157	1	0	0	2	0	0	0	0	4	0
23838	41320	"North Twitchen Springs"	51.11722	-3.82611	96	"AWI"	96	3640	3977	3798	0	18	0	0	0	0	0	1	0	0	0	0	0	0	0	0	67	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	99	0	0	0	0	0	0	0	0	0	0
23838	41320	"North Twitchen Springs"	51.11722	-3.82611	98	"AWI"	98	3681	4007	3835	0	15	0	0	0	0	0	6	0	0	0	0	0	1	0	0	102	0	11	0	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	4	8	0	0	1	0	0	113	1	0	0	0	0	0	0	1	1	0
23838	41320	"North Twitchen Springs"	51.11722	-3.82611	100	"AWI"	100	3710	4053	3872	0	17	0	1	2	0	0	3	0	0	0	0	0	0	0	0	70	0	8	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	89	0	0	0	0	0	0	1	0	1	0
23838	41320	"North Twitchen Springs"	51.11722	-3.82611	102	"AWI"	102	3772	4076	3906	0	12	0	0	0	0	0	2	0	0	0	0	0	2	0	0	54	0	13	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	33	0	0	0	0	0	88	1	0	0	0	0	2	0	0	5	0
23838	41320	"North Twitchen Springs"	51.11722	-3.82611	104	"AWI"	104	3823	4116	3940	0	26	0	1	0	2	0	5	1	0	0	0	0	0	0	0	65	0	27	0	0	0	0	4	0	0	0	0	0	0	0	4	0	0	0	2	0	0	0	0	0	0	105	2	0	0	0	0	0	0	0	2	0
23838	41320	"North Twitchen Springs"	51.11722	-3.82611	106	"AWI"	106	3855	4178	3989	0	12	1	1	0	0	0	1	0	0	0	0	0	0	0	1	73	0	35	0	2	0	0	2	1	0	0	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	99	0	0	0	0	1	0	0	0	0	0
23838	41320	"North Twitchen Springs"	51.11722	-3.82611	108	"AWI"	108	3884	4306	4051	0	23	0	0	1	1	0	4	0	0	0	0	0	0	0	0	113	0	33	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	3	2	0
23838	41320	"North Twitchen Springs"	51.11722	-3.82611	110	"AWI"	110	3904	4462	4105	0	37	0	0	0	0	0	5	0	0	0	0	0	0	0	0	69	0	76	0	0	0	1	2	0	0	0	0	0	0	2	0	0	0	0	1	7	0	0	0	0	0	123	3	0	0	0	1	0	0	2	7	0
23838	41320	"North Twitchen Springs"	51.11722	-3.82611	112	"AWI"	112	3942	4536	4170	0	12	0	0	0	0	0	0	0	0	0	0	0	1	0	0	71	0	65	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	114	1	0	0	0	0	0	0	0	7	0
23838	41320	"North Twitchen Springs"	51.11722	-3.82611	114	"AWI"	114	3967	4658	4230	0	17	0	0	0	0	0	10	0	0	0	0	0	0	0	0	83	0	50	0	0	0	1	4	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	95	0	0	0	0	0	0	0	0	7	0
23838	41320	"North Twitchen Springs"	51.11722	-3.82611	116	"AWI"	116	4009	4773	4290	0	7	0	0	0	1	0	0	0	0	0	0	0	0	0	0	35	0	67	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	9	0	0	0	0	0	0	120	0	0	0	0	0	0	0	0	6	0
