"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Fabaceae"	"Juniperus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Thalictrum"	"Ulmus"	"Urticaceae"	"Violaceae"
3171	4127	"Borkovická blata"	49.232262	14.621568	0	"AWI"	0	9228	10353	9854	0	0	0	0	0	0	0	0	0	0	0	0.985221674876847	0	0	0	0.246305418719212	83.743842364532	0	0.246305418719212	0	0	0	0	0	0	0	14.7783251231527	0
3171	4127	"Borkovická blata"	49.232262	14.621568	10	"AWI"	10	9604	10616	10157	0.60790273556231	0	0	0	0	7.90273556231003	0	0	0	0	0	0.60790273556231	0	0	0	0.60790273556231	78.419452887538	0	10.9422492401216	0	0	0	0	0	0	0.911854103343465	0	0
3171	4127	"Borkovická blata"	49.232262	14.621568	20	"AWI"	20	9959	10859	10455	0	0	0	0	0	3.72208436724566	0	0	0	0	0.248138957816377	0.496277915632754	0	0	0.248138957816377	0.248138957816377	83.8709677419355	0	5.4590570719603	0	0	0	0	5.70719602977668	0	0	0	0
3171	4127	"Borkovická blata"	49.232262	14.621568	30	"AWI"	30	10330	11086	10753	0.305810397553517	0	0	0	0	2.75229357798165	0	0	0	0	0	1.52905198776758	0	0	0.305810397553517	0	88.6850152905199	0	2.75229357798165	0	0	0	0	3.6697247706422	0	0	0	0
3171	4127	"Borkovická blata"	49.232262	14.621568	40	"AWI"	40	10743	11310	11079	0	0	0	0	0	1.84331797235023	0	0	0	0	0.230414746543779	1.84331797235023	0	0	0	0.230414746543779	91.0138248847926	0	3.45622119815668	0	0	0	0	1.15207373271889	0	0.230414746543779	0	0
3171	4127	"Borkovická blata"	49.232262	14.621568	50	"AWI"	50	10987	11704	11352	0	0	0	0	0	0.53475935828877	0	0	0	0	0	6.41711229946524	0	0	0	0.53475935828877	91.4438502673797	0	0.53475935828877	0	0	0	0	0.53475935828877	0	0	0	0
3171	4127	"Borkovická blata"	49.232262	14.621568	60	"AWI"	60	11260	12033	11647	0	0	0	0.199600798403194	0	10.9780439121756	0	0	0	0	0	7.78443113772455	0	0	0.199600798403194	0	54.8902195608782	0.399201596806387	19.1616766467066	0	0	0.998003992015968	0	5.38922155688623	0	0	0	0
3171	4127	"Borkovická blata"	49.232262	14.621568	70	"AWI"	70	11535	12349	11948	0	0	0	0	0	12.8834355828221	0	0.204498977505113	0	0	0	9.20245398773006	0	0	0.204498977505113	0	69.9386503067485	0	0.81799591002045	0	0	3.06748466257669	0	3.47648261758691	0	0.204498977505113	0	0
3171	4127	"Borkovická blata"	49.232262	14.621568	80	"AWI"	80	11834	12657	12246	0.980392156862745	0	0	0	0	5.22875816993464	0	0	0	0	0	13.3986928104575	0	0	0	0.326797385620915	76.797385620915	0	1.30718954248366	0	0.65359477124183	0	0	1.30718954248366	0	0	0	0
3171	4127	"Borkovická blata"	49.232262	14.621568	90	"AWI"	90	12139	12943	12550	0.223214285714286	0	0	0	0	5.13392857142857	0	0	0	0	0	17.1875	0	0	0.223214285714286	0.223214285714286	76.1160714285714	0	0.446428571428571	0	0	0.223214285714286	0	0.223214285714286	0	0	0	0
