"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asparagaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Convolvulaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Juniperus"	"Lamiaceae"	"Lythraceae"	"Orchidaceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
13468	20223	"Rynholec"	50.12944	13.92972	40	"AWI"	40	220	825	515	20	0	18	5	0	9	0	0	35	0	7	0	0	0	0	1	12	102	3	0	0	6	0	0	1	0	1	0	0	0	53	518	0	143	3	11	0	14	0	0	2	0	1	3	0	0	0	11	0	3	1
13468	20223	"Rynholec"	50.12944	13.92972	50	"AWI"	50	354	955	662	22	0	12	6	0	12	0	0	37	0	11	1	0	0	0	0	21	87	4	0	0	4	0	1	1	0	1	0	0	0	71	611	0	148	0	8	0	11	0	4	0	0	0	1	0	0	1	9	0	3	2
13468	20223	"Rynholec"	50.12944	13.92972	60	"AWI"	60	489	1066	810	30	3	16	0	0	1	0	0	35	0	0	1	0	0	0	0	24	16	0	0	0	15	0	6	0	0	0	0	0	0	147	250	0	0	0	0	0	132	0	3	0	0	0	0	0	0	0	6	3	0	0
13468	20223	"Rynholec"	50.12944	13.92972	70	"AWI"	70	645	1168	957	18	1	13	1	0	2	0	0	28	0	3	0	0	0	0	0	21	18	0	0	0	21	0	5	0	2	0	0	0	1	172	292	0	0	0	2	0	89	0	3	2	0	2	0	0	0	0	7	2	1	0
13468	20223	"Rynholec"	50.12944	13.92972	80	"AWI"	80	861	1241	1094	4	0	13	0	0	1	0	0	21	0	3	0	0	0	0	0	12	13	0	0	0	10	0	2	0	0	0	0	0	0	206	286	0	0	0	0	0	103	0	0	1	0	1	0	0	0	0	3	7	0	0
13468	20223	"Rynholec"	50.12944	13.92972	90	"AWI"	90	1121	1413	1270	13	1	17	0	0	2	0	0	39	0	6	0	0	0	0	0	26	15	0	0	0	26	0	10	1	0	0	0	0	0	136	162	0	0	0	0	0	158	0	0	0	0	1	0	0	0	2	7	4	0	0
13468	20223	"Rynholec"	50.12944	13.92972	100	"AWI"	100	1266	2107	1542	11	1	14	1	0	2	0	0	42	0	2	1	0	0	0	0	22	37	0	0	0	18	0	11	0	0	1	0	0	0	161	306	0	0	0	1	0	127	0	3	1	0	3	0	0	0	1	9	5	0	0
13468	20223	"Rynholec"	50.12944	13.92972	110	"AWI"	110	1409	2641	1865	17	2	15	0	0	2	0	0	25	0	3	0	0	0	0	0	27	8	0	0	0	9	0	8	0	0	0	0	0	0	159	251	0	0	0	1	0	117	0	4	0	0	2	0	1	0	1	12	3	0	0
13468	20223	"Rynholec"	50.12944	13.92972	120	"AWI"	120	1617	3109	2226	4	0	9	0	0	1	0	0	19	0	1	2	0	0	0	1	25	86	0	0	0	3	0	5	0	0	0	0	0	1	162	283	0	0	0	3	0	99	0	0	0	0	1	0	0	0	0	11	8	0	0
13468	20223	"Rynholec"	50.12944	13.92972	130	"AWI"	130	1836	3593	2566	0	0	13	0	0	2	0	0	15	0	14	0	0	0	0	0	25	71	0	0	0	2	0	3	0	0	0	0	0	0	113	338	0	0	0	2	0	54	0	0	0	0	1	0	0	0	0	3	7	0	0
