"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Celastraceae"	"Cistaceae"	"Convolvulaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Genista"	"Gentianaceae"	"Geraniaceae"	"Grossulariaceae"	"Hypericaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Ligustrum"	"Linaceae"	"Lythraceae"	"Myrica"	"Onagraceae"	"Orchidaceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Resedaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Saxifragaceae"	"Solanaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
14478	22669	"Altes Moor"	53.436742	8.867332	1	"AWI"	1	-97	71	-14	0	0	104	8	3	1	3	0	93	0	10	0	28	0	0	0	0	0	51	0	93	0	1530	0	0	39	0	5	1	0	0	0	0	0	0	0	0	0	0	10	0	0	0	19	0	1	92	0	0	448	0	0	0	141	0	0	0	0	1	413	2	0	0	0	0	0	0	1	6	5	0	0
14478	22669	"Altes Moor"	53.436742	8.867332	5	"AWI"	5	-57	227	54	1	0	90	6	0	0	5	0	83	0	7	0	14	0	0	0	0	0	29	0	131	0	563	0	0	89	1	1	0	0	0	0	1	1	0	0	0	0	0	8	0	0	0	6	0	1	70	0	0	254	0	0	2	206	0	0	0	0	1	103	5	0	0	0	0	2	0	1	1	13	0	1
14478	22669	"Altes Moor"	53.436742	8.867332	9	"AWI"	9	-35	421	119	0	0	86	2	0	0	2	0	86	0	4	0	16	0	0	0	0	0	58	0	303	0	421	0	0	62	0	3	1	0	0	0	0	1	0	0	0	0	0	3	0	0	0	17	0	3	51	0	0	190	0	0	0	190	0	0	0	0	1	71	3	0	0	0	0	0	0	2	1	5	0	0
14478	22669	"Altes Moor"	53.436742	8.867332	13	"AWI"	13	11	506	196	0	0	132	7	2	0	10	0	132	0	14	0	17	0	0	0	0	0	46	0	262	0	625	0	0	73	0	6	0	0	0	0	0	1	0	0	0	0	0	15	0	0	0	38	0	1	54	0	0	426	0	0	0	103	0	0	0	0	1	141	9	0	0	0	0	0	1	1	4	11	0	0
14478	22669	"Altes Moor"	53.436742	8.867332	17	"AWI"	17	45	584	274	0	0	124	9	2	0	2	0	108	0	0	0	7	0	0	0	0	0	42	0	135	0	394	0	0	62	0	6	1	0	0	0	0	0	0	0	0	0	0	5	0	0	0	38	0	2	48	0	0	154	0	0	0	123	0	0	0	0	0	115	9	0	0	0	0	0	0	0	6	3	0	0
14478	22669	"Altes Moor"	53.436742	8.867332	21	"AWI"	21	86	690	346	0	0	129	5	3	1	4	0	131	0	3	0	6	0	0	0	0	0	25	0	208	0	0	0	0	61	0	5	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	28	0	2	34	0	0	121	0	0	0	118	0	0	0	0	1	61	3	0	0	1	0	0	0	0	4	8	0	0
14478	22669	"Altes Moor"	53.436742	8.867332	25	"AWI"	25	152	734	424	0	0	103	4	0	0	1	0	117	0	0	0	0	0	0	0	0	0	31	0	179	0	0	0	0	88	1	4	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	54	0	0	37	0	0	91	0	0	0	118	0	0	0	0	1	40	3	0	0	0	1	0	0	0	6	8	0	0
14478	22669	"Altes Moor"	53.436742	8.867332	27	"AWI"	27	171	764	464	0	0	148	8	0	0	0	0	124	0	2	0	1	0	0	0	0	0	38	0	173	0	0	0	0	73	0	3	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	37	0	0	45	0	0	71	0	0	0	111	0	0	0	0	0	32	6	0	0	0	0	0	0	0	5	4	0	0
14478	22669	"Altes Moor"	53.436742	8.867332	29	"AWI"	29	185	800	503	0	0	169	1	2	0	5	0	121	0	2	0	2	0	0	0	0	0	29	0	132	0	0	0	0	73	0	7	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	34	0	1	27	0	0	96	0	0	0	94	0	0	0	0	0	38	3	0	0	0	0	0	0	0	6	8	0	0
14478	22669	"Altes Moor"	53.436742	8.867332	33	"AWI"	33	254	850	573	1	0	165	5	1	0	3	0	100	0	1	0	0	0	0	0	0	0	27	0	117	0	0	0	0	107	0	4	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	30	0	0	34	0	0	90	0	0	0	100	0	0	0	0	2	31	2	0	0	0	0	0	0	2	1	3	0	0
