"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Saxifragaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
3116	4058	"Fuchsschwanzmoos"	47.11667	13.9	0	"AWI"	0	-147	20	-69	2	0	22	0	0	0	0	0	22	0	0	0	3	2	49	0	0	0	0	10	0	0	0	0	10	0	0	0	308	80	4	0	0	1	0	0	0	3	0	0	0	0	1	0	0
3116	4058	"Fuchsschwanzmoos"	47.11667	13.9	10	"AWI"	10	-61	664	169	2	2	44	0	1	0	5	0	41	0	0	0	2	2	169	0	0	0	0	6	0	0	0	0	1	0	0	0	399	75	5	0	0	4	0	0	0	0	0	0	0	0	0	0	2
3116	4058	"Fuchsschwanzmoos"	47.11667	13.9	20	"AWI"	20	68	964	456	44	1	46	0	0	0	3	0	63	0	0	0	4	4	20	0	0	0	0	25	0	0	0	0	3	0	0	0	836	120	1	0	0	7	0	0	0	1	0	0	0	0	1	0	0
3116	4058	"Fuchsschwanzmoos"	47.11667	13.9	30	"AWI"	30	268	1211	750	67	1	43	0	1	0	7	0	36	0	0	0	2	3	12	0	0	0	0	42	0	0	0	0	4	0	0	2	539	40	0	24	0	7	0	0	0	0	0	0	0	0	0	1	0
3116	4058	"Fuchsschwanzmoos"	47.11667	13.9	35	"AWI"	35	445	1279	891	143	0	86	0	2	0	2	0	84	0	0	0	0	11	11	0	0	0	0	120	0	2	0	0	5	0	0	1	0	70	9	0	0	24	0	0	0	3	0	0	0	0	0	0	0
3116	4058	"Fuchsschwanzmoos"	47.11667	13.9	40	"AWI"	40	536	1397	1041	162	0	82	2	0	0	2	0	52	0	0	0	1	11	18	0	0	0	0	70	0	0	0	0	3	0	0	2	0	48	7	0	0	11	0	0	0	1	0	0	0	0	1	0	0
3116	4058	"Fuchsschwanzmoos"	47.11667	13.9	50	"AWI"	50	963	1543	1311	200	3	119	1	0	0	5	0	46	0	3	0	3	16	87	0	0	0	0	96	0	0	0	0	5	0	0	2	0	84	3	0	1	5	0	0	0	3	2	0	0	1	2	3	0
3116	4058	"Fuchsschwanzmoos"	47.11667	13.9	60	"AWI"	60	1372	1923	1577	204	1	73	1	4	0	14	0	42	1	0	0	1	19	39	0	0	0	0	108	2	0	0	0	8	0	0	0	0	44	5	0	0	8	0	0	1	1	1	1	0	0	1	2	0
3116	4058	"Fuchsschwanzmoos"	47.11667	13.9	70	"AWI"	70	1504	2546	1859	192	1	57	0	1	0	1	0	18	2	0	0	0	10	2	0	0	0	0	61	0	0	0	0	8	0	0	1	0	40	0	0	1	12	0	0	0	0	1	0	0	0	2	2	1
3116	4058	"Fuchsschwanzmoos"	47.11667	13.9	80	"AWI"	80	1669	3036	2168	102	1	55	0	0	0	4	0	15	0	0	0	0	5	7	0	0	0	0	72	0	0	0	0	8	0	0	0	0	58	0	0	0	10	0	0	0	0	1	0	0	0	2	3	0
