"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cedrus"	"Celastraceae"	"Cistaceae"	"Coriariaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Gentianaceae"	"Geraniaceae"	"Juniperus"	"Lamiaceae"	"Larix"	"Liliaceae"	"Lythraceae"	"Olea"	"Onagraceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
14600	22887	"Tourbière de Champlong"	45.824862	7.644858	295	"AWI"	295	10107	11188	10604	0	0	0.470219435736677	1.09717868338558	1.09717868338558	27.742946708464	4.07523510971787	2.03761755485893	0	0	0	0	0	0.156739811912226	0	0	0	0	0	0	1.56739811912226	0	0.626959247648903	0	0	0	0	0	0.156739811912226	0.313479623824451	0	0	0	0	0	0.313479623824451	0	0	0	56.7398119122257	0	0	0	0	0	0.156739811912226	0	1.41065830721003	0	0.313479623824451	0.470219435736677	0	0.313479623824451	0	0.626959247648903	0.313479623824451	0	0	0
14600	22887	"Tourbière de Champlong"	45.824862	7.644858	305	"AWI"	305	10209	11384	10750	0	0	0	5.10948905109489	5.10948905109489	59.8540145985402	0	6.56934306569343	0	0	0	0	0	0	0	0	0	0	1.45985401459854	0	2.91970802919708	0	2.18978102189781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.72992700729927	0	6.56934306569343	0	0.72992700729927	1.45985401459854	0	0.72992700729927	2.18978102189781	2.91970802919708	0.72992700729927	0	0.72992700729927	0
14600	22887	"Tourbière de Champlong"	45.824862	7.644858	310	"AWI"	310	10270	11453	10825	0	0	0	4.29447852760736	1.22699386503067	53.9877300613497	13.4969325153374	1.84049079754601	0	0	0	0	0	0.613496932515337	0	1.22699386503067	0	0	0	0.613496932515337	5.52147239263804	0	1.84049079754601	0	0	0	0	0	0	0.613496932515337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.613496932515337	0	6.13496932515337	0	1.22699386503067	1.22699386503067	0	1.22699386503067	0.613496932515337	3.68098159509202	0	0	0	0
14600	22887	"Tourbière de Champlong"	45.824862	7.644858	315	"AWI"	315	10325	11530	10895	0	0	2.22222222222222	4.44444444444444	7.77777777777778	51.1111111111111	8.88888888888889	4.44444444444444	0	0	0	0	0	0	0	0	0	0	0	0	5.55555555555556	0	1.11111111111111	0	0	0	0	0	0	2.22222222222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.88888888888889	0	0	0	0	0	0	2.22222222222222	0	0	1.11111111111111	0
14600	22887	"Tourbière de Champlong"	45.824862	7.644858	320	"AWI"	320	10378	11630	10967	0	0	0	5.75539568345324	1.43884892086331	57.5539568345324	15.1079136690647	2.15827338129496	0	0	0	0	0	0	0	0	0	0	0	0	3.59712230215827	0	1.43884892086331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.19424460431655	0	0.719424460431655	0	0	0.719424460431655	0.719424460431655	3.59712230215827	0	0	0	0
14600	22887	"Tourbière de Champlong"	45.824862	7.644858	330	"AWI"	330	10516	11781	11120	0	0	0	1.17647058823529	0	67.0588235294118	0	4.70588235294118	0	1.17647058823529	0	0	0	0	0	0	0	0	0	0	4.70588235294118	0	5.88235294117647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.41176470588235	0	0	1.17647058823529	1.17647058823529	0	1.17647058823529	2.35294117647059	0	0	0	0
14600	22887	"Tourbière de Champlong"	45.824862	7.644858	340	"AWI"	340	10636	11939	11259	2.63157894736842	0	0	5.26315789473684	5.26315789473684	52.6315789473684	0	2.63157894736842	0	2.63157894736842	0	0	0	0	0	0	0	0	0	0	5.26315789473684	0	0	0	0	0	0	0	0	5.26315789473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.7894736842105	0	0	0	0	0	0	0	2.63157894736842	0	0	0
14600	22887	"Tourbière de Champlong"	45.824862	7.644858	345	"AWI"	345	10697	12013	11333	0	0	0	2.06185567010309	1.3745704467354	27.8350515463918	6.52920962199313	2.06185567010309	0	0	0	0	0	0	0	0	0	0	0	0	1.03092783505155	0	0.687285223367698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52.5773195876289	0	0	0	0	0	0.343642611683849	0	2.06185567010309	0	0.687285223367698	0.343642611683849	0	0.343642611683849	0	1.71821305841924	0	0	0.343642611683849	0
14600	22887	"Tourbière de Champlong"	45.824862	7.644858	350	"AWI"	350	10753	12097	11410	1.08695652173913	0	0	2.17391304347826	2.17391304347826	59.7826086956522	0	3.26086956521739	0	0	0	0	0	0	0	0	0	0	0	0	4.34782608695652	0	2.17391304347826	0	0	0	0	1.08695652173913	0	0	0	0	0	0	0	1.08695652173913	0	0	0	0	2.17391304347826	0	0	0	1.08695652173913	1.08695652173913	0	9.78260869565217	0	1.08695652173913	0	0	1.08695652173913	0	4.34782608695652	1.08695652173913	0	1.08695652173913	0
14600	22887	"Tourbière de Champlong"	45.824862	7.644858	355	"AWI"	355	10846	12152	11484	0	0	0	3.92156862745098	3.26797385620915	71.8954248366013	0	3.92156862745098	0	0	0	0	0	0	0	0	0	0	0	0	1.30718954248366	0	1.30718954248366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.4575163398693	0	0.65359477124183	0.65359477124183	0	0	0	1.96078431372549	0	0	0.65359477124183	0
14600	22887	"Tourbière de Champlong"	45.824862	7.644858	365	"AWI"	365	10966	12328	11628	0	0	0	7.40740740740741	3.7037037037037	61.7283950617284	0	4.93827160493827	0	0	0	0	0	0	0	1.23456790123457	0	0	0	0	2.46913580246914	0	3.7037037037037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.23456790123457	0	0	0	1.23456790123457	1.23456790123457	0	1.23456790123457	0	2.46913580246914	0	2.46913580246914	0	0	1.23456790123457	0	2.46913580246914	1.23456790123457	0	0	0
