"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Convolvulaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Indeterminable"	"Juglans"	"Juniperus"	"Lamiaceae"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Viburnum"	"Vitaceae"
15813	24327	"Lailias"	41.27384	23.58353	0	"AWI"	0	-131	25	-49	0	7	4	8	0	0	5	0	1	0	3	2	0	2	0	0	8	75	1	1	51	1	2	0	7	0	2	22	6	193	5	0	0	0	31	8	0	0	3	4	0	0	0	0	1	0	1
15813	24327	"Lailias"	41.27384	23.58353	10	"AWI"	10	-89	137	11	0	2	1	3	0	0	3	0	1	0	2	5	0	4	0	0	9	128	1	9	76	4	5	1	17	0	2	0	6	209	2	87	0	0	40	3	0	0	9	3	0	0	0	0	2	0	0
15813	24327	"Lailias"	41.27384	23.58353	20	"AWI"	20	-50	240	72	0	0	2	6	2	0	11	0	0	0	1	0	0	2	1	0	2	106	0	6	116	5	3	0	4	0	0	0	0	172	10	122	3	0	23	3	0	0	4	2	1	0	2	0	2	0	0
15813	24327	"Lailias"	41.27384	23.58353	30	"AWI"	30	-18	329	135	0	3	2	3	2	0	16	0	1	0	0	0	0	1	0	0	7	103	1	43	128	0	4	0	2	0	0	12	0	172	11	135	0	0	31	14	0	8	7	3	0	0	0	0	0	1	0
15813	24327	"Lailias"	41.27384	23.58353	40	"AWI"	40	42	372	207	1	0	2	11	0	0	13	0	0	0	2	0	1	5	0	0	2	97	0	11	106	0	4	4	2	0	0	10	0	197	6	104	1	0	24	7	0	0	16	1	1	0	0	0	1	0	0
15813	24327	"Lailias"	41.27384	23.58353	50	"AWI"	50	97	434	275	1	0	0	1	0	0	20	0	0	2	2	0	0	3	5	0	4	79	1	15	145	0	3	3	2	0	0	0	0	136	7	147	2	0	26	50	0	1	12	2	0	0	0	0	0	0	0
15813	24327	"Lailias"	41.27384	23.58353	60	"AWI"	60	148	492	341	3	3	4	1	0	0	7	0	0	0	0	0	0	5	0	0	0	129	1	3	27	1	3	2	1	0	4	0	2	257	1	159	2	0	46	8	0	2	18	3	0	0	3	0	1	0	0
15813	24327	"Lailias"	41.27384	23.58353	70	"AWI"	70	205	598	420	3	0	6	1	0	0	7	0	0	0	0	0	0	6	2	0	2	105	0	8	22	2	4	1	0	0	0	11	1	273	3	0	0	0	35	4	0	4	15	1	0	0	0	0	2	5	0
15813	24327	"Lailias"	41.27384	23.58353	80	"AWI"	80	270	713	491	4	0	3	1	0	0	0	0	0	0	1	1	0	2	0	0	3	71	0	3	23	1	3	1	0	0	0	11	1	248	1	184	0	0	52	1	0	2	6	0	1	0	0	1	0	0	0
15813	24327	"Lailias"	41.27384	23.58353	90	"AWI"	90	326	818	563	2	0	4	1	1	0	13	0	0	0	0	0	0	2	0	0	1	37	3	5	33	1	2	0	0	0	0	20	0	224	0	97	0	0	70	9	0	4	8	0	0	0	0	1	0	1	2
