"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fagus"	"Fraxinus"	"Juglans"	"Lamiaceae"	"Liliaceae"	"Malvaceae"	"Myrica"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Thalictrum"	"Tilia"	"Ulmus"
16225	25110	"Marais de Marchesieux"	49.17333	-1.3	1	"AWI"	1	-77	113	11	0	12	0	0	0	0	0	0	3	0	35	32	1	0	0	0	0	0	0	6	0	0	0	4	0	0	0	0	5	0	0	0	0	1	0	0	0
16225	25110	"Marais de Marchesieux"	49.17333	-1.3	3	"AWI"	3	-44	275	86	0	13	0	0	1	1	0	2	1	2	43	30	0	0	0	0	0	2	0	7	0	0	0	2	0	0	0	0	4	0	0	0	0	0	0	0	0
16225	25110	"Marais de Marchesieux"	49.17333	-1.3	5	"AWI"	5	-25	461	160	0	15	3	3	1	0	11	1	1	1	51	52	0	0	0	0	0	0	0	8	0	0	0	2	0	0	0	1	4	0	0	0	0	0	0	0	0
16225	25110	"Marais de Marchesieux"	49.17333	-1.3	7	"AWI"	7	-12	652	236	0	18	1	2	0	1	0	1	4	0	48	37	3	0	0	0	0	0	0	8	0	0	1	0	0	0	0	0	3	0	0	0	0	2	0	0	1
16225	25110	"Marais de Marchesieux"	49.17333	-1.3	9	"AWI"	9	1	842	311	0	20	1	0	0	0	0	4	2	0	51	77	2	1	0	0	0	0	0	7	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0
16225	25110	"Marais de Marchesieux"	49.17333	-1.3	11	"AWI"	11	59	962	392	0	16	1	2	1	0	0	5	3	0	21	62	0	0	0	0	0	0	0	6	0	0	0	0	0	0	5	0	4	0	0	0	0	2	0	0	0
16225	25110	"Marais de Marchesieux"	49.17333	-1.3	13	"AWI"	13	129	1009	483	0	36	0	1	3	0	0	0	2	1	21	68	0	2	0	0	0	0	0	3	0	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0
16225	25110	"Marais de Marchesieux"	49.17333	-1.3	15	"AWI"	15	178	1066	578	0	42	1	0	1	0	0	0	0	0	13	43	0	1	0	0	0	0	0	2	0	0	0	0	0	0	3	0	10	0	0	0	0	0	0	0	1
16225	25110	"Marais de Marchesieux"	49.17333	-1.3	17	"AWI"	17	221	1136	672	0	65	0	1	0	0	0	1	1	1	11	36	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	7	0	0	0	0	1	0	0	0
16225	25110	"Marais de Marchesieux"	49.17333	-1.3	19	"AWI"	19	256	1229	760	0	48	0	1	1	0	0	0	0	0	3	28	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	11	0	1	0	0	4	0	0	0
