"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Juniperus"	"Larix"	"Liliaceae"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Thalictrum"	"Tilia"	"Urticaceae"
14515	22736	"Juf Plan"	46.62639	10.25972	2.5	"AWI"	2.5	116	566.5	297.5	0.315457413249211	0	3.15457413249211	0	0	0	0	0.630914826498423	0	0	0	0	0	51.7350157728707	0	1.26182965299685	0.630914826498423	0.315457413249211	0	0	0	0.315457413249211	4.10094637223975	34.0694006309148	0	0	0.315457413249211	0.630914826498423	0	0	0	0	2.52365930599369	0	0
14515	22736	"Juf Plan"	46.62639	10.25972	5	"AWI"	5	337	961	607	0.313479623824451	0	1.56739811912226	0	0.313479623824451	0.313479623824451	2.19435736677116	0	0.313479623824451	0	0.313479623824451	0	0.626959247648903	44.8275862068966	0.626959247648903	0.313479623824451	0	0	0	0.313479623824451	0	0	6.26959247648903	33.8557993730408	0	5.64263322884013	0	0.313479623824451	0	0.313479623824451	0	0	1.25391849529781	0	0.313479623824451
14515	22736	"Juf Plan"	46.62639	10.25972	10	"AWI"	10	872	1661	1238	0.25	0	3	0	0	0	0	0	0	0.5	0	0	0.25	47.5	0	0	0	0	0.25	0.25	0	0	3.25	40.25	0	0	0	0	0	0	0	0	4.5	0	0
14515	22736	"Juf Plan"	46.62639	10.25972	15	"AWI"	15	1442	2309	1857	0.452488687782805	0.226244343891403	10.4072398190045	0	0	0.226244343891403	0.904977375565611	0.452488687782805	0	0	0	0.226244343891403	0	27.6018099547511	0	0.452488687782805	0.226244343891403	0.452488687782805	0	0	0.226244343891403	0	7.01357466063348	49.5475113122172	0	0	0.226244343891403	0	0	0	0.226244343891403	0	1.13122171945701	0	0
14515	22736	"Juf Plan"	46.62639	10.25972	20	"AWI"	20	2051	2922	2485	1.02564102564103	0.256410256410256	6.92307692307692	0	0	0.256410256410256	0	0	0	0	0	0	0.256410256410256	18.974358974359	0	0	0	0	0.256410256410256	0	0	0	14.8717948717949	56.6666666666667	0	0	0	0.256410256410256	0	0	0	0	0.256410256410256	0	0
14515	22736	"Juf Plan"	46.62639	10.25972	25	"AWI"	25	2702	3484	3111	0.673400673400673	0	10.4377104377104	0	0.168350168350168	0.168350168350168	0	0	0.168350168350168	0	0.505050505050505	0	0.168350168350168	36.8686868686869	0	0	0.168350168350168	0	0	0	0	0	7.74410774410774	42.4242424242424	0	0	0.336700336700337	0	0	0	0	0	0.168350168350168	0	0
14515	22736	"Juf Plan"	46.62639	10.25972	30	"AWI"	30	3412	4045	3726	0.657894736842105	0	5.59210526315789	0	0	0.328947368421053	1.31578947368421	0.328947368421053	0	0	0	0.328947368421053	0	33.2236842105263	0	0	0	0	0	0	0	0	8.55263157894737	49.671052631579	0	0	0	0	0	0	0	0	0	0	0
14515	22736	"Juf Plan"	46.62639	10.25972	35	"AWI"	35	3917	4684	4294	0.315457413249211	0	2.52365930599369	0	0	0	0	0	0	0	0	0	0	43.8485804416404	0	0	0	0	0	0	0	0	9.46372239747634	43.5331230283912	0	0	0.315457413249211	0	0	0	0	0	0	0	0
14515	22736	"Juf Plan"	46.62639	10.25972	40	"AWI"	40	4429	5296	4864	1.0752688172043	0	5.01792114695341	0	0	0.716845878136201	0	0.716845878136201	0	0	0	0	0.3584229390681	30.4659498207885	0	0	0	0	0.3584229390681	0	0	0	8.24372759856631	52.3297491039427	0	0	0	0.3584229390681	0	0	0	0	0	0.3584229390681	0
14515	22736	"Juf Plan"	46.62639	10.25972	45	"AWI"	45	4980	5865	5429	0.769230769230769	0	5.38461538461539	0	0.384615384615385	0	0	0	0	0	0	0	0	27.3076923076923	0	0	0	0	0.769230769230769	0	0	0	11.1538461538462	54.2307692307692	0	0	0	0	0	0	0	0	0	0	0
