"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Convolvulaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Juniperus"	"Lamiaceae"	"Lythraceae"	"Myrica"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Zygophyllaceae"
3077	4011	"Dags Mosse"	58.32288	14.70652	335	"AWI"	335	5064	5537	5318	0.0612369871402327	0	0	0	0.244947948560931	0	33.0067360685854	0	0	0	0	0	0	0	16.1053276178812	1.59216166564605	0	1.04102878138396	0	0	0	0	0.244947948560931	0	0	0	0	0	0	0	0	14.206981016534	0	0	0	0	7.71586037966932	0	0	0	0	0.0612369871402327	0	0	0	2.75566442131047	1.28597672994489	0	0	21.6778934476424
3077	4011	"Dags Mosse"	58.32288	14.70652	340	"AWI"	340	5133	5631	5417	0	0.0894054537326777	0.0447027268663388	0	0.357621814930711	0	43.8533750558784	0.0447027268663388	0	0	0	0.0447027268663388	0	0	12.7849798837729	1.25167635225749	0	0	0	0	0	0	0.0894054537326777	0	0	0	0	0	0	0	0.0447027268663388	12.5614662494412	0	0	0	0	8.53822083147072	0	0	0	0	0.0894054537326777	0	0	0	2.68216361198033	0.670540902995083	0	0	16.8529280286097
3077	4011	"Dags Mosse"	58.32288	14.70652	345	"AWI"	345	5305	5668	5494	0	0	0	0	0.0503018108651912	0	21.4788732394366	0	0	0.0503018108651912	0	0.0503018108651912	0	0	12.2736418511066	13.0281690140845	0	0	0	0	0.0503018108651912	0	0.251509054325956	0	0	0	0	0.100603621730382	0	0	0	26.2072434607646	0	0	0	0	9.1046277665996	0	0	0.0503018108651912	0	0.301810865191147	0	0	0	4.02414486921529	1.05633802816901	0	0	11.9215291750503
3077	4011	"Dags Mosse"	58.32288	14.70652	350	"AWI"	350	5374	5738	5586	0	0.107700592353258	0	0	0.161550888529887	0	17.8782983306408	0.053850296176629	0	0	0	0.053850296176629	0	0	6.40818524501885	16.8551427032849	0	0	0	0	0	0	0.161550888529887	0.053850296176629	0	0	0	0	0	0	0.053850296176629	27.0328486806677	0	0	0	0.107700592353258	12.5471190091545	0	0	0.161550888529887	0	0.269251480883145	0	0	0	4.4695745826602	0.807754442649435	0	0	12.8163704900377
3077	4011	"Dags Mosse"	58.32288	14.70652	355	"AWI"	355	5483	5812	5661	0	0	0	0	0.141242937853107	0	17.3728813559322	0	0	0	0	0.0706214689265537	0	0	9.03954802259887	13.2768361581921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0706214689265537	35.9463276836158	0	0	0	0	6.00282485875706	0	0	0.353107344632768	0	0.423728813559322	0	0	0	4.8728813559322	2.33050847457627	0	0	10.0988700564972
3077	4011	"Dags Mosse"	58.32288	14.70652	357.5	"AWI"	357.5	5505	5867.5	5699	0	0	0.0931966449207828	0	0	0	17.7073625349487	0.186393289841566	0	0	0	0	0	0	11.7427772600186	2.88909599254427	0	0	0	0	0	0	0.0931966449207828	0.0931966449207828	0	0	0	0	0	0	0.186393289841566	40.2609506057782	0	0	0	0	11.1835973904939	0	0	0	0	0.372786579683131	0.0931966449207828	0	0	6.5237651444548	2.7027027027027	0	0	5.87138863000932
3077	4011	"Dags Mosse"	58.32288	14.70652	360	"AWI"	360	5524	5935	5735	0	0	0.158478605388273	0	0.105652403592182	0	16.4289487585843	0	0	0	0	0	0	0	8.45219228737454	13.8404648705758	0	0	0	0	0	0	0.211304807184363	0	0	0	0	0.0528262017960909	0	0	0.0528262017960909	34.1257263602747	0	0	0	0	7.18436344426836	0	0	0	0	0.0528262017960909	0	0	0	6.76175382989963	4.648705758056	0	0	7.92393026941363
3077	4011	"Dags Mosse"	58.32288	14.70652	362.5	"AWI"	362.5	5587	5954	5771	0	0	0	0	0	0	15.1515151515152	0	0	0	0	0	0	0	12.7799736495389	11.0671936758893	0	0	0	0	0	0	0.263504611330698	0	0	0	0	0	0	0	0	26.7457180500659	0	0	0	0	7.5098814229249	0	0	0	0	0	0	0	0	10.4084321475626	5.79710144927536	0	0	10.2766798418972
3077	4011	"Dags Mosse"	58.32288	14.70652	365	"AWI"	365	5627	5976	5811	0	0.0688231245698555	0.0688231245698555	0	0.344115622849277	0	19.06400550585	0	0	0	0	0	0	0	17.2057811424639	10.5299380591879	0	0	0	0	0	0	0.0688231245698555	0	0	0	0	0	0	0	0.206469373709566	18.2381280110117	0	0	0	0	6.40055058499656	0	0	0.0688231245698555	0	0	0	0	0	7.43289745354439	5.29938059187887	0	0	15.0034411562285
3077	4011	"Dags Mosse"	58.32288	14.70652	370	"AWI"	370	5685	6064	5889	0	0	0.153295861011753	0	0.153295861011753	0	16.709248850281	0.0510986203372509	0	0	0	0.0510986203372509	0	0	14.256515074093	11.9570771589167	0	0	0	0	0	0	0.0510986203372509	0	0	0	0	0.0510986203372509	0	0.0510986203372509	0.0510986203372509	20.8482370975984	0	0	0	0	8.27797649463465	0	0	0	0	0.102197240674502	0	0	0	7.56259580991313	6.48952478283086	0	0.0510986203372509	13.1323454266735
