"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Balsaminaceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cornaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Euonymus"	"Fabaceae"	"Fagus"	"Fraxinus"	"Juniperus"	"Lamiaceae"	"Ostrya.Carpinus"	"Oxalidaceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygalaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Tilia"	"Ulmus"	"Urticaceae"	"Violaceae"
517	531	"Starniki"	50.26667	26.01667	12.5	"AWI"	12.5	174.5	583	409	2	0	0	3	0	4	0	0	13	0	0	0	0	0	0	4	0	36	0	0	0	0	1	0	0	0	1	0	16	182	0	4	0	0	0	12	0	0	5	0	0	0	0	0	2	0	0
517	531	"Starniki"	50.26667	26.01667	25	"AWI"	25	486	1133	790	0	1	18	4	0	3	0	0	18	0	0	0	1	0	0	6	0	10	0	0	0	1	0	0	0	0	8	0	8	182	0	3	0	0	0	8	2	0	1	1	1	2	0	0	4	1	0
517	531	"Starniki"	50.26667	26.01667	37.5	"AWI"	37.5	801	1484.5	1166	0	0	0	4	0	2	0	0	6	0	1	1	0	0	1	4	1	17	0	0	0	2	0	1	0	0	2	0	12	209	0	12	0	0	0	5	5	1	0	0	0	1	0	0	2	2	0
517	531	"Starniki"	50.26667	26.01667	50	"AWI"	50	1188	1761	1517	1	1	16	4	0	0	0	0	8	0	0	0	0	0	1	8	0	11	0	0	1	0	0	1	1	0	1	0	13	199	3	6	0	0	0	5	0	0	3	0	1	0	0	0	2	1	0
517	531	"Starniki"	50.26667	26.01667	62.5	"AWI"	62.5	1740.5	1965.5	1825.5	1	0	11	2	0	2	0	0	15	0	0	0	0	1	0	4	0	7	0	0	0	1	0	0	0	0	1	0	7	205	0	5	1	0	0	7	0	0	0	1	0	2	0	0	0	1	0
517	531	"Starniki"	50.26667	26.01667	75	"AWI"	75	1898	2337	2094	0	2	15	3	0	1	0	0	15	0	0	0	0	0	0	10	0	22	0	0	0	0	0	0	1	0	0	0	5	176	0	0	0	0	0	21	4	0	1	0	0	1	0	0	14	2	0
517	531	"Starniki"	50.26667	26.01667	87.5	"AWI"	87.5	2117	2588	2349.5	0	1	14	2	1	5	0	1	21	0	0	0	0	0	0	7	0	30	0	0	0	0	0	3	1	0	3	0	8	179	0	0	0	0	0	19	0	1	1	2	1	3	0	0	2	1	0
517	531	"Starniki"	50.26667	26.01667	100	"AWI"	100	2386	2789	2610	0	1	17	3	0	6	0	0	17	0	1	0	0	1	0	11	0	21	0	0	0	0	0	1	2	1	1	0	7	182	0	0	0	0	0	18	0	0	2	2	0	1	0	0	2	0	1
517	531	"Starniki"	50.26667	26.01667	112.5	"AWI"	112.5	2620	3224	2906.5	0	1	17	3	0	0	0	0	22	0	1	0	2	1	1	11	0	27	0	0	1	1	0	2	0	0	1	0	6	179	0	0	0	0	0	14	0	0	3	4	0	4	0	0	4	0	1
517	531	"Starniki"	50.26667	26.01667	125	"AWI"	125	2873	3599	3219	0	0	12	1	0	6	0	0	14	0	0	0	0	0	0	8	0	14	0	0	0	0	0	0	0	0	0	0	5	190	0	0	0	2	1	24	0	0	2	0	0	3	0	0	4	0	0
