"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Ilex"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Liliaceae"	"Malvaceae"	"Olea"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Phillyrea"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
16276	25230	"Tourbière de Chabannes"	45.64917	2.31056	0	"AWI"	0	86	260	161	1.18577075098814	0	4.74308300395257	0.395256916996047	0	0	0	0	11.0671936758893	0	0	0	0	0	1.18577075098814	0	3.55731225296443	0	3.16205533596838	17.7865612648221	0	0	5.92885375494071	1.58102766798419	0	0	0	0	0	0	0	0	0	0.395256916996047	0	0.395256916996047	0	0	4.34782608695652	22.5296442687747	1.97628458498024	0	0	0	18.5770750988142	0	0	0	0	0	0.395256916996047	0	0	0	0.395256916996047	0	0	0	0	0.395256916996047	0
16276	25230	"Tourbière de Chabannes"	45.64917	2.31056	1	"AWI"	1	122	358	217	0.492610837438424	0	1.47783251231527	0.492610837438424	1.97044334975369	0	0	0	8.86699507389163	0	0	0	0	0	2.95566502463054	0	1.97044334975369	0	16.7487684729064	17.7339901477833	0	0	2.95566502463054	1.47783251231527	0	0	0	0	0.492610837438424	0	0	0	0	1.97044334975369	0	0.492610837438424	0	0	0.492610837438424	18.2266009852217	0	0	0	0	16.7487684729064	0	0	0	0	2.95566502463054	0.492610837438424	0	0	0	0.985221674876847	0	0	0	0	0	0
16276	25230	"Tourbière de Chabannes"	45.64917	2.31056	5	"AWI"	5	224	832	451	0	0	1.96078431372549	1.47058823529412	0	0	0.490196078431373	0	14.2156862745098	0.980392156862745	0	0	0	0	1.47058823529412	0	1.47058823529412	0	16.6666666666667	0	0	0	0.980392156862745	0	0	0	0	0.490196078431373	0.980392156862745	0	0.490196078431373	0	0	0.490196078431373	0	0.490196078431373	0	0	0.980392156862745	11.7647058823529	0	28.921568627451	0	0	11.2745098039216	0	0	0	0	2.94117647058824	0.490196078431373	0	0	0	0.490196078431373	0	0	0.490196078431373	0	0	0
16276	25230	"Tourbière de Chabannes"	45.64917	2.31056	10	"AWI"	10	412	1239	772	1.30718954248366	0	3.92156862745098	0	0	0	0	0	5.88235294117647	0.65359477124183	0	0	0	0	1.96078431372549	0	1.96078431372549	0	1.30718954248366	54.2483660130719	0	0	2.61437908496732	0	0	0	0	0.65359477124183	0	0	0	0	0	0.65359477124183	0	0	0	0	0	7.18954248366013	3.26797385620915	0	0	0	10.4575163398693	0	0	0	0	2.61437908496732	0	0	0	0	0.65359477124183	0	0	0.65359477124183	0	0	0
16276	25230	"Tourbière de Chabannes"	45.64917	2.31056	15	"AWI"	15	641	1573	1097	0	0	3.64372469635628	0	0.404858299595142	0	0	0	6.88259109311741	0	0	0	0	0	1.61943319838057	0	3.23886639676113	0	0.809716599190283	71.2550607287449	0	0	2.02429149797571	0.404858299595142	0	0	0	1.21457489878543	0	0	0	0	0	0.404858299595142	0	0	0	0	0	0.809716599190283	1.21457489878543	0	0	0	4.04858299595142	0	0	0	0	1.21457489878543	0	0	0	0	0.404858299595142	0	0	0.404858299595142	0	0	0
16276	25230	"Tourbière de Chabannes"	45.64917	2.31056	20	"AWI"	20	958	1836	1420	0.833333333333333	0	5	0.833333333333333	0.833333333333333	0	0.833333333333333	0	29.1666666666667	0	0	0	0	0.833333333333333	4.16666666666667	0	8.33333333333333	0	14.1666666666667	0	0	0	7.5	0.833333333333333	0	0	0.833333333333333	0.833333333333333	0	0	0	0.833333333333333	0	0.833333333333333	0.833333333333333	0.833333333333333	0	0	0	1.66666666666667	1.66666666666667	0	0	0	12.5	0	0	0	0	4.16666666666667	0.833333333333333	0	0	0	0.833333333333333	0	0	0	0	0	0
16276	25230	"Tourbière de Chabannes"	45.64917	2.31056	25	"AWI"	25	1293	2074	1736	0.279329608938547	0	9.77653631284916	0	0.279329608938547	0	0.279329608938547	0	19.8324022346369	0	0	0	0	0.279329608938547	1.11731843575419	0.279329608938547	9.21787709497207	0	3.91061452513966	0	0	0	14.804469273743	0	0	0	0	0	0	0	0	0	0	0	0	0.558659217877095	0	0	0	1.11731843575419	0	17.0391061452514	0	0	19.5530726256983	0	0	0	0	0.837988826815642	0.279329608938547	0.279329608938547	0	0	0	0	0	0.279329608938547	0	0	0
16276	25230	"Tourbière de Chabannes"	45.64917	2.31056	30	"AWI"	30	1719	2258	2041	0.271739130434783	0.271739130434783	7.06521739130435	0.271739130434783	0	0.271739130434783	0.543478260869565	0	30.7065217391304	0	0	0	0	0	0.543478260869565	0	10.054347826087	0	3.26086956521739	0	0	0	24.7282608695652	0.543478260869565	0.271739130434783	0	0	0	0	0	0	0	0	0.271739130434783	2.71739130434783	0.271739130434783	0	0	0	0.543478260869565	1.35869565217391	0	0	0	14.1304347826087	0	0	0	0.543478260869565	0.271739130434783	0.271739130434783	0	0	0	0	0	0.543478260869565	0.271739130434783	0	0	0
16276	25230	"Tourbière de Chabannes"	45.64917	2.31056	35	"AWI"	35	2017	2485	2276	0.261096605744125	0.261096605744125	12.532637075718	0	0.522193211488251	0	0	0	11.2271540469974	0	0	0	0	0	0	0	8.87728459530026	0	3.1331592689295	0	0	0	38.6422976501305	0.783289817232376	0	0	0	0	0	0	0	0	0	0	0.522193211488251	0	0	0	0	0.522193211488251	0	0	0	0	20.1044386422977	0	0	0	0	0.261096605744125	0	0	0	0	0.261096605744125	0	1.82767624020888	0.261096605744125	0	0	0
16276	25230	"Tourbière de Chabannes"	45.64917	2.31056	40	"AWI"	40	2159	2759	2452	0.847457627118644	0	6.77966101694915	0.423728813559322	0	0	0.423728813559322	0	7.6271186440678	0	0	0	0	0	0	0	13.135593220339	0	1.27118644067797	0	0	0	37.2881355932203	0.847457627118644	0	0	0	0	0	0	0	0.423728813559322	0	0	0.423728813559322	0	0	0	0	1.27118644067797	0	0	0	0	20.7627118644068	0	0	0	0	0	5.93220338983051	0	0	0.423728813559322	0.423728813559322	0	0.847457627118644	0.847457627118644	0	0	0
