"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Betula"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fagus"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Poaceae"	"Polygonaceae"	"Quercus"	"Rumex"	"Salix"	"Tilia"	"Ulmus"
3494	46514	"Vishnevskoe Lake"	60.50222	29.51694	5	"AWI"	5	102	258	175	28	0	3	0	0	3	0	0	4	0	0	26	215	22	0	0	1	0	0	0
3494	46514	"Vishnevskoe Lake"	60.50222	29.51694	15	"AWI"	15	510	719	613	28	1	3	88	1	6	0	0	4	0	0	28	170	22	0	0	2	1	0	0
3494	46514	"Vishnevskoe Lake"	60.50222	29.51694	25	"AWI"	25	895	1201	1048	41	0	1	0	1	5	0	0	2	0	0	20	181	20	0	0	9	0	0	0
3494	46514	"Vishnevskoe Lake"	60.50222	29.51694	35	"AWI"	35	1241	1632	1434	38	0	0	86	0	5	0	0	0	0	0	18	176	13	0	0	7	0	0	0
3494	46514	"Vishnevskoe Lake"	60.50222	29.51694	45	"AWI"	45	1372	1746	1544	19	0	0	64	1	4	0	0	0	0	0	32	168	10	0	1	0	0	0	0
3494	46514	"Vishnevskoe Lake"	60.50222	29.51694	65	"AWI"	65	1477	2176	1753	31	0	1	93	2	4	0	0	1	0	0	65	173	2	0	1	0	1	0	3
3494	46514	"Vishnevskoe Lake"	60.50222	29.51694	85	"AWI"	85	1986	2584	2270	27	0	1	0	5	4	0	0	0	0	0	101	152	1	0	0	0	0	0	1
3494	46514	"Vishnevskoe Lake"	60.50222	29.51694	95	"AWI"	95	2162	2929	2542	38	0	1	88	1	2	0	0	0	0	1	55	151	1	0	1	0	2	1	3
3494	46514	"Vishnevskoe Lake"	60.50222	29.51694	115	"AWI"	115	2994	3543	3267	25	0	1	0	0	3	0	0	1	0	0	91	132	5	0	0	0	1	1	6
3494	46514	"Vishnevskoe Lake"	60.50222	29.51694	125	"AWI"	125	3321	3915	3669	25	0	1	0	3	4	0	0	0	0	0	66	175	7	0	1	0	0	0	2
3494	46514	"Vishnevskoe Lake"	60.50222	29.51694	135	"AWI"	135	3560	4371	4027	20	0	1	48	2	0	0	0	1	0	0	53	66	4	0	1	0	0	0	0
3494	46514	"Vishnevskoe Lake"	60.50222	29.51694	145	"AWI"	145	3713	4407	4096	31	1	1	0	3	1	0	0	1	0	0	109	188	3	0	0	0	0	1	5
3494	46514	"Vishnevskoe Lake"	60.50222	29.51694	155	"AWI"	155	3834	4446	4166	37	0	1	0	4	1	0	0	1	0	1	90	170	11	0	2	0	0	1	7
3494	46514	"Vishnevskoe Lake"	60.50222	29.51694	175	"AWI"	175	4021	4535	4295	22	0	1	0	5	1	0	0	2	1	0	102	179	9	0	4	0	0	6	3
3494	46514	"Vishnevskoe Lake"	60.50222	29.51694	195	"AWI"	195	4175	4648	4398	24	0	0	0	13	1	0	0	1	0	0	146	211	7	0	0	0	1	3	8
3494	46514	"Vishnevskoe Lake"	60.50222	29.51694	215	"AWI"	215	4313	4739	4546	21	0	1	0	4	1	0	0	1	0	1	116	217	5	0	3	0	1	1	5
3494	46514	"Vishnevskoe Lake"	60.50222	29.51694	235	"AWI"	235	4420	4905	4706	25	0	1	0	2	0	0	0	1	0	0	102	290	5	0	1	1	0	1	12
3494	46514	"Vishnevskoe Lake"	60.50222	29.51694	255	"AWI"	255	4835	5196	4997	28	0	1	0	7	5	0	0	0	0	1	134	290	10	0	1	0	0	7	10
3494	46514	"Vishnevskoe Lake"	60.50222	29.51694	275	"AWI"	275	5049	5497	5282	51	0	0	0	6	3	0	0	0	0	0	52	109	21	0	5	0	3	2	14
3494	46514	"Vishnevskoe Lake"	60.50222	29.51694	285	"AWI"	285	5181	5560	5377	40	0	0	0	10	5	0	0	1	0	1	170	238	8	0	6	0	1	10	10
3494	46514	"Vishnevskoe Lake"	60.50222	29.51694	295	"AWI"	295	5280	5663	5478	41	0	0	0	14	5	0	0	2	0	0	95	210	12	0	4	0	1	7	17
3494	46514	"Vishnevskoe Lake"	60.50222	29.51694	305	"AWI"	305	5378	5783	5574	46	0	0	0	17	5	0	0	0	1	1	74	206	14	0	6	0	0	3	11
3494	46514	"Vishnevskoe Lake"	60.50222	29.51694	315	"AWI"	315	5502	5862	5671	35	0	1	0	13	5	0	0	1	0	0	54	188	16	0	6	0	1	4	15
3494	46514	"Vishnevskoe Lake"	60.50222	29.51694	325	"AWI"	325	5579	6001	5768	31	0	0	0	10	3	0	0	0	0	1	74	230	10	0	4	0	1	4	10
3494	46514	"Vishnevskoe Lake"	60.50222	29.51694	335	"AWI"	335	5625	6187	5867	43	0	0	0	14	4	0	0	1	0	1	50	225	16	0	5	0	1	4	20
3494	46514	"Vishnevskoe Lake"	60.50222	29.51694	345	"AWI"	345	5817	6241	6000	42	0	0	0	12	3	0	0	0	0	0	65	163	12	0	6	0	0	4	15
3494	46514	"Vishnevskoe Lake"	60.50222	29.51694	355	"AWI"	355	5958	6329	6137	54	0	1	0	19	8	0	0	3	0	0	55	208	20	0	5	1	0	7	20
