"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cedrus"	"Cistaceae"	"Convolvulaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Liliaceae"	"Lythraceae"	"Olea"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Vitaceae"
14598	22883	"Tourbière de Pilaz"	45.81694	7.28611	10	"AWI"	10	-93	141	15	2	0	26	1	0	6	0	3	0	1	2	0	0	2	0	1	0	0	0	300	0	0	0	0	0	0	0	0	0	3	1	0	4	0	0	2	0	0	8	0	19	108	1	0	8	0	0	0	1	7	0	0	2	2	0	0	1	0
14598	22883	"Tourbière de Pilaz"	45.81694	7.28611	20	"AWI"	20	-70	301	77	5	0	17	0	0	6	0	8	1	0	2	0	2	0	0	3	0	0	0	96	0	0	0	0	0	2	0	0	0	1	0	3	2	0	0	0	0	0	17	51	10	151	0	0	17	0	0	0	1	9	1	0	2	0	0	0	2	0
14598	22883	"Tourbière de Pilaz"	45.81694	7.28611	30	"AWI"	30	-9	346	158	3	0	0	0	0	6	35	6	0	0	4	0	0	2	0	8	0	0	0	66	0	0	0	2	0	5	0	5	0	5	0	3	1	0	0	1	0	0	7	0	0	195	0	0	3	0	0	0	1	30	0	0	0	0	0	0	0	1
14598	22883	"Tourbière de Pilaz"	45.81694	7.28611	35	"AWI"	35	9	374	200	3	0	0	1	0	11	0	5	0	0	3	0	0	1	0	2	0	0	0	37	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	46	0	14	144	0	0	12	0	0	0	0	1	0	0	0	0	0	0	1	0
14598	22883	"Tourbière de Pilaz"	45.81694	7.28611	40	"AWI"	40	25	418	237	7	0	25	2	0	9	6	12	0	2	0	0	0	1	0	1	0	7	0	150	0	0	0	0	0	2	0	0	0	5	0	1	4	0	0	0	0	0	122	179	4	0	0	0	31	2	0	0	0	1	0	0	0	0	0	3	0	0
14598	22883	"Tourbière de Pilaz"	45.81694	7.28611	45	"AWI"	45	102	435	283	8	0	22	0	0	10	0	4	0	0	1	0	0	0	0	3	0	1	0	163	0	0	0	0	0	2	0	1	0	0	1	4	5	0	0	0	0	0	24	55	6	117	0	0	19	2	0	0	1	3	0	0	0	0	0	0	2	0
14598	22883	"Tourbière de Pilaz"	45.81694	7.28611	50	"AWI"	50	149	457	337	15	2	13	1	0	9	0	3	0	0	1	0	0	0	0	0	0	4	0	78	0	0	0	0	0	1	0	1	0	0	0	0	5	0	0	0	0	0	25	0	4	0	0	0	19	0	0	0	2	11	0	0	3	0	0	0	1	0
14598	22883	"Tourbière de Pilaz"	45.81694	7.28611	55	"AWI"	55	179	501	393	23	0	24	0	0	7	0	14	0	0	22	0	0	0	0	1	0	7	0	43	0	0	0	0	0	2	0	1	0	0	1	1	9	0	0	0	0	0	21	187	0	86	0	0	22	0	17	0	0	5	0	0	0	0	0	0	2	0
14598	22883	"Tourbière de Pilaz"	45.81694	7.28611	60	"AWI"	60	205	597	437	20	1	33	0	0	8	0	4	0	0	2	0	0	1	0	0	0	2	0	47	0	0	0	0	0	1	0	0	1	0	0	0	9	0	0	0	0	0	2	96	0	261	0	0	16	0	0	0	0	3	0	0	0	0	0	0	1	0
14598	22883	"Tourbière de Pilaz"	45.81694	7.28611	65	"AWI"	65	483	2103	1312	11	1	31	0	0	5	0	16	0	1	0	0	0	0	0	0	0	4	0	47	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	3	226	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	2	0
14598	22883	"Tourbière de Pilaz"	45.81694	7.28611	70	"AWI"	70	571	3728	2195	50	0	10	0	0	1	0	15	0	2	0	0	0	1	0	0	0	4	0	5	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	299	0	0	0	0	17	0	0	0	0	0	0	0	0	0	1	0	1	0
