"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Aesculus"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asparagaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Celastraceae"	"Cistaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Eucalyptus"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Genista"	"Gentianaceae"	"Geraniaceae"	"Grossulariaceae"	"Hypericaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Ligustrum"	"Liliaceae"	"Melanthiaceae"	"Olea"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Platanus"	"Plumbaginaceae"	"Poaceae"	"Polygalaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rhododendron"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Solanaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Tofieldiaceae"	"Ulmus"	"Urticaceae"	"Viburnum"	"Violaceae"	"Vitaceae"
14638	22960	"Sägistalsee"	46.6798	7.97638	0.5	"AWI"	0.5	-115.5	46	-37.5	5	1	0	35	0	0	0	0	2	0	0	2	0	1	0	0	0	0	6	0	1	15	1	14	0	0	0	0	0	0	9	0	0	0	0	0	0	1	2	0	0	0	0	0	2	0	0	0	99	0	0	1	0	0	0	0	0	0	0	2	0	0	0	2	0	2	0	0	0	0	0	0	0	0	2	0	2	3	0	0	0
14638	22960	"Sägistalsee"	46.6798	7.97638	1	"AWI"	1	-112	50	-34	10	1	0	28	0	0	0	0	0	0	0	6	0	0	0	0	0	0	4	0	0	14	0	18	0	0	0	1	0	0	9	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	1	105	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	5	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0
14638	22960	"Sägistalsee"	46.6798	7.97638	1.5	"AWI"	1.5	-109.5	54	-31	8	1	0	35	3	0	0	0	4	0	0	1	0	0	0	0	0	0	1	0	0	7	0	19	0	0	0	0	0	0	9	1	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	1	92	48	0	0	0	0	0	0	1	0	0	7	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
14638	22960	"Sägistalsee"	46.6798	7.97638	2	"AWI"	2	-107	58	-28	6	1	0	28	2	0	0	0	0	0	0	5	0	0	0	0	0	0	4	0	0	7	0	13	0	0	0	0	0	0	14	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	106	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	0	0	0
14638	22960	"Sägistalsee"	46.6798	7.97638	2.5	"AWI"	2.5	-104	63	-25	2	2	0	24	0	0	0	0	1	0	0	5	0	0	0	0	0	0	2	0	1	9	0	22	0	0	0	0	0	0	8	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	96	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	2	0	0	0	0	0	0	1	0	2	0	1	6	0	0	0
14638	22960	"Sägistalsee"	46.6798	7.97638	3	"AWI"	3	-101	68	-22	5	2	0	24	2	0	0	0	1	0	0	4	0	0	0	0	0	0	5	0	0	9	0	20	0	0	0	0	0	0	9	1	0	0	1	0	0	1	3	0	0	0	1	0	1	0	0	1	121	0	0	0	0	0	0	0	1	0	0	3	0	1	0	1	8	2	0	0	0	0	0	0	1	0	1	0	3	9	0	0	0
14638	22960	"Sägistalsee"	46.6798	7.97638	3.5	"AWI"	3.5	-99.5	73	-19	8	3	0	23	2	0	0	0	2	0	0	9	0	1	0	2	0	0	6	0	1	3	0	20	0	0	0	0	0	0	9	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	106	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	3	0	0	0	0	0	0	0	1	1	0	4	4	0	0	0
14638	22960	"Sägistalsee"	46.6798	7.97638	4	"AWI"	4	-98	78	-16	5	0	0	38	1	0	0	0	0	0	0	8	0	0	0	0	0	0	7	0	0	9	0	24	0	0	0	0	0	0	6	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	95	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	2	0	0	0	0	0	2	0	0	0	0	0	4	0	0	0
14638	22960	"Sägistalsee"	46.6798	7.97638	4.5	"AWI"	4.5	-96	85	-13	6	0	0	25	3	0	0	0	2	0	0	5	0	1	0	0	0	0	6	0	1	6	0	20	0	0	0	0	0	0	13	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	2	0	0	0	0	0	0	0	0	1	0	1	7	0	0	0
14638	22960	"Sägistalsee"	46.6798	7.97638	5	"AWI"	5	-94	92	-10	4	0	0	30	2	0	0	0	1	0	0	2	0	1	0	2	0	0	9	0	0	7	0	23	0	0	0	0	0	0	11	3	0	0	1	0	0	1	3	0	0	1	0	0	2	0	0	1	90	0	0	0	0	0	0	0	0	0	0	4	0	0	0	3	0	4	0	0	0	0	0	0	0	1	0	0	2	12	0	0	0
