"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Cannabaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fagus"	"Gentianaceae"	"Lamiaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Tilia"	"Ulmus"
26576	46477	"Nikolsko-Lutinskoye bog"	58.089326	30.983034	2	"AWI"	2	-114	-25	-54	51	2	0	1	0	0	1	0	0	0	0	0	0	5	0	0	1	0	4	23	0	0	0	0	0	0	1	0	0	1	0	1
26576	46477	"Nikolsko-Lutinskoye bog"	58.089326	30.983034	6	"AWI"	6	-81	-22	-42	32	1	1	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	3	39	0	0	0	0	0	0	0	0	1	2	1	0
26576	46477	"Nikolsko-Lutinskoye bog"	58.089326	30.983034	10	"AWI"	10	-62	-15	-29	51	0	0	2	0	110	0	0	0	0	0	0	0	6	0	0	0	0	7	51	0	0	0	0	0	0	0	0	0	0	0	0
26576	46477	"Nikolsko-Lutinskoye bog"	58.089326	30.983034	14	"AWI"	14	-29	0	-8	54	0	0	1	0	127	0	0	0	0	4	0	0	16	0	0	0	0	6	90	1	0	0	0	0	0	2	0	2	1	0	0
26576	46477	"Nikolsko-Lutinskoye bog"	58.089326	30.983034	18	"AWI"	18	-3	28	12	16	3	0	1	0	0	0	1	0	0	1	0	0	10	0	0	0	1	3	21	1	0	0	0	1	0	0	1	2	1	0	0
26576	46477	"Nikolsko-Lutinskoye bog"	58.089326	30.983034	22	"AWI"	22	21	58	37	10	1	0	3	0	0	0	0	0	1	1	0	0	7	0	0	0	0	1	19	0	8	0	0	0	0	0	1	2	2	0	0
26576	46477	"Nikolsko-Lutinskoye bog"	58.089326	30.983034	32	"AWI"	32	49	194	107	19	2	0	2	0	0	2	1	0	0	4	0	0	3	0	0	0	0	4	21	0	16	0	0	1	0	0	0	4	0	0	0
26576	46477	"Nikolsko-Lutinskoye bog"	58.089326	30.983034	42	"AWI"	42	103	257	185	13	0	1	1	0	0	0	1	0	0	4	0	0	5	0	2	0	0	3	21	0	16	0	0	0	0	0	1	2	0	0	0
26576	46477	"Nikolsko-Lutinskoye bog"	58.089326	30.983034	52	"AWI"	52	198	322	284	25	2	0	4	0	0	1	1	1	0	4	0	0	11	0	1	0	0	5	23	0	14	0	0	2	0	0	0	4	2	0	0
26576	46477	"Nikolsko-Lutinskoye bog"	58.089326	30.983034	60	"AWI"	60	278	532	416	20	2	1	1	0	0	1	0	1	0	3	0	0	9	0	0	0	0	14	40	0	0	0	2	0	0	0	1	0	1	0	0
26576	46477	"Nikolsko-Lutinskoye bog"	58.089326	30.983034	65	"AWI"	65	328	567	458	33	1	0	2	0	0	0	0	0	0	1	0	0	8	0	0	0	1	12	54	1	0	0	0	0	0	0	0	0	0	0	0
26576	46477	"Nikolsko-Lutinskoye bog"	58.089326	30.983034	70	"AWI"	70	361	637	501	60	1	0	1	0	105	0	0	0	1	1	0	0	6	0	0	0	1	33	67	0	0	0	1	1	0	2	0	0	0	1	1
26576	46477	"Nikolsko-Lutinskoye bog"	58.089326	30.983034	75	"AWI"	75	440	660	544	12	0	0	0	0	84	0	0	0	0	3	0	0	2	0	0	0	0	25	51	0	3	0	0	1	0	0	0	0	0	0	0
26576	46477	"Nikolsko-Lutinskoye bog"	58.089326	30.983034	80	"AWI"	80	472	709	594	43	0	0	2	0	162	0	1	0	2	0	0	0	2	0	0	0	0	56	61	0	0	0	0	2	0	1	0	0	0	0	1
26576	46477	"Nikolsko-Lutinskoye bog"	58.089326	30.983034	85	"AWI"	85	530	731	633	6	0	0	2	0	68	0	0	0	1	1	0	0	1	0	0	0	0	16	28	0	0	0	1	0	0	0	0	0	0	0	1
26576	46477	"Nikolsko-Lutinskoye bog"	58.089326	30.983034	90	"AWI"	90	561	769	672	18	0	0	0	0	96	0	0	0	0	1	0	0	5	0	0	0	0	20	41	1	0	0	0	0	0	0	0	0	1	0	0
26576	46477	"Nikolsko-Lutinskoye bog"	58.089326	30.983034	100	"AWI"	100	660	842	751	48	0	0	0	0	90	1	0	0	14	1	0	0	1	0	0	0	0	49	85	0	0	0	11	0	0	1	0	0	0	0	3
26576	46477	"Nikolsko-Lutinskoye bog"	58.089326	30.983034	110	"AWI"	110	724	893	825	36	0	0	1	0	0	0	0	0	5	0	0	0	0	0	0	1	0	44	60	0	0	0	1	1	0	0	0	0	0	0	4
26576	46477	"Nikolsko-Lutinskoye bog"	58.089326	30.983034	120	"AWI"	120	829	1021	937	31	0	0	1	0	0	0	0	0	3	1	0	0	5	0	0	1	0	33	58	0	0	0	2	1	0	0	0	1	1	1	1
26576	46477	"Nikolsko-Lutinskoye bog"	58.089326	30.983034	130	"AWI"	130	948	1178	1047	11	0	1	0	0	87	0	0	0	5	0	0	0	2	0	0	0	0	35	60	0	0	0	2	0	0	0	0	0	0	0	2
26576	46477	"Nikolsko-Lutinskoye bog"	58.089326	30.983034	140	"AWI"	140	1009	1242	1125	10	0	0	2	0	98	0	0	0	7	0	0	0	1	0	0	0	1	61	62	0	0	0	5	1	0	2	0	0	0	0	1
26576	46477	"Nikolsko-Lutinskoye bog"	58.089326	30.983034	150	"AWI"	150	1089	1292	1214	7	2	0	0	0	72	0	0	0	3	0	0	0	1	0	0	1	2	56	91	0	0	0	2	0	0	0	0	1	0	5	1
26576	46477	"Nikolsko-Lutinskoye bog"	58.089326	30.983034	160	"AWI"	160	1204	1346	1284	33	1	0	1	0	109	0	0	0	9	4	0	0	0	0	0	0	1	58	70	0	0	0	3	0	0	2	0	0	0	1	2
26576	46477	"Nikolsko-Lutinskoye bog"	58.089326	30.983034	170	"AWI"	170	1291	1414	1347	42	0	0	0	0	0	0	0	0	5	3	0	0	2	0	0	0	0	35	63	0	0	0	1	0	0	1	0	0	0	1	3
26576	46477	"Nikolsko-Lutinskoye bog"	58.089326	30.983034	180	"AWI"	180	1354	1496	1421	64	0	0	0	0	0	3	0	0	4	1	0	0	0	0	0	0	0	38	78	0	0	0	4	0	0	2	0	0	1	1	3
26576	46477	"Nikolsko-Lutinskoye bog"	58.089326	30.983034	190	"AWI"	190	1424	1645	1526	53	0	0	0	0	0	0	2	0	5	2	0	0	0	1	0	0	1	54	52	0	0	0	0	0	0	1	0	0	0	1	8
26576	46477	"Nikolsko-Lutinskoye bog"	58.089326	30.983034	200	"AWI"	200	1598	2017	1820	60	0	0	1	0	0	1	0	0	6	0	0	1	1	1	0	0	2	84	74	0	0	0	2	1	0	0	0	0	0	2	6
26576	46477	"Nikolsko-Lutinskoye bog"	58.089326	30.983034	210	"AWI"	210	1809	2185	2013	61	0	0	2	0	0	0	1	0	3	0	0	0	1	0	0	0	0	79	54	0	0	0	5	0	0	1	0	0	0	0	3
26576	46477	"Nikolsko-Lutinskoye bog"	58.089326	30.983034	220	"AWI"	220	1988	2301	2137	46	0	0	2	0	0	1	0	0	3	0	0	0	3	0	0	1	2	86	60	0	0	0	3	0	0	1	1	1	0	6	6
26576	46477	"Nikolsko-Lutinskoye bog"	58.089326	30.983034	230	"AWI"	230	2102	2400	2236	54	1	1	0	0	112	2	0	0	10	3	0	0	2	0	0	2	1	50	59	0	0	0	4	0	0	0	0	0	3	3	7
26576	46477	"Nikolsko-Lutinskoye bog"	58.089326	30.983034	240	"AWI"	240	2232	2536	2366	54	0	0	2	0	115	1	0	0	11	0	0	0	1	0	0	1	1	49	39	0	0	0	1	0	0	0	0	1	3	5	7
26576	46477	"Nikolsko-Lutinskoye bog"	58.089326	30.983034	250	"AWI"	250	2403	2706	2581	78	0	0	1	0	0	1	0	0	17	2	0	0	3	0	0	0	1	56	55	0	0	0	5	0	0	0	0	0	1	8	11
26576	46477	"Nikolsko-Lutinskoye bog"	58.089326	30.983034	260	"AWI"	260	2571	2918	2752	66	2	0	1	0	0	0	0	0	9	2	0	0	1	0	0	1	1	85	40	0	0	0	6	1	0	0	0	1	1	1	4
26576	46477	"Nikolsko-Lutinskoye bog"	58.089326	30.983034	270	"AWI"	270	2846	3286	3048	56	1	0	1	0	0	1	0	0	12	0	0	0	1	0	0	0	1	57	58	0	0	0	10	1	0	1	0	0	0	7	7
26576	46477	"Nikolsko-Lutinskoye bog"	58.089326	30.983034	280	"AWI"	280	3097	3613	3377	84	0	0	2	0	0	1	0	0	10	0	0	0	0	0	0	0	0	56	56	0	0	0	6	0	0	1	0	0	1	10	11
26576	46477	"Nikolsko-Lutinskoye bog"	58.089326	30.983034	290	"AWI"	290	3437	4056	3703	66	0	0	0	0	0	0	0	0	17	0	0	0	1	0	0	0	0	99	59	0	0	0	8	1	2	0	0	0	1	6	10
26576	46477	"Nikolsko-Lutinskoye bog"	58.089326	30.983034	300	"AWI"	300	4158	4861	4515	89	1	0	1	0	0	0	0	0	31	1	0	0	3	0	0	3	2	105	77	0	0	0	17	0	0	0	0	0	1	10	22
26576	46477	"Nikolsko-Lutinskoye bog"	58.089326	30.983034	310	"AWI"	310	4666	5180	4893	147	1	0	5	0	0	0	0	0	23	3	0	0	2	0	0	0	1	26	50	0	0	0	17	0	0	0	0	0	0	8	28
26576	46477	"Nikolsko-Lutinskoye bog"	58.089326	30.983034	320	"AWI"	320	4894	5296	5077	143	0	0	2	0	0	0	0	0	26	0	0	0	2	0	0	0	1	75	51	0	0	0	10	0	0	1	0	0	1	15	22
26576	46477	"Nikolsko-Lutinskoye bog"	58.089326	30.983034	330	"AWI"	330	5121	5503	5308	152	1	0	1	0	0	1	0	0	43	0	0	0	3	0	0	2	1	73	64	0	0	0	15	0	0	2	1	0	0	19	40
26576	46477	"Nikolsko-Lutinskoye bog"	58.089326	30.983034	340	"AWI"	340	5368	5741	5554	157	1	0	3	0	0	1	0	0	43	0	0	0	5	0	0	1	1	113	60	0	0	0	13	0	0	0	0	0	1	5	35
26576	46477	"Nikolsko-Lutinskoye bog"	58.089326	30.983034	350	"AWI"	350	5547	5925	5746	128	1	0	2	0	0	0	0	0	49	2	0	0	3	0	0	1	2	81	43	0	0	0	13	1	0	2	0	0	3	6	30
26576	46477	"Nikolsko-Lutinskoye bog"	58.089326	30.983034	360	"AWI"	360	5751	6135	5933	151	0	0	1	0	0	0	0	0	55	0	0	0	2	0	0	1	1	125	75	0	0	0	16	0	0	1	0	0	1	11	36
26576	46477	"Nikolsko-Lutinskoye bog"	58.089326	30.983034	370	"AWI"	370	5927	6405	6150	90	1	0	1	0	0	0	0	0	47	1	0	0	3	0	0	2	0	75	25	0	0	0	10	1	0	2	0	0	0	12	26
26576	46477	"Nikolsko-Lutinskoye bog"	58.089326	30.983034	380	"AWI"	380	6136	6581	6369	93	0	0	2	0	0	1	0	0	38	2	0	0	1	0	0	1	0	52	32	0	0	0	5	0	0	1	0	0	1	11	20
26576	46477	"Nikolsko-Lutinskoye bog"	58.089326	30.983034	390	"AWI"	390	6354	6756	6538	139	1	0	0	0	0	0	0	0	56	1	0	0	0	0	0	3	0	47	102	0	0	0	17	2	0	2	0	3	1	5	28
26576	46477	"Nikolsko-Lutinskoye bog"	58.089326	30.983034	400	"AWI"	400	6492	6978	6721	130	0	0	2	0	137	0	0	0	53	1	0	0	5	0	0	1	0	30	70	0	0	0	8	0	0	2	0	0	0	12	13
26576	46477	"Nikolsko-Lutinskoye bog"	58.089326	30.983034	410	"AWI"	410	6694	7186	6943	170	1	0	1	0	131	1	0	0	39	0	0	0	1	0	0	1	1	29	87	0	0	0	6	0	0	0	0	0	1	8	21
26576	46477	"Nikolsko-Lutinskoye bog"	58.089326	30.983034	420	"AWI"	420	6950	7363	7183	180	2	0	1	0	84	0	0	0	32	0	0	0	5	0	0	0	0	24	41	0	0	0	5	1	0	0	0	0	0	10	28
26576	46477	"Nikolsko-Lutinskoye bog"	58.089326	30.983034	430	"AWI"	430	7110	7499	7342	90	1	0	0	0	95	0	0	0	19	0	0	0	2	0	0	1	0	11	37	0	0	0	3	0	1	1	0	0	0	6	15
26576	46477	"Nikolsko-Lutinskoye bog"	58.089326	30.983034	440	"AWI"	440	7293	7594	7459	83	1	0	0	0	0	1	0	0	29	1	0	0	0	0	0	1	0	20	21	0	0	0	4	0	2	0	0	0	1	8	5
26576	46477	"Nikolsko-Lutinskoye bog"	58.089326	30.983034	450	"AWI"	450	7445	7682	7571	97	1	0	0	0	121	0	0	0	26	0	0	0	0	0	0	0	0	12	25	0	0	0	3	0	14	0	0	0	3	4	29
26576	46477	"Nikolsko-Lutinskoye bog"	58.089326	30.983034	460	"AWI"	460	7566	7812	7683	67	1	1	1	0	0	0	0	0	15	1	0	0	0	0	0	0	1	16	32	1	0	0	2	0	2	1	0	0	0	4	18
26576	46477	"Nikolsko-Lutinskoye bog"	58.089326	30.983034	470	"AWI"	470	7696	7985	7812	81	0	0	1	0	0	0	0	0	22	1	0	0	0	0	0	0	0	12	21	0	0	0	1	0	0	4	1	0	0	4	9
26576	46477	"Nikolsko-Lutinskoye bog"	58.089326	30.983034	480	"AWI"	480	7840	8400	8032	62	0	1	0	0	0	1	0	0	16	6	0	0	0	0	0	0	0	10	20	0	0	0	3	2	0	1	0	0	0	4	22
26576	46477	"Nikolsko-Lutinskoye bog"	58.089326	30.983034	490	"AWI"	490	8118	8877	8494	70	0	0	0	0	0	1	0	0	17	1	0	0	0	0	0	0	0	8	48	0	0	0	4	0	0	4	0	0	2	1	22
26576	46477	"Nikolsko-Lutinskoye bog"	58.089326	30.983034	500	"AWI"	500	8534	9192	8851	60	1	0	1	0	199	0	0	0	14	4	0	0	2	0	0	0	0	11	68	0	0	0	1	0	0	1	0	0	4	5	28
26576	46477	"Nikolsko-Lutinskoye bog"	58.089326	30.983034	510	"AWI"	510	8731	9410	9097	70	0	0	2	0	0	0	0	0	17	2	0	0	1	0	0	0	0	8	62	0	0	0	3	0	1	5	0	2	2	8	28
26576	46477	"Nikolsko-Lutinskoye bog"	58.089326	30.983034	520	"AWI"	520	9158	9895	9505	38	0	0	1	0	130	0	1	0	13	1	0	0	0	0	0	0	0	2	48	0	0	0	3	1	0	1	0	0	2	2	16
26576	46477	"Nikolsko-Lutinskoye bog"	58.089326	30.983034	530	"AWI"	530	9633	10625	10051	43	0	0	3	0	0	0	1	0	13	4	0	0	1	0	0	0	0	4	51	0	0	0	0	0	2	1	0	0	4	4	16
26576	46477	"Nikolsko-Lutinskoye bog"	58.089326	30.983034	540	"AWI"	540	9915	11096	10432	43	0	0	3	0	210	0	0	0	11	6	0	0	0	0	0	1	0	10	70	0	0	0	1	0	0	1	0	0	6	3	11
26576	46477	"Nikolsko-Lutinskoye bog"	58.089326	30.983034	550	"AWI"	550	10252	11551	10833	20	2	0	7	0	285	0	3	0	2	7	0	0	0	0	0	0	0	2	51	0	0	0	1	0	0	1	0	0	9	1	7
26576	46477	"Nikolsko-Lutinskoye bog"	58.089326	30.983034	560	"AWI"	560	10759	12047	11374	3	11	1	22	0	89	0	0	0	0	5	0	0	0	0	0	0	0	12	19	0	0	0	0	3	0	2	0	0	5	0	0
26576	46477	"Nikolsko-Lutinskoye bog"	58.089326	30.983034	570	"AWI"	570	11270	12434	11926	0	9	0	18	0	78	0	0	1	0	5	0	0	0	0	0	0	0	7	11	0	0	0	0	2	0	2	0	0	6	0	0
26576	46477	"Nikolsko-Lutinskoye bog"	58.089326	30.983034	580	"AWI"	580	11871	12692	12388	2	23	1	45	0	102	0	0	0	0	24	0	1	0	0	0	0	1	21	30	0	0	2	0	1	0	3	0	0	6	0	0
26576	46477	"Nikolsko-Lutinskoye bog"	58.089326	30.983034	590	"AWI"	590	12188	12976	12702	2	14	1	59	0	113	0	0	0	1	17	0	0	0	0	0	0	0	14	22	0	0	0	0	0	0	4	0	1	7	0	0
26576	46477	"Nikolsko-Lutinskoye bog"	58.089326	30.983034	600	"AWI"	600	12393	13166	12844	1	15	0	54	0	87	1	0	0	1	21	0	1	0	0	0	0	0	25	36	0	0	0	0	0	0	3	0	0	10	0	0
26576	46477	"Nikolsko-Lutinskoye bog"	58.089326	30.983034	610	"AWI"	610	12631	13396	13014	2	10	0	40	0	97	0	0	0	1	5	0	0	0	0	0	0	1	31	31	0	0	2	0	0	0	3	0	0	6	0	0
