"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Hypericaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Lythraceae"	"Oleaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Scrophulariaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
13385	20024	"Avrig"	45.71667	24.38333	60	"AWI"	60	-13	284	121	0	0	7	1	1	0	4	0	6	0	0	0	4	1	0	0	5	40	0	0	0	2	9	0	0	0	0	1	0	0	1	0	0	6	0	5	0	0	0	0	0	0	9	4	0	0	1	5	2	0	0	0	0	0	0	0	0	0	0	0
13385	20024	"Avrig"	45.71667	24.38333	70	"AWI"	70	16	305	152	1	0	5	3	2	0	1	10	5	0	0	0	5	0	0	0	4	50	0	0	0	0	7	0	1	0	0	0	0	0	0	0	0	2	0	6	0	0	0	0	0	0	15	5	0	0	2	5	2	0	0	0	0	0	0	0	0	0	0	0
13385	20024	"Avrig"	45.71667	24.38333	80	"AWI"	80	34	347	183	0	0	2	2	0	0	3	0	5	0	0	0	6	0	0	0	1	19	0	0	0	0	23	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	23	11	0	0	3	3	0	0	0	0	0	0	0	1	0	0	0	0
13385	20024	"Avrig"	45.71667	24.38333	90	"AWI"	90	66	367	215	0	0	4	0	0	0	3	0	4	0	0	0	6	0	0	0	2	19	0	0	0	0	26	0	0	0	1	0	0	0	0	0	0	0	1	6	0	0	0	0	0	1	12	11	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0
13385	20024	"Avrig"	45.71667	24.38333	100	"AWI"	100	90	399	247	0	0	7	3	2	0	0	0	6	0	0	0	9	1	0	0	3	36	0	0	0	2	11	0	0	1	0	1	0	0	0	0	0	0	0	5	0	0	0	3	0	0	17	1	0	0	3	4	2	0	0	0	0	0	0	0	0	0	0	0
13385	20024	"Avrig"	45.71667	24.38333	110	"AWI"	110	128	419	279	3	0	8	5	3	0	5	0	5	0	0	0	11	1	0	0	12	40	0	10	0	2	12	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	1	22	0	0	0	3	1	2	0	0	0	0	0	1	0	0	0	0	0
13385	20024	"Avrig"	45.71667	24.38333	120	"AWI"	120	154	444	312	2	0	2	4	2	0	6	0	9	0	4	0	13	2	0	0	9	27	0	0	0	1	28	0	0	0	0	1	1	0	2	0	0	0	0	2	0	0	0	0	0	0	14	1	0	0	1	2	4	1	0	0	0	0	0	0	0	0	0	0
13385	20024	"Avrig"	45.71667	24.38333	130	"AWI"	130	196	461	349	3	0	4	2	1	0	0	5	2	0	0	0	3	0	0	0	6	15	0	0	0	0	34	0	0	1	1	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	14	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0
13385	20024	"Avrig"	45.71667	24.38333	140	"AWI"	140	226	483	384	4	1	6	4	1	0	1	0	4	0	2	0	3	1	1	0	4	20	0	0	0	1	20	0	0	0	0	0	2	0	0	0	0	0	0	11	0	0	0	0	0	0	16	1	0	0	8	4	0	0	0	0	0	0	0	0	0	1	1	0
13385	20024	"Avrig"	45.71667	24.38333	150	"AWI"	150	272	494	423	3	0	4	1	0	0	3	0	4	0	0	0	5	0	0	0	5	9	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	17	0	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0	2
