"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Juniperus"	"Lamiaceae"	"Malvaceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
3389	4393	"Ryönänsuo"	60.438218	24.176566	15	"AWI"	15	54	545	269	0	0	63	5	1	2	0	341	0	0	0	0	0	0	0	2	2	0	0	0	0	0	10	0	0	0	0	140	452	0	59	0	0	1	0	0	0	0	6	0	0	0	0	0	1	1
3389	4393	"Ryönänsuo"	60.438218	24.176566	20	"AWI"	20	161	585	381	1	0	108	0	0	7	0	400	0	2	0	0	1	0	0	7	1	0	0	0	0	0	6	0	0	0	0	96	383	0	111	0	0	1	0	0	0	0	6	3	0	0	0	1	3	9
3389	4393	"Ryönänsuo"	60.438218	24.176566	25	"AWI"	25	244	658	496	0	0	74	0	0	7	0	412	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	2	111	391	1	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0
3389	4393	"Ryönänsuo"	60.438218	24.176566	30	"AWI"	30	326	802	592	0	0	38	0	0	4	0	274	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	266	420	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0
3389	4393	"Ryönänsuo"	60.438218	24.176566	35	"AWI"	35	373	1032	676	0	0	114	0	0	2	0	490	0	0	0	0	0	0	0	3	1	0	0	0	0	0	1	0	0	0	3	107	273	0	0	1	1	7	0	0	0	0	0	0	0	0	0	1	1	0
3389	4393	"Ryönänsuo"	60.438218	24.176566	40	"AWI"	40	429	1233	765	0	0	128	0	0	0	0	244	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2	0	0	0	0	107	516	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	1	0
3389	4393	"Ryönänsuo"	60.438218	24.176566	45	"AWI"	45	513	1326	872	0	0	88	0	0	1	0	184	0	0	1	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	130	615	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	4	0
3389	4393	"Ryönänsuo"	60.438218	24.176566	50	"AWI"	50	557	1461	975	0	0	127	0	0	3	0	275	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	2	219	368	0	0	0	0	10	0	0	0	0	0	1	0	0	1	0	2	0
3389	4393	"Ryönänsuo"	60.438218	24.176566	55	"AWI"	55	665	1552	1080	0	0	73	0	0	2	0	392	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	1	188	339	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0
3389	4393	"Ryönänsuo"	60.438218	24.176566	60	"AWI"	60	736	1644	1193	0	0	70	0	0	1	0	323	0	0	0	0	0	0	0	4	0	0	44	0	0	0	1	0	0	0	0	250	387	0	0	0	0	5	0	0	0	0	0	0	0	0	0	2	1	0
