"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Celastraceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Geraniaceae"	"Ilex"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Lythraceae"	"Olea"	"Onagraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Prunus"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Resedaceae"	"Rhamnus"	"Rhus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Solanaceae"	"Staphylea"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
16151	24964	"Watten"	50.83361	2.21333	1690	"AWI"	1690	7918	8675	8266	0	13	42	1	1	3	0	11	0	0	0	0	0	0	177	17	2	0	0	0	1	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	46	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	7	0	40	0	0	0
16151	24964	"Watten"	50.83361	2.21333	1716	"AWI"	1716	7943	8708	8302	0	14	28	2	1	3	0	13	0	0	0	0	0	0	255	5	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	1	42	0	0	0	49	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	7	0	20	0	0	0
16151	24964	"Watten"	50.83361	2.21333	1741	"AWI"	1741	7964	8739	8336	0	11	24	1	1	2	0	9	0	0	0	0	0	0	208	9	0	0	1	0	1	0	0	0	0	1	0	0	1	5	0	0	17	0	0	0	51	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2	0	30	0	0	0
16151	24964	"Watten"	50.83361	2.21333	1767	"AWI"	1767	7984	8778	8370	0	17	34	2	1	1	0	31	0	0	0	0	0	0	240	8	0	0	0	0	1	0	0	0	0	0	0	0	1	4	0	1	56	0	0	0	28	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	9	0	56	0	0	0
16151	24964	"Watten"	50.83361	2.21333	1812	"AWI"	1812	8028	8831	8433	0	13	33	1	1	2	0	23	0	0	0	0	0	1	282	5	0	0	0	0	1	0	0	0	0	0	0	0	1	4	0	1	46	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	7	0	34	0	0	0
16151	24964	"Watten"	50.83361	2.21333	1838	"AWI"	1838	8052	8865	8468	0	5	33	1	1	1	0	16	0	0	0	0	0	0	280	3	0	0	0	1	1	0	0	0	0	0	0	0	1	23	0	0	15	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	17	0	1	0
16151	24964	"Watten"	50.83361	2.21333	1863	"AWI"	1863	8076	8901	8502	0	4	24	1	1	1	0	7	1	0	0	0	0	0	214	3	0	0	0	0	1	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	14	0	0	0
16151	24964	"Watten"	50.83361	2.21333	1889	"AWI"	1889	8103	8923	8540	0	20	19	1	1	2	0	16	1	0	0	0	0	0	256	10	0	0	0	0	1	0	0	0	0	1	0	0	1	15	0	1	45	0	0	0	30	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	19	0	1	0
16151	24964	"Watten"	50.83361	2.21333	1914	"AWI"	1914	8131	8950	8576	1	14	17	1	1	2	0	7	0	0	0	0	0	0	256	7	0	0	0	0	1	0	0	0	0	1	0	0	1	9	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	20	0	1	0
16151	24964	"Watten"	50.83361	2.21333	1940	"AWI"	1940	8149	8996	8613	0	9	18	7	1	4	0	5	0	0	0	0	0	0	161	21	0	0	0	0	0	0	0	0	0	0	0	0	1	9	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2	0	22	0	0	0
