"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Geraniaceae"	"Ilex"	"Juglans"	"Lamiaceae"	"Malvaceae"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rumex"	"Salix"	"Scrophulariaceae"	"Tilia"	"Ulmus"	"Urticaceae"	"Vitaceae"
16095	24848	"Changeon"	47.27611	0.13194	15	"AWI"	15	-92	190	19	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	139	0	0	0	0	0	0	0	0	0	0	81	2	0	0	0	0	1	0	2	0	0	0	0	0	0
16095	24848	"Changeon"	47.27611	0.13194	20	"AWI"	20	-83	264	45	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	115	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16095	24848	"Changeon"	47.27611	0.13194	25	"AWI"	25	-54	288	75	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	150	0	0	0	0	0	0	0	0	1	0	19	2	0	0	0	1	1	0	1	0	0	0	0	0	0
16095	24848	"Changeon"	47.27611	0.13194	32	"AWI"	32	-30	337	120	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	179	0	0	0	0	0	0	0	0	1	0	11	1	0	0	0	0	0	0	0	0	0	0	0	0	0
16095	24848	"Changeon"	47.27611	0.13194	36	"AWI"	36	-20	372	146	3	1	2	0	0	0	1	0	0	0	0	0	0	0	0	120	0	0	0	0	0	0	0	0	0	0	8	3	0	0	0	0	0	0	0	0	0	1	0	0	0
16095	24848	"Changeon"	47.27611	0.13194	45	"AWI"	45	24	436	201	11	1	0	0	1	0	1	0	0	0	0	0	0	1	0	111	1	0	0	1	0	0	0	0	0	0	10	6	0	0	0	1	0	0	0	0	0	0	0	0	0
16095	24848	"Changeon"	47.27611	0.13194	55	"AWI"	55	67	496	265	37	0	0	0	0	0	19	0	0	1	0	0	0	25	0	29	0	0	0	0	3	0	1	0	0	0	5	0	21	0	1	12	0	0	0	0	0	1	0	0	0
16095	24848	"Changeon"	47.27611	0.13194	60	"AWI"	60	82	540	295	20	1	0	0	0	0	5	0	0	0	0	0	0	5	2	89	0	0	1	2	0	0	0	0	1	0	3	6	0	0	0	7	0	0	1	1	0	1	2	0	0
16095	24848	"Changeon"	47.27611	0.13194	65	"AWI"	65	128	555	324	26	2	0	0	0	0	3	0	0	0	0	0	0	6	2	73	0	0	0	0	0	0	1	0	0	0	2	5	24	0	0	7	0	0	1	1	0	1	0	0	0
16095	24848	"Changeon"	47.27611	0.13194	90	"AWI"	90	382	765	551	17	13	9	1	2	0	0	7	1	12	0	3	1	3	0	40	0	0	1	5	0	0	0	1	10	0	3	7	46	0	0	12	2	19	1	3	5	1	3	4	3
16095	24848	"Changeon"	47.27611	0.13194	100	"AWI"	100	450	1011	694	163	1	15	1	0	0	1	3	0	7	0	1	1	24	0	21	0	0	0	3	1	2	0	1	1	1	1	8	48	0	0	8	1	0	8	0	0	3	1	6	1
16095	24848	"Changeon"	47.27611	0.13194	115	"AWI"	115	964	1383	1168	89	2	7	0	5	6	1	1	1	8	0	1	0	3	2	26	0	0	2	1	1	0	0	1	3	1	1	4	119	0	0	12	6	0	4	1	3	0	3	1	1
