"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Caryophyllaceae"	"Convolvulaceae"	"Corylus"	"Crataegus"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Hypericaceae"	"Lamiaceae"	"Ligustrum"	"Ostrya.Carpinus"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Solanaceae"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Viburnum"
3506	4532	"Wiggenhall St. Germans"	52.69278	0.33944	202	"AWI"	202	-58	383	111	0	0	23	60	0	0	0	0	8	0	0	0	0	0	22	0	15	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	25	0	0	0	1	0	1	0	0	0	3	0	1	0
3506	4532	"Wiggenhall St. Germans"	52.69278	0.33944	206	"AWI"	206	103	1097	493	0	0	22	54	1	0	2	0	15	0	0	0	0	0	40	0	15	0	0	0	0	3	0	0	0	0	6	0	0	0	0	0	25	0	0	0	0	0	2	0	0	0	1	3	6	0
3506	4532	"Wiggenhall St. Germans"	52.69278	0.33944	210	"AWI"	210	317	1509	939	0	0	24	49	0	1	3	4	9	0	0	0	0	0	37	0	19	0	0	0	0	0	0	0	0	0	2	0	1	116	0	0	20	0	0	0	0	0	2	0	0	0	0	3	3	0
3506	4532	"Wiggenhall St. Germans"	52.69278	0.33944	212	"AWI"	212	698	1581	1153	0	0	28	54	0	0	3	0	11	0	0	0	2	0	25	0	21	0	0	1	0	0	0	0	0	1	1	0	0	128	0	0	23	0	0	0	0	0	5	0	0	0	0	2	1	0
3506	4532	"Wiggenhall St. Germans"	52.69278	0.33944	214	"AWI"	214	943	1678	1379	1	0	32	38	0	0	5	0	5	0	1	0	0	0	42	0	30	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	2	0	0	0	0	1	2	0
3506	4532	"Wiggenhall St. Germans"	52.69278	0.33944	216	"AWI"	216	1268	1809	1577	0	0	0	13	4	0	1	0	3	0	1	0	0	0	1	0	18	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	3	0	0	0	0	0	0	0
3506	4532	"Wiggenhall St. Germans"	52.69278	0.33944	217	"AWI"	217	1482	1856	1667	0	0	10	8	3	0	3	0	11	1	0	0	0	0	11	0	39	21	0	2	1	1	0	0	0	0	0	0	0	186	3	0	11	0	1	0	3	0	0	0	0	0	0	0	0	0
3506	4532	"Wiggenhall St. Germans"	52.69278	0.33944	218	"AWI"	218	1591	1947	1762	0	0	5	5	3	0	1	0	12	2	1	0	0	0	4	0	31	132	0	0	0	1	1	0	0	0	0	0	0	74	0	0	10	0	0	0	1	2	0	0	0	0	0	0	2	0
3506	4532	"Wiggenhall St. Germans"	52.69278	0.33944	219	"AWI"	219	1640	2143	1850	0	0	5	2	2	0	2	0	14	0	0	0	0	0	15	0	51	23	0	1	0	1	0	0	1	1	0	0	0	0	0	0	16	0	0	0	0	3	0	0	0	0	0	0	1	0
3506	4532	"Wiggenhall St. Germans"	52.69278	0.33944	220	"AWI"	220	1675	2374	1934	0	0	7	1	33	0	0	0	12	3	0	0	0	0	13	0	16	0	0	0	0	2	0	0	0	0	0	0	0	167	0	0	9	0	0	0	1	0	1	0	0	0	0	0	0	0
