"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Berberidaceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Scrophulariaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
15693	24061	"Malschötscher Hotter"	46.66611	11.45833	1	"AWI"	1	-96	114	-4	2	0	79	0	5	0	17	0	1	30	0	14	0	5	0	4	16	0	5	344	0	0	0	0	4	0	0	0	3	17	0	7	0	0	0	72	495	0	171	0	0	0	9	0	2	0	1	0	0	2	0	1	0	0	3	0	2	24	0	0
15693	24061	"Malschötscher Hotter"	46.66611	11.45833	2.5	"AWI"	2.5	-69.5	294	55	1	0	48	0	5	0	12	0	0	22	0	9	0	5	0	0	11	0	3	538	0	0	5	0	13	0	0	0	1	28	1	8	0	0	0	70	446	0	185	0	1	0	18	0	1	0	2	0	0	0	0	0	0	0	2	0	0	16	1	0
15693	24061	"Malschötscher Hotter"	46.66611	11.45833	5	"AWI"	5	-42	624	153	1	0	106	5	7	0	30	0	0	76	1	10	0	15	0	5	29	0	4	404	0	0	6	0	25	0	2	0	13	61	0	19	0	0	0	37	233	0	288	0	0	0	41	0	4	0	3	0	0	3	0	2	2	0	6	0	1	22	1	1
15693	24061	"Malschötscher Hotter"	46.66611	11.45833	10	"AWI"	10	69	976	412	2	0	59	3	5	0	39	0	0	132	0	8	0	15	0	3	26	0	9	498	1	0	0	0	42	0	0	0	18	68	0	24	0	0	0	80	244	0	244	0	0	0	34	0	2	0	4	0	2	8	0	0	0	2	3	0	0	23	0	0
15693	24061	"Malschötscher Hotter"	46.66611	11.45833	15	"AWI"	15	202	1338	680	7	0	58	3	3	0	37	0	0	71	1	9	0	8	0	5	21	0	8	590	0	0	6	0	33	0	0	0	6	19	0	14	0	0	0	71	0	0	308	0	0	0	24	0	5	0	5	0	0	0	0	0	1	0	4	0	2	15	0	0
15693	24061	"Malschötscher Hotter"	46.66611	11.45833	20	"AWI"	20	364	1576	923	16	0	72	1	1	0	15	0	0	49	0	1	0	4	0	2	4	0	3	176	0	0	0	0	42	0	0	0	8	1	0	9	0	0	0	163	523	0	107	0	0	0	41	0	1	0	0	0	0	0	0	2	0	0	1	2	0	4	0	0
15693	24061	"Malschötscher Hotter"	46.66611	11.45833	25	"AWI"	25	549	1826	1172	8	1	162	0	2	0	24	0	0	60	0	2	0	1	0	2	16	0	2	345	0	0	0	0	49	0	0	0	5	4	0	18	0	0	0	207	482	0	135	0	0	0	44	0	1	0	2	0	0	2	0	0	1	0	2	0	1	1	0	0
15693	24061	"Malschötscher Hotter"	46.66611	11.45833	30	"AWI"	30	755	2057	1419	36	0	151	0	2	0	7	0	0	128	0	0	0	3	0	1	7	1	5	222	0	0	0	0	53	0	0	0	6	1	0	7	0	0	0	214	526	0	79	0	0	0	68	0	0	0	1	0	0	1	0	0	1	0	2	0	5	4	0	1
15693	24061	"Malschötscher Hotter"	46.66611	11.45833	35	"AWI"	35	988	2289	1681	6	0	221	0	2	0	11	0	0	127	0	2	0	9	0	3	11	0	11	379	0	0	0	0	89	0	0	0	19	11	0	9	0	0	11	99	293	0	164	0	1	0	75	0	2	0	2	0	1	2	0	1	0	1	2	0	4	12	0	1
15693	24061	"Malschötscher Hotter"	46.66611	11.45833	40	"AWI"	40	1265	2502	1932	26	0	164	0	0	0	12	0	0	83	0	5	0	2	0	1	1	0	17	206	0	0	0	0	61	0	0	0	7	11	0	10	0	0	0	179	264	0	98	0	0	0	45	0	2	0	3	0	0	0	0	0	1	1	1	0	4	3	0	0
