"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Cannabaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Geraniaceae"	"Juniperus"	"Lamiaceae"	"Malvaceae"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Saxifragaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
3107	4042	"Lake Flarken"	58.55679	13.67319	2.5	"AWI"	2.5	-37	120	39	0.04995004995005	14.4855144855145	0.14985014985015	0.04995004995005	0	0.2997002997003	0	0	0	0	0	6.19380619380619	0	0	0.799200799200799	0	0	0.04995004995005	0.14985014985015	0	3.94605394605395	0.04995004995005	0	0	0.0999000999000999	15.8841158841159	43.956043956044	0	8.09190809190809	0	0	3.34665334665335	0.14985014985015	0	0	0.749250749250749	0.14985014985015	0	0	0	0.949050949050949	0.3996003996004	0	0
3107	4042	"Lake Flarken"	58.55679	13.67319	7.5	"AWI"	7.5	143	358.5	254.5	0.0480538202787122	11.6290245074483	0.144161460836136	0.144161460836136	0	0	0	0	0	0	0.0480538202787122	8.45747236905334	0	0	0	0	0	0.240269101393561	0	0	4.13262854396925	0	0	0	0.0480538202787122	17.0110523786641	44.2575684766939	0	6.87169629985584	0.0480538202787122	0	3.74819798173955	0.288322921672273	0	0	0.576645843344546	0.336376741950985	0	0	0	1.44161460836136	0.528592023065834	0	0
3107	4042	"Lake Flarken"	58.55679	13.67319	12.5	"AWI"	12.5	302	621	470.5	0	16.2444113263785	0.14903129657228	0.14903129657228	0	0.14903129657228	0	0	0	0	0	6.40834575260805	0	0	0	0	0	0	0	0	5.96125186289121	0	0	0	0	10.8792846497765	44.4113263785395	0	9.2896174863388	0	0	3.5270740188773	0.0496770988574267	0	0	0.993541977148535	0.14903129657228	0	0	0	0.745156482861401	0.894187779433681	0	0
3107	4042	"Lake Flarken"	58.55679	13.67319	17.5	"AWI"	17.5	457.5	892	685.5	0.0452488687782805	14.5701357466063	0	0	0	0.0452488687782805	0	0	0	0	0	6.69683257918552	0	0	0	0	0	0.0904977375565611	0	0	8.09954751131222	0	0	0	0.0452488687782805	22.1719457013575	36.1085972850679	0.135746606334842	7.01357466063348	0.0452488687782805	0.0452488687782805	3.07692307692308	0	0	0	0.452488687782805	0.361990950226244	0	0	0	0.81447963800905	0.180995475113122	0	0
3107	4042	"Lake Flarken"	58.55679	13.67319	22.5	"AWI"	22.5	745.5	1053.5	882	0	18.5845488924905	0.108049702863317	0	0	0.270124257158293	0	0	0	0	0	5.94273365748244	0	0	0	0	0	0.0540248514316586	0	0	4.26796326310103	0	0	0	0	18.9086980010805	39.4381415451108	0	6.05078336034576	0	0	3.34954078876283	0.0540248514316586	0	0	0.432198811453268	0.324149108589951	0	0	0	1.62074554294976	0.594273365748244	0	0
3107	4042	"Lake Flarken"	58.55679	13.67319	27.5	"AWI"	27.5	858	1366	1077	0	23.4107579462103	0.0611246943765281	0.0611246943765281	0	0.550122249388753	0	0	0	0	0.0611246943765281	10.6356968215159	0	0	0	0	0	0.488997555012225	0.0611246943765281	0	5.440097799511	0	0	0	0.0611246943765281	8.12958435207824	33.8630806845966	0	7.33496332518337	0	0.0611246943765281	7.51833740831296	0.122249388753056	0	0	0.305623471882641	0.305623471882641	0	0	0	1.22249388753056	0.305623471882641	0	0
3107	4042	"Lake Flarken"	58.55679	13.67319	32.5	"AWI"	32.5	913	1802	1264	0	27.4661508704062	0.128949065119278	0.0644745325596389	0	0.193423597678917	0	0	0	0	0.0644745325596389	8.96196002578981	0	0	0	0	0	0.128949065119278	0.128949065119278	0	2.51450676982592	0	0	0	0	6.51192778852353	37.5241779497099	0	6.89877498388137	0	0	6.51192778852353	0.193423597678917	0	0	0.580270793036751	0.0644745325596389	0.0644745325596389	0	0	1.41843971631206	0.580270793036751	0	0
3107	4042	"Lake Flarken"	58.55679	13.67319	37.5	"AWI"	37.5	954	2250.5	1447.5	0	27.0150083379655	0.222345747637576	0.166759310728182	0	0.166759310728182	0	0	0	0	0	10.3946637020567	0	0	0	0.0555864369093941	0	0.277932184546971	0.111172873818788	0	2.77932184546971	0	0	0	0.277932184546971	9.00500277932185	33.4630350194552	0	5.16953863257365	0	0	7.83768760422457	0.0555864369093941	0	0	0.333518621456365	0.222345747637576	0	0	0	1.61200667037243	0.833796553640912	0	0
3107	4042	"Lake Flarken"	58.55679	13.67319	42.5	"AWI"	42.5	1174	2322	1648	0	22.4547511312217	0.0565610859728507	0	0	0	0	0	0	0	0	10.1809954751131	0	0	0	0	0	0.226244343891403	0.0565610859728507	0	2.94117647058824	0	0	0	0	11.2556561085973	34.3325791855204	0	5.88235294117647	0	0	7.97511312217194	0.339366515837104	0	0	0.395927601809955	0.395927601809955	0	0	0	2.37556561085973	1.13122171945701	0	0
3107	4042	"Lake Flarken"	58.55679	13.67319	47.5	"AWI"	47.5	1311	2376.5	1859.5	0	22.97383535418	0.319081046585833	0.0638162093171666	0	0.127632418634333	0	0	0	0	0	13.1461391193363	0	0	0	0	0	0.1914486279515	0	0	1.148691767709	0	0	0	0.127632418634333	10.5296745373325	31.7804722399489	0	5.87109125717932	0	0	10.0191448627951	0.255264837268666	0	0	0.382897255902999	0.255264837268666	0.127632418634333	0	0	1.59540523292916	1.08487555839183	0	0
