"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cedrus"	"Cistaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Ilex"	"Juglans"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Linaceae"	"Lythraceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Vitaceae"
16173	25003	"Tourbière de Mur de Sologne"	47.41167	1.60889	10	"AWI"	10	2144	2985	2666	1	0	111	0	0	2	0	0	68	0	0	0	0	0	0	0	0	23	0	88	0	0	0	0	51	1	0	0	1	0	0	0	0	0	2	0	0	0	8	0	0	0	230	0	0	0	127	0	0	0	4	0	6	0	0	0	0	5	2	0	0
16173	25003	"Tourbière de Mur de Sologne"	47.41167	1.60889	15	"AWI"	15	2436	3037	2740	0	0	69	0	0	1	0	0	72	0	0	0	0	0	0	0	0	40	0	19	0	0	0	0	30	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0	124	0	0	0	1	1	12	0	0	0	0	6	1	0	0
16173	25003	"Tourbière de Mur de Sologne"	47.41167	1.60889	20	"AWI"	20	2682	3104	2824	1	0	90	2	0	0	0	0	87	0	0	0	0	0	0	0	0	34	0	53	0	0	0	0	26	3	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	40	0	0	3	157	0	0	0	0	0	9	0	0	0	0	8	9	1	0
16173	25003	"Tourbière de Mur de Sologne"	47.41167	1.60889	25	"AWI"	25	2851	3191	2969	0	0	85	0	1	0	0	0	38	0	0	0	0	0	0	0	0	48	0	49	0	0	0	0	21	1	0	0	1	0	0	0	0	0	0	0	1	0	4	0	0	0	60	0	0	0	137	1	1	0	0	1	3	0	0	3	0	0	6	0	0
16173	25003	"Tourbière de Mur de Sologne"	47.41167	1.60889	30	"AWI"	30	2976	3292	3133	1	0	84	0	0	0	3	0	65	0	0	0	0	0	0	0	0	45	0	52	0	0	0	0	10	4	0	0	1	0	0	1	0	0	0	0	0	0	3	0	0	0	60	0	1	0	174	1	2	0	0	0	0	0	0	0	0	4	4	0	0
16173	25003	"Tourbière de Mur de Sologne"	47.41167	1.60889	35	"AWI"	35	3077	3440	3296	0	0	70	0	0	0	1	0	63	0	0	0	0	0	0	0	0	39	0	60	0	0	0	0	9	3	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	18	0	0	0	72	0	0	0	0	0	0	0	0	0	0	2	5	0	0
16173	25003	"Tourbière de Mur de Sologne"	47.41167	1.60889	40	"AWI"	40	3156	3632	3455	0	0	129	0	0	2	1	0	40	0	0	0	0	0	0	0	0	92	0	44	0	0	0	0	10	7	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	20	0	0	2	133	1	0	0	0	0	0	0	0	0	0	3	6	1	0
16173	25003	"Tourbière de Mur de Sologne"	47.41167	1.60889	42	"AWI"	42	3192	3717	3518	0	1	158	0	2	3	0	0	87	0	0	0	0	0	0	0	0	120	0	66	0	0	0	0	10	3	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	39	0	0	1	201	0	0	0	0	0	0	0	0	0	0	10	13	0	1
16173	25003	"Tourbière de Mur de Sologne"	47.41167	1.60889	45	"AWI"	45	3247	3762	3557	0	0	47	0	0	0	0	0	123	0	0	0	0	0	0	0	0	31	0	70	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	4	0	0	0	52	0	0	0	0	0	0	0	0	0	0	3	1	0	0
16173	25003	"Tourbière de Mur de Sologne"	47.41167	1.60889	55	"AWI"	55	3352	3997	3680	0	0	47	0	0	0	0	0	69	0	0	0	0	0	0	0	0	43	0	62	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	20	0	0	0	76	0	0	0	0	0	1	0	0	0	0	1	1	0	0
