"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Buxus"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Juglans"	"Juniperus"	"Lamiaceae"	"Lythraceae"	"Olea"	"Ostrya.Carpinus"	"Phillyrea"	"Picea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Poaceae"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Scrophulariaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Vitaceae"
3463	4482	"Tenaghi Philippon"	40.95705	24.252808	5	"AWI"	5	-66	520	98	1	0	8	14	2	7	0	0	0	0	1	0	6	57	18	0	4	2	1	4	0	2	2	7	0	1	41	0	1	0	104	10	1	1	0	1	0	0	0	2	1	0	0	0
3463	4482	"Tenaghi Philippon"	40.95705	24.252808	10	"AWI"	10	14	806	296	4	0	6	3	6	7	0	4	0	0	2	0	5	46	7	0	4	0	0	3	0	0	2	0	0	0	33	0	0	14	143	10	0	0	0	0	0	0	0	1	1	4	0	0
3463	4482	"Tenaghi Philippon"	40.95705	24.252808	20	"AWI"	20	248	1292	691	0	0	2	6	1	9	0	0	0	0	0	0	2	46	4	0	5	0	0	5	0	0	0	0	0	1	20	0	2	14	80	7	1	1	0	0	0	0	0	0	0	1	0	0
3463	4482	"Tenaghi Philippon"	40.95705	24.252808	30	"AWI"	30	535	1738	1085	0	0	25	1	1	4	0	1	2	0	0	0	36	18	16	0	5	4	0	0	0	0	0	27	0	0	30	1	0	0	154	8	0	0	0	0	0	0	0	0	0	1	0	0
3463	4482	"Tenaghi Philippon"	40.95705	24.252808	40	"AWI"	40	855	2164	1487	0	0	12	0	0	7	0	0	3	0	0	0	8	18	16	0	3	2	0	1	0	0	7	10	0	1	7	0	2	48	111	5	0	0	0	3	0	0	0	0	0	1	0	0
3463	4482	"Tenaghi Philippon"	40.95705	24.252808	45	"AWI"	45	1037	2337	1688	0	0	2	5	1	8	6	0	3	0	0	0	1	101	17	0	5	1	0	1	0	0	5	0	0	1	6	0	2	37	113	5	0	0	0	1	0	1	0	0	0	0	0	0
3463	4482	"Tenaghi Philippon"	40.95705	24.252808	50	"AWI"	50	1224	2512	1885	3	0	4	6	2	9	0	0	8	1	1	0	2	116	14	1	4	0	1	6	1	0	8	0	1	0	13	0	1	21	109	8	0	0	0	4	0	0	0	0	0	2	0	0
3463	4482	"Tenaghi Philippon"	40.95705	24.252808	55	"AWI"	55	1431	2669	2083	4	0	4	5	1	8	0	1	0	0	0	0	5	28	21	0	11	2	3	1	0	0	13	16	5	0	33	1	0	20	190	18	0	0	0	1	1	0	0	0	0	0	0	1
3463	4482	"Tenaghi Philippon"	40.95705	24.252808	60	"AWI"	60	1621	2823	2276	1	0	2	2	0	3	0	1	0	0	2	0	6	164	7	0	3	2	0	0	0	0	0	0	0	0	47	0	2	0	86	11	0	0	0	0	0	0	0	1	0	0	0	0
3463	4482	"Tenaghi Philippon"	40.95705	24.252808	65	"AWI"	65	1829	2983	2472	1	0	3	20	4	26	13	1	2	0	0	0	3	14	39	0	11	1	0	4	0	0	0	15	0	1	31	0	2	20	159	16	0	1	2	1	0	0	0	0	0	0	0	0
3463	4482	"Tenaghi Philippon"	40.95705	24.252808	70	"AWI"	70	2063	3127	2671	1	1	0	1	0	1	0	2	0	0	0	0	3	44	6	1	2	3	0	3	0	0	0	0	0	0	25	0	1	20	43	1	1	0	0	2	0	0	0	0	0	1	0	0
3463	4482	"Tenaghi Philippon"	40.95705	24.252808	75	"AWI"	75	2298	3255	2864	0	0	13	12	4	22	0	2	1	0	0	0	6	9	14	1	10	2	0	2	0	0	0	16	0	0	18	1	3	29	189	23	1	0	0	0	4	0	0	1	2	2	0	2
3463	4482	"Tenaghi Philippon"	40.95705	24.252808	80	"AWI"	80	2549	3368	3059	1	0	19	4	2	5	0	0	0	0	0	0	3	10	16	0	1	0	0	2	0	0	2	10	2	0	14	0	3	43	108	7	0	0	0	1	0	0	0	0	0	2	0	0
3463	4482	"Tenaghi Philippon"	40.95705	24.252808	85	"AWI"	85	2829	3468	3242	1	0	10	4	1	3	0	4	0	0	0	0	6	76	13	0	8	4	0	3	0	0	6	7	4	0	15	2	4	0	158	12	0	0	0	1	0	2	0	0	0	5	0	0
3463	4482	"Tenaghi Philippon"	40.95705	24.252808	90	"AWI"	90	3221	3562	3413	0	0	3	4	2	6	0	1	1	0	0	1	2	62	13	0	0	2	0	0	0	0	0	0	1	0	21	1	1	17	175	0	0	3	0	1	0	2	0	0	0	3	0	0
3463	4482	"Tenaghi Philippon"	40.95705	24.252808	95	"AWI"	95	3304	3755	3517	3	0	3	0	2	7	3	4	0	0	7	0	4	64	13	0	5	0	0	3	0	0	3	10	2	0	11	0	2	0	192	18	0	0	0	2	0	2	0	1	0	3	0	1
3463	4482	"Tenaghi Philippon"	40.95705	24.252808	105	"AWI"	105	3493	4014	3740	2	0	2	4	1	2	6	1	0	0	0	0	3	62	15	0	9	1	0	2	0	0	3	0	2	0	26	0	5	0	188	4	0	0	0	3	0	0	0	0	2	4	0	0
3463	4482	"Tenaghi Philippon"	40.95705	24.252808	110	"AWI"	110	3594	4129	3853	9	0	6	4	0	3	0	1	0	0	0	0	3	85	17	1	5	1	0	1	0	0	2	9	0	1	25	2	1	0	124	7	0	0	0	2	4	1	0	0	2	2	0	0
3463	4482	"Tenaghi Philippon"	40.95705	24.252808	120	"AWI"	120	3846	4347	4079	2	0	4	2	1	2	0	0	1	0	0	0	9	16	13	0	3	0	0	0	0	0	1	0	0	0	22	0	1	0	180	10	0	1	0	2	3	0	0	0	5	2	0	0
3463	4482	"Tenaghi Philippon"	40.95705	24.252808	130	"AWI"	130	4039	4601	4309	9	0	2	4	1	0	0	0	1	0	0	0	0	73	21	0	10	5	0	1	0	0	2	6	0	0	26	1	0	20	141	8	1	1	0	0	0	1	0	0	3	3	0	0
3463	4482	"Tenaghi Philippon"	40.95705	24.252808	145	"AWI"	145	4379	4942	4655	1	0	4	5	2	2	0	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	3	0	1	13	0	1	27	163	1	0	0	0	2	0	0	0	1	2	2	0	0
3463	4482	"Tenaghi Philippon"	40.95705	24.252808	160	"AWI"	160	4634	5342	4968	3	0	7	5	1	5	0	1	1	0	0	0	6	13	11	0	2	0	0	2	0	0	0	0	0	0	10	0	0	44	173	5	0	0	0	0	0	0	0	0	3	8	1	0
3463	4482	"Tenaghi Philippon"	40.95705	24.252808	170	"AWI"	170	4813	5574	5179	1	0	5	3	0	5	0	1	1	2	0	0	13	8	9	0	0	2	0	1	0	1	0	8	0	2	22	0	0	0	159	7	0	0	0	0	0	0	0	0	3	5	0	0
3463	4482	"Tenaghi Philippon"	40.95705	24.252808	180	"AWI"	180	5014	5805	5386	1	0	7	0	0	0	0	0	0	0	0	0	7	7	5	0	0	0	0	1	0	0	0	10	0	0	35	1	1	0	165	0	0	0	0	0	0	0	1	0	4	1	0	0
3463	4482	"Tenaghi Philippon"	40.95705	24.252808	190	"AWI"	190	5216	6027	5599	5	0	3	4	0	1	0	3	0	0	0	0	4	5	5	0	0	0	0	1	0	0	0	9	0	0	36	0	0	26	177	7	0	0	0	4	0	0	0	0	5	5	0	0
3463	4482	"Tenaghi Philippon"	40.95705	24.252808	200	"AWI"	200	5420	6241	5810	1	0	0	2	1	2	0	0	1	0	0	0	0	1	3	0	1	0	0	1	0	0	3	0	0	2	26	0	0	10	98	0	0	0	0	0	0	0	0	0	2	5	0	0
