"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Ilex"	"Juglans"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Lythraceae"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
3381	4383	"Rotsee"	47.07556	8.32556	0	"AWI"	0	-148	22	-67	30	3	27	0	1	0	0	0	29	4	1	0	7	0	0	1	0	43	29	0	0	0	0	52	0	13	0	0	0	4	4	0	0	0	0	6	31	23	0	99	0	4	61	10	0	0	0	8	3	4	0	0	0	2	2	10	0	0
3381	4383	"Rotsee"	47.07556	8.32556	20	"AWI"	20	-20	906	469	34	1	45	0	12	0	0	0	8	2	1	1	5	0	0	3	0	18	26	0	0	0	6	23	0	10	0	0	1	6	3	0	0	0	0	1	40	31	0	242	0	2	32	3	0	0	3	22	3	1	0	0	0	3	0	1	0	0
3381	4383	"Rotsee"	47.07556	8.32556	30	"AWI"	30	8	1383	740	58	3	59	1	16	1	1	0	21	2	3	1	15	0	0	5	0	34	68	0	0	1	20	75	0	11	0	0	0	21	3	0	0	0	0	5	69	53	0	344	0	4	68	13	0	0	0	31	4	0	0	0	0	2	1	4	0	0
3381	4383	"Rotsee"	47.07556	8.32556	40	"AWI"	40	34	1863	1009	42	3	54	1	8	0	1	0	15	6	2	0	33	0	0	3	0	54	61	0	0	1	16	93	0	11	0	0	0	9	13	0	0	1	0	1	45	40	0	250	0	2	87	10	0	0	0	38	5	0	0	0	0	2	0	8	1	1
3381	4383	"Rotsee"	47.07556	8.32556	50	"AWI"	50	409	2007	1244	52	0	69	0	5	1	2	0	18	2	1	0	14	0	0	3	0	47	24	0	0	1	10	53	1	5	0	2	0	9	9	0	0	2	0	6	58	21	0	126	0	0	92	8	0	0	1	14	5	0	0	0	2	3	0	6	0	0
3381	4383	"Rotsee"	47.07556	8.32556	60	"AWI"	60	763	2076	1462	83	7	136	1	5	0	0	0	45	2	3	0	19	0	0	4	0	115	59	0	0	0	3	93	0	9	0	0	0	10	14	0	0	0	0	4	99	56	0	160	0	5	192	9	0	0	0	15	13	0	0	0	0	1	2	4	0	0
3381	4383	"Rotsee"	47.07556	8.32556	70	"AWI"	70	993	2139	1683	43	1	129	1	5	0	1	0	70	0	0	0	23	0	0	1	0	120	30	0	0	1	0	79	0	4	0	0	0	10	14	0	0	0	0	5	63	44	0	105	0	1	129	4	0	0	0	13	8	0	0	0	0	0	0	7	0	0
3381	4383	"Rotsee"	47.07556	8.32556	80	"AWI"	80	1166	2249	1925	47	2	163	1	2	0	0	0	76	3	0	1	30	0	0	2	0	140	56	0	0	0	0	81	1	3	0	0	0	8	27	0	1	0	0	3	55	31	0	114	0	5	119	2	0	0	1	14	10	0	0	0	0	1	2	4	0	0
3381	4383	"Rotsee"	47.07556	8.32556	90	"AWI"	90	1385	2354	2056	40	2	90	0	0	1	0	0	63	2	2	1	23	0	0	1	0	109	44	0	0	3	0	103	1	8	0	0	0	4	25	0	1	0	0	4	49	20	0	117	0	6	134	3	0	0	2	7	13	0	0	0	0	1	2	7	0	0
3381	4383	"Rotsee"	47.07556	8.32556	100	"AWI"	100	1638	2376	2119	42	1	102	1	3	0	2	0	43	3	0	0	57	0	0	1	0	69	24	0	0	1	0	91	1	2	0	0	0	10	14	2	0	0	0	4	26	11	0	127	0	2	130	9	0	0	2	17	13	0	0	0	2	2	1	7	0	0
3381	4383	"Rotsee"	47.07556	8.32556	110	"AWI"	110	1880	2416	2180	48	3	115	0	3	0	7	0	30	2	0	0	104	0	0	1	0	104	37	0	0	1	0	98	0	9	0	0	0	9	32	0	0	0	0	3	48	13	0	101	0	1	112	4	0	0	0	9	11	0	0	0	1	1	1	13	0	0
3381	4383	"Rotsee"	47.07556	8.32556	120	"AWI"	120	2023	2499	2248	70	2	126	2	6	0	4	0	30	5	1	0	207	0	0	2	0	156	54	0	0	2	0	120	3	5	0	0	0	9	28	3	1	0	0	4	44	19	0	142	0	3	105	1	0	0	1	9	21	0	0	0	1	0	0	18	2	0
3381	4383	"Rotsee"	47.07556	8.32556	130	"AWI"	130	2093	2618	2314	57	0	85	2	7	0	5	0	23	2	1	0	272	0	0	1	0	135	48	1	0	1	0	143	2	9	0	0	0	11	26	0	0	0	0	9	20	9	0	146	0	4	111	7	0	0	2	14	22	0	0	0	0	1	2	17	0	0
3381	4383	"Rotsee"	47.07556	8.32556	140	"AWI"	140	2136	2643	2346	69	0	101	1	3	0	11	0	25	2	0	0	285	0	0	2	0	114	38	0	0	0	0	125	1	7	0	0	0	16	25	0	0	0	0	6	29	18	0	154	0	4	124	6	0	0	1	16	23	0	0	0	0	0	0	13	0	0
3381	4383	"Rotsee"	47.07556	8.32556	150	"AWI"	150	2169	2678	2386	88	0	184	0	2	1	4	0	43	1	2	0	88	0	0	5	0	102	21	0	0	4	0	200	1	15	0	0	0	6	8	0	0	0	0	9	49	7	0	117	0	3	91	9	0	0	1	15	11	0	0	0	1	0	2	12	0	0
3381	4383	"Rotsee"	47.07556	8.32556	160	"AWI"	160	2199	2743	2415	211	1	161	0	2	0	8	0	7	0	0	0	12	0	0	2	0	51	15	0	0	0	0	212	0	18	0	0	0	1	3	0	0	0	0	5	80	12	0	62	0	0	26	1	0	0	0	4	4	0	0	0	0	1	3	1	0	0
3381	4383	"Rotsee"	47.07556	8.32556	170	"AWI"	170	2239	2874	2473	169	1	173	0	0	1	3	0	32	0	0	0	1	0	0	1	0	48	4	0	0	0	0	281	0	32	0	0	0	0	1	0	0	0	0	7	69	11	0	20	0	1	48	4	0	0	0	1	1	0	0	0	0	2	8	0	0	0
3381	4383	"Rotsee"	47.07556	8.32556	180	"AWI"	180	2300	3296	2626	66	2	244	1	0	0	2	0	52	0	1	0	0	0	0	0	0	112	11	0	0	1	0	238	1	47	0	0	1	0	3	0	0	0	0	9	39	12	0	0	0	1	84	0	0	0	1	2	5	0	0	0	0	9	8	3	1	0
3381	4383	"Rotsee"	47.07556	8.32556	185	"AWI"	185	2316	3532	2675	67	1	205	0	1	0	1	0	66	1	1	0	7	0	0	2	0	82	10	0	0	1	0	168	1	22	0	0	0	0	4	0	0	0	0	2	50	12	0	0	0	0	95	4	0	0	2	3	8	0	0	0	0	1	3	0	0	0
3381	4383	"Rotsee"	47.07556	8.32556	190	"AWI"	190	2334	3771	2736	49	1	322	1	1	0	4	0	47	0	0	0	1	0	0	1	0	106	14	0	0	1	0	152	2	14	0	0	0	1	4	0	0	0	0	7	18	5	0	0	0	0	106	1	0	0	0	4	5	0	0	0	0	1	3	5	0	0
3381	4383	"Rotsee"	47.07556	8.32556	195	"AWI"	195	2350	4016	2814	49	0	197	1	3	2	4	0	28	1	1	1	4	0	0	2	0	104	13	0	0	0	0	160	0	15	0	0	0	0	4	0	0	0	0	0	33	12	0	67	0	1	151	5	0	0	1	8	9	0	0	0	0	5	5	2	0	0
