"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Asteraceae"	"Betula"	"Brassicaceae"	"Buxus"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fagus"	"Fraxinus"	"Geraniaceae"	"Indeterminable"	"Juglans"	"Liliaceae"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
16358	25410	"Petiville"	49.23333	-0.16667	28	"AWI"	28	298	956	599	0	3	12	7	0	2	3	0	0	0	68	2	0	3	1	9	0	0	1	1	56	6	0	3	0	4	0	4	0	1	2
16358	25410	"Petiville"	49.23333	-0.16667	56	"AWI"	56	932	1534	1263	0	6	17	0	5	1	0	0	0	6	34	2	1	0	0	7	0	2	1	1	0	12	0	0	0	0	0	4	1	1	1
16358	25410	"Petiville"	49.23333	-0.16667	122	"AWI"	122	2027	2470	2261	0	13	2	0	0	0	1	0	1	4	15	0	0	0	0	3	0	0	2	2	0	11	0	0	0	2	0	0	1	0	0
16358	25410	"Petiville"	49.23333	-0.16667	222	"AWI"	222	3446	4127	3790	0	43	15	7	0	4	1	0	0	11	78	0	0	4	0	9	0	1	2	1	83	24	0	5	3	12	1	5	1	0	3
16358	25410	"Petiville"	49.23333	-0.16667	230	"AWI"	230	3569	4256	3927	0	21	15	5	0	7	0	0	0	18	56	1	1	2	1	28	0	1	0	1	65	41	0	0	0	6	1	1	1	2	2
16358	25410	"Petiville"	49.23333	-0.16667	258	"AWI"	258	4124	4634	4390	0	83	3	2	0	1	1	2	0	9	23	3	0	4	0	10	0	3	2	2	0	36	1	4	0	18	3	1	3	0	3
16358	25410	"Petiville"	49.23333	-0.16667	264	"AWI"	264	4244	4716	4485	0	93	1	1	0	0	0	0	0	23	18	0	1	2	0	14	0	3	2	1	6	35	0	3	2	8	2	1	3	1	1
16358	25410	"Petiville"	49.23333	-0.16667	270	"AWI"	270	4388	4784	4578	0	62	12	1	0	2	0	0	0	23	40	1	0	0	0	15	0	1	2	1	0	58	0	0	0	3	0	0	4	0	0
16358	25410	"Petiville"	49.23333	-0.16667	276	"AWI"	276	4483	4888	4672	0	15	11	0	0	1	0	0	1	15	36	1	0	0	0	0	1	0	1	0	43	17	0	0	0	2	0	1	9	0	1
16358	25410	"Petiville"	49.23333	-0.16667	327	"AWI"	327	5140	5753	5445	0	38	18	3	0	2	1	0	0	20	97	0	0	5	0	6	0	0	3	2	0	20	0	3	0	6	0	5	0	0	1
16358	25410	"Petiville"	49.23333	-0.16667	360	"AWI"	360	5657	6202	5949	0	156	1	0	0	0	0	0	0	15	8	0	0	1	0	7	0	0	3	0	0	34	0	0	0	1	0	0	4	0	0
16358	25410	"Petiville"	49.23333	-0.16667	366	"AWI"	366	5766	6275	6045	0	189	3	0	0	0	0	0	0	19	10	0	0	1	0	7	0	0	4	1	0	70	0	0	0	7	0	0	1	2	0
16358	25410	"Petiville"	49.23333	-0.16667	369	"AWI"	369	5826	6313	6090	0	32	0	0	0	1	1	0	0	4	6	1	0	0	0	1	0	0	1	0	0	16	0	0	1	2	0	0	1	2	0
16358	25410	"Petiville"	49.23333	-0.16667	389	"AWI"	389	6226	6573	6381	1	6	0	0	0	0	0	0	0	0	4	0	1	0	0	4	0	0	0	0	0	4	0	0	0	2	0	0	4	2	0
