"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Caryophyllaceae"	"Castanea"	"Celastraceae"	"Cistaceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Liliaceae"	"Lythraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Phillyrea"	"Picea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Scrophulariaceae"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Vitaceae"
3344	4340	"Pelléautier"	44.52222	6.18333	100	"AWI"	100	715	2067	1265	31	0	36	0	0	0	4	0	7	0	1	0	0	1	0	1	0	0	0	7	2	207	0	0	0	0	0	13	1	0	1	0	1	0	0	0	0	0	0	6	54	0	6	28	0	59	0	2	0	0	3	0	0	0	0	0	0	0	1	0	0
3344	4340	"Pelléautier"	44.52222	6.18333	110	"AWI"	110	787	2616	1477	61	0	23	0	2	0	1	0	7	0	0	0	0	0	0	4	0	0	0	9	0	82	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	1	74	0	8	13	1	44	0	4	0	0	1	0	0	1	2	0	0	0	0	0	0
3344	4340	"Pelléautier"	44.52222	6.18333	120	"AWI"	120	984	2833	1738	73	1	5	0	0	0	0	0	1	1	0	0	0	0	0	4	0	0	0	2	0	67	0	0	0	0	0	6	0	0	0	0	0	1	0	0	0	0	0	2	91	0	1	0	0	29	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0
3344	4340	"Pelléautier"	44.52222	6.18333	130	"AWI"	130	1102	3207	1984	39	2	20	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	1	13	0	19	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	78	0	0	0	0	24	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0
3344	4340	"Pelléautier"	44.52222	6.18333	140	"AWI"	140	1292	3450	2238	58	0	9	0	0	0	2	0	2	0	0	0	0	0	0	1	0	0	0	7	0	13	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	74	0	1	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3344	4340	"Pelléautier"	44.52222	6.18333	150	"AWI"	150	1439	3729	2507	62	1	15	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	10	0	36	0	0	0	0	0	5	0	0	0	0	0	1	0	0	1	0	0	0	81	0	11	0	0	35	0	1	0	0	0	0	0	0	3	0	0	0	3	0	0
3344	4340	"Pelléautier"	44.52222	6.18333	160	"AWI"	160	1659	3979	2758	86	2	7	1	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	9	0	17	0	0	0	0	0	5	0	0	0	1	0	0	0	0	0	0	0	0	105	1	0	0	0	60	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
3344	4340	"Pelléautier"	44.52222	6.18333	170	"AWI"	170	1855	4222	3022	58	0	12	1	0	0	1	0	3	0	1	0	0	1	0	0	0	0	0	10	1	25	0	0	0	0	0	5	0	0	0	0	0	1	0	0	0	0	0	0	73	0	0	0	0	31	1	3	0	0	0	0	0	0	1	0	0	0	0	0	0
3344	4340	"Pelléautier"	44.52222	6.18333	180	"AWI"	180	2076	4454	3274	96	2	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	14	0	2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	104	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3344	4340	"Pelléautier"	44.52222	6.18333	190	"AWI"	190	2342	4628	3536	112	1	3	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	26	0	22	0	0	0	0	0	8	0	0	0	2	1	0	0	0	0	0	1	0	109	0	3	0	0	79	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
