"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Geraniaceae"	"Ilex"	"Juglans"	"Lamiaceae"	"Ligustrum"	"Liliaceae"	"Lythraceae"	"Myrica"	"Ostrya.Carpinus"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Scrophulariaceae"	"Solanaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
16097	24854	"Rezé"	47.1925	-1.56694	120	"AWI"	120	393	1198	800	4	0	35	3	6	0	4	22	0	1	0	0	0	0	0	0	10	1	1	0	0	0	2	0	0	1	0	0	0	1	0	1	0	0	16	0	93	0	0	0	8	2	0	4	0	0	0	3	0	0	0	1	1	0	1
16097	24854	"Rezé"	47.1925	-1.56694	130	"AWI"	130	472	1258	872	0	0	26	3	7	1	2	0	1	0	0	0	1	0	0	0	6	0	4	0	0	0	0	1	0	0	1	6	0	0	0	0	0	3	15	0	136	0	0	1	7	5	0	5	0	0	0	1	0	0	0	0	0	0	1
16097	24854	"Rezé"	47.1925	-1.56694	135	"AWI"	135	504	1277	911	7	0	36	4	5	0	2	0	3	0	0	0	0	0	0	0	7	0	4	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	25	0	76	0	0	1	2	14	0	0	0	0	0	2	0	0	0	1	0	0	0
16097	24854	"Rezé"	47.1925	-1.56694	140	"AWI"	140	533	1304	948	3	0	23	2	5	0	0	0	0	0	1	1	4	0	0	0	4	0	6	0	0	0	0	0	0	0	0	3	0	0	0	1	0	1	16	0	109	0	0	0	7	11	0	5	0	0	0	0	0	0	0	0	0	1	0
16097	24854	"Rezé"	47.1925	-1.56694	145	"AWI"	145	562	1341	985	15	0	28	2	7	0	0	0	0	0	0	0	0	0	0	0	8	0	11	5	0	0	0	1	0	0	3	0	0	0	0	0	0	1	16	0	46	0	0	2	3	8	0	0	0	0	0	2	0	0	0	1	0	0	0
16097	24854	"Rezé"	47.1925	-1.56694	150	"AWI"	150	593	1375	1020	3	0	27	2	6	0	0	0	0	0	1	0	2	0	0	0	9	0	12	0	0	0	1	0	0	0	3	5	0	0	0	0	0	7	20	0	121	12	0	0	9	10	0	9	1	0	0	2	0	0	1	1	0	0	0
16097	24854	"Rezé"	47.1925	-1.56694	160	"AWI"	160	689	1417	1091	5	0	26	2	9	1	1	0	5	0	0	0	0	0	0	0	10	0	12	3	0	0	1	1	0	0	1	0	0	0	0	0	0	5	17	0	122	0	0	0	14	8	0	8	0	0	1	3	0	0	0	0	0	1	1
16097	24854	"Rezé"	47.1925	-1.56694	165	"AWI"	165	720	1442	1130	9	0	43	0	1	0	1	0	0	0	0	0	0	0	0	0	31	0	6	12	0	0	4	0	0	1	3	1	0	0	0	1	0	2	6	0	75	0	0	0	9	6	0	2	0	0	0	2	0	0	0	0	0	0	3
16097	24854	"Rezé"	47.1925	-1.56694	170	"AWI"	170	742	1474	1167	1	0	48	4	3	0	0	32	2	0	2	0	0	0	0	0	12	0	3	0	0	0	3	0	0	0	9	1	1	1	0	0	1	5	10	0	126	0	0	1	28	3	0	7	1	1	0	2	0	0	1	2	2	6	2
16097	24854	"Rezé"	47.1925	-1.56694	175	"AWI"	175	787	1503	1204	10	0	68	0	5	0	0	0	7	0	0	0	2	0	0	0	19	0	18	11	0	0	2	1	0	2	3	6	0	0	0	3	0	4	16	0	53	0	0	0	24	6	0	2	2	0	0	0	0	0	7	2	0	7	3
