"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Juniperus"	"Lamiaceae"	"Myrica"	"Ostrya.Carpinus"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Thalictrum"	"Urticaceae"
13446	20165	"Bosscherheide"	51.57861	6.09472	0.5	"AWI"	0.5	11860.5	12889.5	12575.5	0	0.326797385620915	0	6.20915032679739	0	17.3202614379085	0	0.65359477124183	0	0	0.326797385620915	1.30718954248366	29.0849673202614	0	1.96078431372549	0	0	0	0	0	9.47712418300654	0	30.3921568627451	0	0	0	0	0	0	1.63398692810458	0.980392156862745	0.326797385620915	0
13446	20165	"Bosscherheide"	51.57861	6.09472	1.5	"AWI"	1.5	11966	12901	12604.5	0	0	0	4.63576158940397	0	15.8940397350993	0	0.993377483443709	0	0	0	0	53.3112582781457	0	0	0	0.33112582781457	0	0	0	5.29801324503311	0	18.2119205298013	0	0	0	0	0	0	0.993377483443709	0	0.33112582781457	0
13446	20165	"Bosscherheide"	51.57861	6.09472	2.5	"AWI"	2.5	12073	12912.5	12634	0	0.664451827242525	0	2.99003322259136	0	12.9568106312292	0	0.332225913621262	0	0	0.332225913621262	1.99335548172757	62.4584717607973	0	0.996677740863787	0	0	0	0	0	6.31229235880399	0	7.64119601328904	0	0	0	0	0	0	3.32225913621263	0	0	0
13446	20165	"Bosscherheide"	51.57861	6.09472	3.5	"AWI"	3.5	12181.5	12924	12663.5	0	0.324675324675325	0	2.27272727272727	0	11.6883116883117	0	0	0	0	0	1.2987012987013	48.7012987012987	0	0	0	0	0	0	0.324675324675325	12.6623376623377	0	18.5064935064935	0	0	1.62337662337662	0	0.649350649350649	0	0.974025974025974	0	0.974025974025974	0
13446	20165	"Bosscherheide"	51.57861	6.09472	4.5	"AWI"	4.5	12289	12936.5	12692.5	0	0	0	2.88461538461538	0	8.33333333333333	0.32051282051282	0	0	0	0	0.961538461538462	53.2051282051282	0	0	0	0	0	0	0.641025641025641	12.5	0	15.7051282051282	0	0	2.24358974358974	0	0.32051282051282	0.641025641025641	1.92307692307692	0	0.32051282051282	0
13446	20165	"Bosscherheide"	51.57861	6.09472	5.5	"AWI"	5.5	12396.5	12951	12722	0	0	0	1.59744408945687	0	7.98722044728434	0	0	0	0.319488817891374	0	0.638977635782748	53.9936102236422	0	0	0	0	0	0	0.319488817891374	13.0990415335463	0	16.9329073482428	0	0	3.51437699680511	0	0	0	1.2779552715655	0	0.319488817891374	0
13446	20165	"Bosscherheide"	51.57861	6.09472	6.5	"AWI"	6.5	12504	12968.5	12751	0	0	0.318471337579618	1.59235668789809	0	8.9171974522293	0.318471337579618	0.318471337579618	0	0	0	1.91082802547771	48.4076433121019	0	0	0.318471337579618	0	0	0	0	20.3821656050955	0	13.6942675159236	0	0	1.27388535031847	0	0.955414012738854	0	0.636942675159236	0	0.636942675159236	0.318471337579618
13446	20165	"Bosscherheide"	51.57861	6.09472	7.5	"AWI"	7.5	12603	12989.5	12781	0.33112582781457	0.33112582781457	0	0.33112582781457	0	1.32450331125828	0	0	0	0	0	0	77.1523178807947	0	0	0	0	0	0	0	4.96688741721854	0	13.5761589403974	0	0	0	0	0.33112582781457	0	0.993377483443709	0	0.662251655629139	0
13446	20165	"Bosscherheide"	51.57861	6.09472	8.5	"AWI"	8.5	12687	13014	12814.5	0	0	0	1.70940170940171	0	4.27350427350427	0	0	0	0	0	0	53.8461538461538	0	0	0	0	0	0	0	32.4786324786325	0	6.83760683760684	0	0	0	0	0	0	0.854700854700855	0	0	0
13446	20165	"Bosscherheide"	51.57861	6.09472	9.5	"AWI"	9.5	12744	13044.5	12851.5	0	0	0.505050505050505	0	0	1.51515151515152	0	0	0	0	0	0.505050505050505	40.9090909090909	0	0	0	0	0	0	0	51.5151515151515	0	4.54545454545455	0	0	0	0	0.505050505050505	0	0	0	0	0
