"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Crataegus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Hypericaceae"	"Ilex"	"Juniperus"	"Lamiaceae"	"Montiaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polemoniaceae"	"Polygonaceae"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Sorbus"	"Tilia"	"Ulmus"	"Urticaceae"
23842	41326	"Middle North Coombe"	50.93389	-3.43333	20	"AWI"	20	-138	23	-55	4.12371134020619	0.515463917525773	3.09278350515464	0	0	0	0.515463917525773	4.63917525773196	4.12371134020619	0.515463917525773	0	3.09278350515464	0	4.63917525773196	0	0	24.7422680412371	0	0	0.515463917525773	0	1.03092783505155	0	0	0	0	0	0	0	0	0	3.09278350515464	0	0	0.515463917525773	0	0	0	7.21649484536082	2.06185567010309	0	19.5876288659794	1.03092783505155	9.79381443298969	2.06185567010309	0	0.515463917525773	0	0	2.57731958762887	0
23842	41326	"Middle North Coombe"	50.93389	-3.43333	24	"AWI"	24	-99	92	-5	3.87409200968523	0	0.242130750605327	0	0	0	0	1.21065375302663	1.21065375302663	0	0	1.69491525423729	0	2.17917675544794	0	0	9.20096852300242	0	0	0.242130750605327	0	0	0	0	0	0	0	0.484261501210654	0	0	0	1.45278450363196	0	68.2808716707022	0	0	0	0	2.17917675544794	2.90556900726392	0	0	0.242130750605327	2.90556900726392	1.45278450363196	0	0	0	0	0.242130750605327	0
23842	41326	"Middle North Coombe"	50.93389	-3.43333	28	"AWI"	28	-79	199	42	2.5062656641604	0.25062656641604	0.75187969924812	0	0	0	0	0	3.50877192982456	0	0	1.2531328320802	0	1.2531328320802	0	0	11.0275689223058	0	0	0	0	0	0	0	0	0	0	0.25062656641604	0	0.25062656641604	0.25062656641604	1.50375939849624	0	68.4210526315789	0	0	0	0	1.75438596491228	3.00751879699248	0	0	0.25062656641604	1.00250626566416	1.50375939849624	0.50125313283208	0	0	0	0.75187969924812	0
23842	41326	"Middle North Coombe"	50.93389	-3.43333	32	"AWI"	32	-62	318	87	1.93236714975845	0.483091787439614	0.72463768115942	0.241545893719807	0	0	0	0.483091787439614	0	0	0	2.41545893719807	0	1.44927536231884	0.241545893719807	0	9.90338164251208	0	0	0	0	0.241545893719807	0	0	0	0	0	0	0	0	0	0.966183574879227	0	71.7391304347826	0	0	0	0	1.44927536231884	2.41545893719807	0	1.44927536231884	0	1.20772946859903	1.93236714975845	0.72463768115942	0	0	0	0	0
23842	41326	"Middle North Coombe"	50.93389	-3.43333	36	"AWI"	36	-27	386	137	1.48619957537155	0	1.06157112526539	0.424628450106157	0	12.3142250530786	0	0	0	0	0	1.06157112526539	0	1.48619957537155	0	0	16.7728237791932	0	0	0	0	0	0	0	0	0.849256900212314	0	0	0	0	0	0.849256900212314	0	55.2016985138004	0	0	0	0	1.69851380042463	2.9723991507431	0	0	0.212314225053079	0.849256900212314	1.06157112526539	1.06157112526539	0.424628450106157	0	0	0.212314225053079	0
23842	41326	"Middle North Coombe"	50.93389	-3.43333	40	"AWI"	40	7	413	195	1.62790697674419	0	2.55813953488372	0.465116279069767	0.232558139534884	0	0	1.3953488372093	1.16279069767442	0	0	2.32558139534884	0	1.86046511627907	0	0	13.0232558139535	0	0	0.232558139534884	0	0.232558139534884	0	0	0	0	0	0.232558139534884	0	0.465116279069767	0	0.465116279069767	0	63.0232558139535	0	0	0	0	0.465116279069767	4.88372093023256	0	0	0	3.02325581395349	1.62790697674419	0.465116279069767	0	0.232558139534884	0	0	0
23842	41326	"Middle North Coombe"	50.93389	-3.43333	44	"AWI"	44	31	456	252	0.862068965517241	0.431034482758621	1.50862068965517	0	0	7.75862068965517	0	0.646551724137931	1.07758620689655	0	0	2.80172413793103	0	1.50862068965517	0	0	10.9913793103448	0	0	0	0	0.21551724137931	0	0	0.21551724137931	0	0	1.29310344827586	0	0.431034482758621	0	0	0	52.3706896551724	0	0	0	0	3.44827586206897	4.52586206896552	0	0	0	3.87931034482759	1.29310344827586	4.0948275862069	0	0.431034482758621	0	0.21551724137931	0
23842	41326	"Middle North Coombe"	50.93389	-3.43333	48	"AWI"	48	49	519	302	0	0	1.5625	0	0	0	0.223214285714286	1.11607142857143	1.5625	0	0	2.23214285714286	0	0.669642857142857	0	0	17.4107142857143	0	0	0	0	0.669642857142857	0	0	0.223214285714286	0.446428571428571	0	0.223214285714286	0	0.223214285714286	0	0	0	55.1339285714286	0	0	0	0	4.24107142857143	6.02678571428571	0	0	0	3.34821428571429	0.669642857142857	3.57142857142857	0.223214285714286	0	0	0.223214285714286	0
23842	41326	"Middle North Coombe"	50.93389	-3.43333	52	"AWI"	52	148	538	354	0	0	2.14592274678112	0	0	0	0	0.429184549356223	1.71673819742489	0	0	1.50214592274678	0	0.858369098712446	0	0	16.7381974248927	1.28755364806867	0	0.214592274678112	0.214592274678112	0	0	0	0	0.214592274678112	0	0.214592274678112	0	0	0	0	0	50.8583690987124	0	0	0	0.214592274678112	8.79828326180258	6.65236051502146	0	0	0	3.43347639484979	0.429184549356223	3.6480686695279	0	0	0	0.429184549356223	0
23842	41326	"Middle North Coombe"	50.93389	-3.43333	56	"AWI"	56	223	566	413	0.214592274678112	0.214592274678112	0.643776824034335	0	0.214592274678112	0	0.643776824034335	0.643776824034335	1.50214592274678	0	0	0.858369098712446	0	1.07296137339056	0.214592274678112	0	19.0987124463519	0	0	0	0	0.214592274678112	0	0	0.214592274678112	0.214592274678112	0	0.429184549356223	0	0.643776824034335	0	0	0	53.4334763948498	0	0	0	0	4.50643776824034	4.29184549356223	0	2.36051502145923	0.429184549356223	3.21888412017167	1.07296137339056	2.57510729613734	0	0	0	1.07296137339056	0
