"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acacia"	"Acer"	"Alnus"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Balsaminaceae"	"Betula"	"Brassicaceae"	"Calceolariaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Geraniaceae"	"Ilex"	"Indeterminable"	"Iridaceae"	"Juglans"	"Juncaceae"	"Juniperus"	"Ligustrum"	"Liliaceae"	"Linaceae"	"Malvaceae"	"Myrica"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Portulacaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhododendron"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Taxus"	"Thymelaeaceae"	"Ulmus"	"Urticaceae"	"Viburnum"
11581	17342	"Cuckoo"	52.0025	-9.5425	245	"AWI"	245	1435	2166	1791	1	0	0	15	0	0	0	1	0	0	21	0	0	0	0	0	0	14	13	0	0	0	0	2	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	16	0	0	0	6	0	0	0	0	18	2	0
11581	17342	"Cuckoo"	52.0025	-9.5425	249	"AWI"	249	1448	2200	1807	1	0	0	14	0	0	0	1	0	0	41	0	0	0	0	0	0	14	0	0	0	0	0	2	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	2	0	7	0	0	0	0	0	0	12	0	0	0	1	0	0	0	0	13	0	0
11581	17342	"Cuckoo"	52.0025	-9.5425	253	"AWI"	253	1452	2228	1823	1	0	0	15	0	0	1	0	0	0	43	0	0	0	0	0	0	19	0	0	33	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	11	0	1	0	1	0	1	0	0	5	0	0
11581	17342	"Cuckoo"	52.0025	-9.5425	257	"AWI"	257	1477	2240	1840	0	0	2	14	0	0	0	0	0	0	53	0	0	0	0	0	0	17	0	0	0	0	0	6	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	16	0	0	0	2	0	0	0	0	5	0	0
11581	17342	"Cuckoo"	52.0025	-9.5425	261	"AWI"	261	1504	2251	1856	0	2	0	12	0	0	1	0	0	0	55	0	0	0	0	0	0	12	0	0	0	1	0	6	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	11	0	0	0	2	0	0	0	0	4	0	0
11581	17342	"Cuckoo"	52.0025	-9.5425	265	"AWI"	265	1528	2264	1871	0	0	0	11	0	0	1	1	0	0	68	0	0	0	0	0	1	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	14	0	0	0	4	0	0	0	0	4	0	0
11581	17342	"Cuckoo"	52.0025	-9.5425	269	"AWI"	269	1538	2279	1886	0	0	0	12	0	0	2	0	0	0	64	0	0	0	0	0	0	8	5	0	0	0	0	1	1	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	4	0	0	0	5	0	0	0	0	7	0	0
11581	17342	"Cuckoo"	52.0025	-9.5425	273	"AWI"	273	1547	2298	1900	0	0	0	4	0	0	3	0	0	0	60	0	0	0	0	0	0	28	0	0	0	0	0	1	4	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	2	0	0	0	0	2	0	0
11581	17342	"Cuckoo"	52.0025	-9.5425	277	"AWI"	277	1562	2321	1915	0	0	0	5	0	0	0	0	0	0	52	0	0	0	0	0	0	27	0	0	0	0	0	2	0	0	1	3	0	0	0	1	0	0	0	0	10	0	0	0	0	3	10	0	30	0	0	1	23	0	0	5	0	0	1	1	0	22	2	0
11581	17342	"Cuckoo"	52.0025	-9.5425	281	"AWI"	281	1570	2345	1932	0	0	0	12	0	0	0	1	0	0	64	0	0	0	0	0	0	25	0	2	52	0	0	2	0	0	0	6	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	6	0	1	0	0	0	0	0	0	15	0	0
