"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Geraniaceae"	"Iridaceae"	"Juglans"	"Juniperus"	"Larix"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
15810	24321	"Bitsch-Naters"	46.34111	7.99167	30	"AWI"	30	6	457	177	1	0	0	0	13	0	0	37	25	0	0	0	0	0	0	0	13	207	3	0	0	0	0	0	1	0	0	2	1	0	0	0	17	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0
15810	24321	"Bitsch-Naters"	46.34111	7.99167	60	"AWI"	60	135	719	396	1	0	0	1	15	0	2	32	14	0	2	2	0	3	0	0	3	78	1	0	0	2	2	0	0	0	0	0	1	2	0	0	17	0	0	0	0	0	3	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
15810	24321	"Bitsch-Naters"	46.34111	7.99167	70	"AWI"	70	203	783	469	0	0	0	1	7	0	1	14	10	0	2	1	0	2	0	0	9	37	2	0	0	0	1	0	0	0	0	3	0	2	0	0	6	0	0	0	0	0	1	0	0	0	3	1	0	0	0	0	0	0	0	1	0	0
15810	24321	"Bitsch-Naters"	46.34111	7.99167	80	"AWI"	80	247	865	541	1	0	0	0	12	0	0	29	4	0	1	0	0	0	0	0	2	116	0	0	0	0	0	0	0	0	0	0	5	0	0	0	6	0	0	181	0	0	0	0	0	0	4	1	0	0	0	0	0	1	0	0	0	0
15810	24321	"Bitsch-Naters"	46.34111	7.99167	90	"AWI"	90	323	931	609	0	0	0	1	8	0	4	18	33	0	2	1	0	2	0	0	2	58	0	0	0	0	0	0	0	0	0	4	0	2	0	0	4	0	0	0	2	0	1	3	0	0	5	5	1	0	0	0	0	0	0	0	0	0
15810	24321	"Bitsch-Naters"	46.34111	7.99167	100	"AWI"	100	384	991	678	2	0	0	0	9	0	8	0	22	1	1	1	0	0	0	0	7	513	9	0	0	1	0	0	1	0	0	5	0	4	0	0	11	0	0	0	3	0	2	0	0	0	18	10	1	0	0	0	0	0	1	2	0	0
15810	24321	"Bitsch-Naters"	46.34111	7.99167	110	"AWI"	110	472	1063	746	1	0	0	3	7	0	9	13	27	0	0	0	0	0	0	0	7	136	1	0	30	0	2	0	0	0	0	5	4	3	1	0	8	0	0	0	1	0	11	0	0	0	6	10	0	0	0	0	0	0	0	0	0	0
15810	24321	"Bitsch-Naters"	46.34111	7.99167	120	"AWI"	120	565	1117	814	3	0	0	2	0	0	17	0	48	0	0	1	0	3	0	0	13	240	2	0	0	0	1	0	0	0	0	0	4	1	0	0	32	0	0	0	0	0	6	0	0	0	2	5	0	0	0	0	0	0	0	1	0	0
15810	24321	"Bitsch-Naters"	46.34111	7.99167	130	"AWI"	130	656	1182	884	3	0	0	0	2	0	9	3	21	0	0	0	0	0	0	0	30	68	0	0	35	0	1	0	0	0	0	0	3	3	0	0	32	0	0	0	0	0	10	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
15810	24321	"Bitsch-Naters"	46.34111	7.99167	140	"AWI"	140	732	1261	962	2	0	87	0	4	0	4	0	41	0	1	2	0	0	0	0	19	19	1	0	0	2	2	2	0	0	0	1	14	1	0	0	10	0	0	0	0	0	14	0	0	0	0	1	0	0	0	2	0	0	0	2	0	0
15810	24321	"Bitsch-Naters"	46.34111	7.99167	150	"AWI"	150	791	1357	1040	1	0	0	0	0	0	4	0	14	0	0	0	0	0	0	0	3	21	1	0	0	0	4	1	0	0	0	1	2	1	0	0	5	0	0	0	0	0	5	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0
15810	24321	"Bitsch-Naters"	46.34111	7.99167	160	"AWI"	160	852	1450	1118	1	0	0	0	0	0	8	0	31	0	0	0	0	0	0	0	6	24	0	0	0	0	0	0	1	1	0	1	5	1	0	0	9	0	0	0	0	2	9	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0
15810	24321	"Bitsch-Naters"	46.34111	7.99167	170	"AWI"	170	907	1576	1195	2	0	0	0	4	0	14	0	39	0	0	0	0	0	0	0	5	29	1	0	0	1	2	4	0	0	0	6	8	2	0	0	28	0	0	0	0	0	7	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0
15810	24321	"Bitsch-Naters"	46.34111	7.99167	180	"AWI"	180	972	1640	1273	1	1	0	0	1	0	6	0	19	0	0	1	0	0	0	0	3	33	0	0	0	0	2	1	1	0	0	0	3	1	0	0	16	0	0	0	0	0	4	0	0	0	1	0	2	1	0	3	0	0	0	0	0	0
15810	24321	"Bitsch-Naters"	46.34111	7.99167	190	"AWI"	190	1024	1747	1351	1	0	0	0	0	0	5	0	23	1	0	0	0	0	0	0	7	55	0	0	0	1	2	2	0	0	0	3	12	3	0	0	20	0	0	0	0	0	12	0	0	0	0	1	4	0	0	2	0	0	0	1	0	0
15810	24321	"Bitsch-Naters"	46.34111	7.99167	200	"AWI"	200	1105	1814	1432	1	0	0	1	2	0	3	0	40	0	0	0	0	0	0	0	3	31	0	0	0	1	1	1	0	0	0	8	5	0	0	0	12	0	0	0	0	0	10	0	1	0	2	3	1	0	0	0	0	0	0	0	0	0
15810	24321	"Bitsch-Naters"	46.34111	7.99167	210	"AWI"	210	1162	1933	1510	2	0	0	0	2	0	2	0	32	0	0	1	0	0	0	0	6	21	0	0	0	0	1	0	0	0	0	1	7	1	0	0	21	0	0	0	2	0	9	0	0	0	1	1	1	0	0	3	0	0	0	0	0	0
15810	24321	"Bitsch-Naters"	46.34111	7.99167	220	"AWI"	220	1266	1992	1589	0	0	0	0	0	0	2	0	15	1	0	0	0	0	0	0	7	14	0	0	0	0	0	0	0	0	0	3	4	1	0	0	17	0	0	0	0	0	7	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
15810	24321	"Bitsch-Naters"	46.34111	7.99167	230	"AWI"	230	1338	2082	1665	1	0	0	0	4	0	7	0	21	0	0	0	0	0	0	0	9	21	1	0	0	0	1	0	2	0	0	3	4	1	0	0	93	0	0	0	0	0	8	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0
15810	24321	"Bitsch-Naters"	46.34111	7.99167	240	"AWI"	240	1427	2169	1752	3	0	0	0	3	0	3	0	14	0	0	0	0	0	0	0	9	10	0	0	0	0	1	0	0	0	0	4	4	3	0	0	76	0	0	0	0	0	8	0	1	0	2	0	1	0	0	0	0	0	0	3	0	4
15810	24321	"Bitsch-Naters"	46.34111	7.99167	250	"AWI"	250	1481	2301	1837	2	0	0	0	4	0	4	0	33	0	1	0	0	0	0	0	8	37	1	0	0	0	0	0	0	0	0	3	7	0	0	0	48	0	0	0	0	16	21	0	0	0	1	0	0	0	0	1	0	0	0	2	0	2
15810	24321	"Bitsch-Naters"	46.34111	7.99167	260	"AWI"	260	1552	2381	1924	2	0	0	0	3	0	4	0	53	0	0	0	0	1	0	0	3	4	3	0	0	0	2	0	0	0	0	0	4	0	0	0	62	0	0	0	0	1	10	0	0	0	2	1	0	0	0	1	0	0	0	2	0	0
15810	24321	"Bitsch-Naters"	46.34111	7.99167	270	"AWI"	270	1609	2505	2008	2	0	0	0	0	0	7	0	37	0	0	0	0	0	0	0	7	17	0	0	0	0	1	0	0	0	0	1	9	1	0	0	71	0	0	0	0	1	11	0	0	0	0	2	0	0	0	0	0	0	3	1	0	2
15810	24321	"Bitsch-Naters"	46.34111	7.99167	280	"AWI"	280	1684	2591	2096	1	0	0	0	0	0	2	0	44	0	0	0	0	0	0	0	9	12	1	0	0	0	1	0	2	0	0	0	6	2	0	0	66	0	0	0	0	1	14	0	0	0	0	1	4	0	0	1	0	0	0	2	0	0
15810	24321	"Bitsch-Naters"	46.34111	7.99167	290	"AWI"	290	1747	2714	2185	0	0	0	0	2	0	5	0	30	0	0	0	0	1	0	0	7	13	0	0	0	0	1	0	0	0	0	0	8	0	0	0	43	0	0	0	1	1	11	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0
