"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Arctostaphylos"	"Artemisia"	"Asparagaceae"	"Asteraceae"	"Balsaminaceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Celastraceae"	"Cistaceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euonymus"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Genista"	"Geraniaceae"	"Hypericaceae"	"Ilex"	"Juniperus"	"Lamiaceae"	"Lythraceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Scrophulariaceae"	"Solanaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Tofieldiaceae"	"Ulmus"	"Urticaceae"	"Verbenaceae"	"Viburnum"
14554	22817	"Tegeler See"	52.58583	13.25694	18	"AWI"	18	63	586	278	0	2	0	2	0	0	0	7	0	0	0	116	0	8	3	2	0	0	0	0	0	0	0	27	0	24	0	0	0	0	0	0	10	0	2	0	0	0	0	2	0	1	0	0	15	0	1	570	0	0	0	7	2	109	0	0	0	3	0	11	0	0	0	0	2	0	0	0	0	7	0	0	0
14554	22817	"Tegeler See"	52.58583	13.25694	22	"AWI"	22	90	637	354	1	0	0	1	0	0	0	15	0	0	0	139	0	3	0	14	0	0	0	0	0	0	0	33	0	34	0	0	0	0	0	0	15	0	5	3	0	0	0	2	0	0	0	0	16	0	10	600	0	0	0	3	0	92	0	0	0	0	0	14	1	0	3	0	0	0	2	0	0	8	4	0	0
14554	22817	"Tegeler See"	52.58583	13.25694	27	"AWI"	27	151	727	438	1	0	0	1	0	0	0	10	0	0	0	115	0	7	0	9	0	0	0	1	0	0	0	18	0	32	0	0	0	0	0	0	17	1	4	1	1	0	0	3	0	0	0	0	11	0	13	642	0	0	0	5	0	89	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	4	1	0	0
14554	22817	"Tegeler See"	52.58583	13.25694	32	"AWI"	32	246	769	525	2	0	0	1	0	0	0	21	0	0	0	170	0	7	0	8	0	0	0	0	0	0	0	22	0	23	0	0	0	0	0	0	21	2	5	0	0	0	0	0	0	0	0	0	18	0	5	465	0	0	0	5	0	118	0	0	0	0	0	28	1	0	1	1	1	0	1	1	0	11	3	0	0
14554	22817	"Tegeler See"	52.58583	13.25694	37	"AWI"	37	297	832	617	1	0	0	4	0	1	0	24	0	0	0	167	0	3	0	14	0	0	0	0	0	0	0	29	0	42	0	0	0	0	0	0	15	1	4	1	0	0	0	1	0	0	0	0	13	0	7	553	0	0	0	1	0	91	0	0	0	0	0	17	0	0	0	0	0	2	0	1	0	6	1	0	0
14554	22817	"Tegeler See"	52.58583	13.25694	42	"AWI"	42	457	875	691	1	0	0	4	0	0	0	23	0	0	0	180	0	5	0	25	0	0	1	0	0	0	0	20	0	44	0	0	0	0	0	0	19	0	7	0	1	0	0	0	0	1	0	0	21	0	4	617	0	0	0	2	0	76	0	0	0	5	0	20	0	0	0	0	0	0	3	1	0	7	6	0	0
14554	22817	"Tegeler See"	52.58583	13.25694	47	"AWI"	47	634	908	768	3	0	0	4	0	0	0	7	0	0	0	175	0	4	0	18	0	0	1	0	0	0	0	20	0	37	0	0	0	0	0	0	19	0	1	0	0	0	0	3	0	0	0	0	15	0	9	562	0	0	0	0	0	85	0	0	0	2	0	15	0	0	0	0	0	0	0	2	0	8	1	0	0
14554	22817	"Tegeler See"	52.58583	13.25694	52	"AWI"	52	716	982	847	0	1	0	5	0	0	0	15	0	0	0	183	0	4	0	15	0	0	0	0	0	0	0	27	0	27	0	0	0	0	0	0	28	0	8	0	1	0	0	1	0	0	0	0	23	0	3	521	0	0	0	0	0	93	0	0	0	0	0	14	0	0	0	0	0	0	3	0	0	4	4	0	0
14554	22817	"Tegeler See"	52.58583	13.25694	58	"AWI"	58	757	1153	922	6	0	0	2	0	0	0	7	0	0	0	181	0	2	0	19	0	0	1	0	0	0	0	18	0	33	0	0	0	0	0	0	39	0	7	0	0	0	0	0	0	0	0	0	22	0	6	502	0	0	0	2	0	84	0	0	0	7	0	23	1	0	1	0	0	3	0	0	0	10	4	0	0
14554	22817	"Tegeler See"	52.58583	13.25694	62	"AWI"	62	770	1296	965	1	1	0	2	0	0	0	13	1	0	0	221	0	3	0	10	0	0	0	0	0	0	0	24	0	17	0	0	0	0	0	0	47	0	2	0	0	0	0	0	0	1	0	0	36	0	1	453	0	0	0	4	0	136	0	0	0	2	0	16	2	0	1	0	0	2	0	3	0	13	2	0	0
