"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fagus"	"Fraxinus"	"Geraniaceae"	"Ilex"	"Lamiaceae"	"Onagraceae"	"Papaveraceae"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Salix"	"Tilia"	"Ulmus"	"Violaceae"
16235	25131	"Anse Saint-Martin"	49.70389	-1.87861	5	"AWI"	5	973	1664	1339	101	1	56	0	0	0	10	3	1	21	8	0	1	0	0	1	0	0	30	0	0	0	0	17	0	0	0	4	0	1	0
16235	25131	"Anse Saint-Martin"	49.70389	-1.87861	10	"AWI"	10	1072	1719	1412	5	0	4	0	2	0	1	4	6	7	20	0	0	0	0	0	0	0	0	6	4	133	0	11	0	1	0	1	0	2	0
16235	25131	"Anse Saint-Martin"	49.70389	-1.87861	15	"AWI"	15	1178	1778	1482	72	0	8	2	0	0	5	1	0	27	65	0	0	0	0	0	0	0	30	0	0	0	0	22	0	0	0	3	0	0	0
16235	25131	"Anse Saint-Martin"	49.70389	-1.87861	25	"AWI"	25	1382	1893	1621	40	1	4	0	0	8	7	1	0	38	105	0	2	0	0	1	0	0	30	0	5	21	0	31	1	0	1	5	0	0	0
16235	25131	"Anse Saint-Martin"	49.70389	-1.87861	30	"AWI"	30	1493	1949	1694	2	1	3	0	0	17	3	5	10	1	11	0	0	0	0	0	0	0	0	0	7	134	0	16	0	5	0	1	0	0	0
16235	25131	"Anse Saint-Martin"	49.70389	-1.87861	35	"AWI"	35	1562	2056	1772	16	1	14	3	0	0	12	0	2	37	19	9	1	2	0	1	0	1	1	1	7	0	0	35	1	0	1	5	0	0	1
16235	25131	"Anse Saint-Martin"	49.70389	-1.87861	45	"AWI"	45	1681	2254	1930	5	2	5	0	0	0	4	0	0	6	26	0	0	0	0	0	0	0	0	0	4	86	0	14	0	1	7	3	0	0	0
16235	25131	"Anse Saint-Martin"	49.70389	-1.87861	55	"AWI"	55	1807	2440	2091	9	1	25	0	0	0	2	1	2	16	165	0	0	0	0	0	0	0	0	1	1	0	1	6	1	0	1	0	0	2	0
16235	25131	"Anse Saint-Martin"	49.70389	-1.87861	60	"AWI"	60	1870	2526	2170	90	1	24	4	1	0	12	0	4	46	17	0	0	0	0	1	0	0	0	0	1	39	0	34	1	0	0	3	2	1	0
16235	25131	"Anse Saint-Martin"	49.70389	-1.87861	70	"AWI"	70	2005	2703	2329	121	2	49	1	3	0	4	0	3	27	23	0	0	0	0	1	0	0	0	1	6	0	1	15	0	1	0	2	0	0	0
16235	25131	"Anse Saint-Martin"	49.70389	-1.87861	75	"AWI"	75	2081	2785	2411	210	2	18	7	1	13	5	4	3	16	28	0	0	0	0	3	0	0	0	0	4	21	0	10	0	0	0	9	0	1	0
16235	25131	"Anse Saint-Martin"	49.70389	-1.87861	80	"AWI"	80	2152	2864	2490	125	1	11	5	0	0	11	2	0	13	34	0	0	0	0	5	0	0	0	2	1	20	0	12	0	0	0	3	1	1	0
16235	25131	"Anse Saint-Martin"	49.70389	-1.87861	85	"AWI"	85	2220	2943	2569	110	2	9	2	1	0	11	4	1	9	29	0	0	0	0	1	0	0	0	1	4	0	0	14	0	0	0	2	0	1	0
16235	25131	"Anse Saint-Martin"	49.70389	-1.87861	90	"AWI"	90	2292	3028	2649	73	1	13	7	0	0	9	2	2	42	55	0	0	0	1	0	0	0	0	0	0	0	0	31	0	0	0	4	0	0	0
16235	25131	"Anse Saint-Martin"	49.70389	-1.87861	100	"AWI"	100	2442	3182	2812	95	1	9	1	0	0	10	1	0	22	47	0	0	0	0	0	0	0	0	3	0	0	0	23	0	0	0	9	1	0	0
16235	25131	"Anse Saint-Martin"	49.70389	-1.87861	105	"AWI"	105	2521	3255	2888	79	2	0	2	0	0	14	0	0	29	9	0	0	0	0	0	0	0	0	0	1	21	0	24	1	1	0	5	1	0	0
16235	25131	"Anse Saint-Martin"	49.70389	-1.87861	115	"AWI"	115	2679	3406	3049	96	2	5	1	1	0	11	1	3	18	22	0	0	0	0	2	0	0	0	4	1	0	0	29	0	0	0	6	1	0	0
16235	25131	"Anse Saint-Martin"	49.70389	-1.87861	125	"AWI"	125	2841	3557	3206	62	3	7	6	1	0	10	0	1	23	7	0	0	0	0	3	1	0	0	1	1	0	0	40	0	0	0	2	0	1	0
16235	25131	"Anse Saint-Martin"	49.70389	-1.87861	135	"AWI"	135	3018	3696	3365	90	0	15	2	0	0	14	0	2	36	28	0	0	0	0	1	0	0	0	2	0	0	0	31	0	0	0	0	0	0	0
16235	25131	"Anse Saint-Martin"	49.70389	-1.87861	145	"AWI"	145	3199	3837	3525	118	0	4	3	0	0	8	0	0	35	8	0	0	0	0	2	0	1	0	2	1	0	0	27	0	0	0	0	1	0	0
16235	25131	"Anse Saint-Martin"	49.70389	-1.87861	150	"AWI"	150	3285	3903	3606	46	3	2	0	1	35	2	0	2	21	5	0	1	0	0	0	0	0	0	1	8	115	0	10	0	3	0	0	0	0	0
16235	25131	"Anse Saint-Martin"	49.70389	-1.87861	155	"AWI"	155	3390	3965	3684	114	3	6	3	2	0	9	0	0	39	11	0	0	0	0	2	0	0	0	0	1	0	0	25	0	0	0	8	0	1	0
16235	25131	"Anse Saint-Martin"	49.70389	-1.87861	165	"AWI"	165	3544	4110	3830	106	4	10	2	2	0	7	0	0	48	10	0	0	0	0	1	0	0	0	1	0	0	0	19	0	0	0	2	0	0	0
16235	25131	"Anse Saint-Martin"	49.70389	-1.87861	170	"AWI"	170	3599	4191	3897	97	0	2	3	0	9	3	2	0	28	22	0	0	0	0	4	0	0	0	1	3	29	0	18	0	2	0	0	1	0	0
16235	25131	"Anse Saint-Martin"	49.70389	-1.87861	175	"AWI"	175	3664	4272	3962	78	5	2	1	1	0	12	0	2	63	4	0	0	0	0	0	0	0	0	1	2	0	0	21	0	0	0	1	2	0	0
16235	25131	"Anse Saint-Martin"	49.70389	-1.87861	180	"AWI"	180	3721	4346	4032	68	2	5	4	0	0	16	1	0	44	3	0	1	0	0	0	0	0	0	2	0	17	0	23	0	0	0	5	0	1	0
16235	25131	"Anse Saint-Martin"	49.70389	-1.87861	190	"AWI"	190	3843	4500	4167	90	1	0	1	0	0	14	1	1	55	6	0	0	2	1	4	0	4	0	1	0	0	0	27	0	0	0	0	1	0	0
16235	25131	"Anse Saint-Martin"	49.70389	-1.87861	200	"AWI"	200	3973	4645	4307	98	1	4	2	0	0	8	0	0	34	5	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	2	0
16235	25131	"Anse Saint-Martin"	49.70389	-1.87861	210	"AWI"	210	4106	4786	4440	119	1	9	4	1	0	11	0	0	36	6	0	0	0	0	1	1	1	0	1	2	16	0	25	1	1	0	1	0	1	0
16235	25131	"Anse Saint-Martin"	49.70389	-1.87861	215	"AWI"	215	4178	4856	4508	79	1	5	3	0	0	13	0	1	38	6	0	0	0	0	1	0	0	0	1	4	0	0	16	0	0	0	0	0	0	0
16235	25131	"Anse Saint-Martin"	49.70389	-1.87861	225	"AWI"	225	4306	4996	4644	111	0	9	4	0	0	22	0	0	55	0	0	0	0	0	2	0	0	0	0	0	0	0	28	0	0	0	0	1	0	0
16235	25131	"Anse Saint-Martin"	49.70389	-1.87861	235	"AWI"	235	4445	5125	4781	121	0	0	1	0	0	26	0	0	38	4	0	0	0	0	3	0	0	0	0	0	0	0	23	0	0	0	3	0	0	0
16235	25131	"Anse Saint-Martin"	49.70389	-1.87861	240	"AWI"	240	4518	5190	4847	105	1	3	1	0	0	0	0	0	50	3	0	0	0	0	4	0	0	0	1	1	0	0	13	0	0	0	0	0	1	0
16235	25131	"Anse Saint-Martin"	49.70389	-1.87861	250	"AWI"	250	4663	5320	4984	104	1	1	1	0	0	16	0	2	35	0	0	0	0	0	3	0	0	0	0	1	0	0	19	0	1	0	0	2	1	0
