"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Indeterminable"	"Juniperus"	"Lamiaceae"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Thalictrum"	"Ulmus"
3024	3940	"Black Loch"	56.32083	-3.19472	544	"AWI"	544	6854	7284	7063	0	0	0	0	135	0	0	0	17	23	0	0	0	0	13	0	62	0	1	0	0	0	0	80	0	0	1
3024	3940	"Black Loch"	56.32083	-3.19472	552	"AWI"	552	6932	7355	7135	0	2	0	0	189	1	3	0	14	24	0	0	77	0	14	0	56	0	0	1	0	0	0	62	0	3	0
3024	3940	"Black Loch"	56.32083	-3.19472	560	"AWI"	560	7010	7416	7213	4	0	22	17	39	43	2	32	5	46	0	13	7	2	24	1	158	0	0	0	11	1	16	46	0	2	0
3024	3940	"Black Loch"	56.32083	-3.19472	568	"AWI"	568	7098	7581	7320	3	1	17	27	35	9	0	39	5	62	3	9	6	0	17	0	174	3	0	3	13	9	35	35	2	6	0
3024	3940	"Black Loch"	56.32083	-3.19472	571	"AWI"	571	7135	7655	7363	0	0	8	15	21	18	0	31	6	47	0	20	1	0	17	0	235	2	0	1	8	2	0	42	0	0	0
