"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Convolvulaceae"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Indeterminable"	"Juglans"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Malvaceae"	"Oleaceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygalaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Solanaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Violaceae"
24268	42716	"Großer Krebssee"	52.845046	14.09915	394	"AWI"	394	3129	3439	3344	2	0	161	0	0	0	5	0	167	0	0	0	0	0	0	0	12	3	0	0	0	0	11	0	3	0	0	0	0	0	0	0	1	0	0	24	0	0	53	0	0	0	0	0	0	108	0	0	0	1	6	0	0	0	0	0	0	0	0	0	5	0	0
24268	42716	"Großer Krebssee"	52.845046	14.09915	518	"AWI"	518	4103	4539	4307	0	0	108	0	0	0	2	0	130	0	0	0	0	0	0	0	62	6	0	0	0	0	19	0	4	0	0	1	0	0	0	0	0	0	0	9	0	0	158	0	0	0	0	0	0	88	0	0	1	0	1	0	0	0	0	0	0	0	0	0	13	0	0
24268	42716	"Großer Krebssee"	52.845046	14.09915	390	"AWI"	390	3072	3415	3289	2	0	127	0	0	0	2	0	187	0	0	0	0	0	0	0	25	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	1	0	1	28	0	0	80	0	0	0	0	0	0	71	0	0	0	1	1	0	0	0	0	0	0	0	0	0	7	0	0
24268	42716	"Großer Krebssee"	52.845046	14.09915	216	"AWI"	216	1469	1757	1594	2	0	147	0	0	0	0	0	56	0	0	0	0	0	0	0	18	9	0	0	0	0	37	0	1	0	0	0	0	0	0	0	0	0	0	51	0	1	247	0	0	0	0	0	0	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0
24268	42716	"Großer Krebssee"	52.845046	14.09915	526	"AWI"	526	4160	4633	4378	1	0	140	0	0	0	0	0	92	0	0	0	0	0	0	0	65	7	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	18	0	0	199	0	0	0	0	0	0	70	0	0	0	1	1	0	0	0	0	0	0	0	0	0	11	0	0
24268	42716	"Großer Krebssee"	52.845046	14.09915	240	"AWI"	240	1619	1963	1768	0	0	191	0	0	0	1	0	58	1	0	0	0	0	0	0	21	4	0	0	0	0	58	0	3	0	0	1	0	0	0	0	1	0	0	46	0	5	140	0	0	0	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0
24268	42716	"Großer Krebssee"	52.845046	14.09915	256	"AWI"	256	1733	2096	1881	0	0	190	1	0	0	7	0	96	0	0	2	0	0	0	0	13	2	0	0	0	0	44	0	1	0	0	0	0	0	0	0	0	0	0	47	0	0	60	0	0	0	0	0	0	84	0	0	0	2	2	0	0	0	0	0	0	0	0	0	4	0	0
24268	42716	"Großer Krebssee"	52.845046	14.09915	542	"AWI"	542	4275	4814	4518	0	0	144	0	0	0	2	0	125	0	0	0	0	0	0	0	55	10	0	0	0	0	4	0	6	0	0	1	0	0	0	0	0	0	0	13	0	1	154	0	0	0	0	0	0	63	0	0	0	3	2	0	0	0	0	0	0	0	0	0	12	0	0
24268	42716	"Großer Krebssee"	52.845046	14.09915	514	"AWI"	514	4075	4497	4271	0	0	161	0	0	0	8	0	146	1	0	0	0	0	0	0	42	4	0	0	0	0	12	0	7	0	0	0	0	0	0	0	0	0	0	14	0	0	210	0	0	0	0	0	0	102	0	0	0	1	3	0	0	0	0	0	0	0	0	0	9	0	0
24268	42716	"Großer Krebssee"	52.845046	14.09915	244	"AWI"	244	1648	1998	1797	1	1	179	1	0	0	4	0	133	0	0	0	0	0	0	0	11	1	0	0	0	0	41	0	1	0	0	3	0	0	0	0	1	0	0	40	0	0	47	0	0	0	0	0	0	83	0	0	0	5	5	0	0	0	0	0	0	0	0	0	4	0	0
