"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Hypericaceae"	"Ilex"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Linaceae"	"Lythraceae"	"Olea"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
23669	40955	"Burgaschisee"	47.16969	7.66823	438.6	"AWI"	438.6	3845.2	3999.4	3928.4	45	0	0	0	0	0	0	0	0	17	1	0	0	0	0	0	0	0	75	0	1	0	0	0	0	0	158	0	40	0	0	0	2	0	0	0	0	0	0	0	0	0	6	3	0	0	0	0	0	41	0	0	0	0	0	1	0	0	0	3	0	2	3	0	0	0
23669	40955	"Burgaschisee"	47.16969	7.66823	439.2	"AWI"	439.2	3858.6	4010.4	3943.4	47	1	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	72	0	1	0	0	0	0	0	174	0	30	0	0	0	1	0	0	0	0	0	0	0	0	0	4	5	0	0	0	0	0	42	0	0	0	0	0	1	0	0	0	2	0	3	4	0	0	0
23669	40955	"Burgaschisee"	47.16969	7.66823	439.65	"AWI"	439.65	3868.95	4018.05	3955.55	43	1	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	75	0	2	0	0	0	1	0	161	0	31	0	0	0	1	0	0	0	0	0	0	0	0	0	5	4	0	0	0	0	0	49	0	0	0	0	0	1	0	0	1	1	0	5	7	0	0	0
23669	40955	"Burgaschisee"	47.16969	7.66823	439.95	"AWI"	439.95	3875.85	4023.15	3963.65	40	0	0	1	0	0	0	0	0	16	0	0	0	0	0	0	0	0	57	0	4	0	0	0	0	0	187	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	7	9	0	0	0	0	0	44	0	0	0	0	0	3	0	0	0	2	0	0	4	0	0	0
23669	40955	"Burgaschisee"	47.16969	7.66823	440.2	"AWI"	440.2	3880.8	4027.4	3969.6	30	4	0	0	0	0	0	1	0	20	0	0	0	0	0	0	0	0	56	0	3	0	1	0	1	0	219	0	18	0	0	0	2	0	0	0	0	0	0	0	0	0	6	2	0	0	0	0	0	50	0	0	0	0	0	1	0	0	0	0	0	3	4	0	1	0
23669	40955	"Burgaschisee"	47.16969	7.66823	440.4	"AWI"	440.4	3884.6	4030.8	3974.2	39	1	97	0	0	0	0	1	0	16	0	0	0	0	0	0	0	0	57	0	1	0	0	0	0	0	214	0	23	0	0	0	1	0	0	0	0	0	0	0	0	0	7	4	0	0	0	1	0	42	0	0	0	0	0	1	0	0	0	0	0	1	2	0	0	0
23669	40955	"Burgaschisee"	47.16969	7.66823	440.65	"AWI"	440.65	3889.35	4035.05	3979.95	30	0	0	0	0	0	0	2	0	27	0	0	0	0	0	0	0	0	67	0	1	0	0	0	0	0	188	0	33	0	0	0	1	0	0	0	0	0	0	0	0	0	6	2	0	0	0	0	0	37	0	0	0	0	0	0	0	0	1	0	0	3	5	0	0	0
23669	40955	"Burgaschisee"	47.16969	7.66823	441	"AWI"	441	3896	4041	3988	40	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	64	0	5	0	0	0	0	0	192	0	24	0	0	0	5	0	0	0	0	0	0	0	0	0	2	4	0	0	0	1	0	45	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
23669	40955	"Burgaschisee"	47.16969	7.66823	441.35	"AWI"	441.35	3902.65	4047.3	3995.7	28	1	0	1	0	0	0	1	0	24	0	0	0	0	0	0	0	0	55	0	4	0	0	0	0	0	167	0	43	0	0	0	4	0	0	0	0	0	0	0	0	0	4	5	0	0	0	0	0	48	0	0	0	0	0	1	0	0	0	2	0	0	4	1	0	0
23669	40955	"Burgaschisee"	47.16969	7.66823	441.65	"AWI"	441.65	3908.35	4052.7	4002.3	38	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	46	0	2	0	0	0	0	0	155	0	39	0	0	0	3	0	0	0	0	0	0	0	0	0	12	6	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0
23669	40955	"Burgaschisee"	47.16969	7.66823	441.95	"AWI"	441.95	3914.05	4058.1	4008.9	36	0	114	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	71	0	2	0	0	0	0	0	176	0	41	0	0	0	1	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0	0	41	0	0	0	0	0	2	0	0	0	2	0	2	3	0	0	0
23669	40955	"Burgaschisee"	47.16969	7.66823	442.3	"AWI"	442.3	3920.7	4063.2	4017.2	42	1	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	62	0	3	0	0	0	0	0	106	0	25	0	0	0	2	0	0	0	0	0	0	0	0	0	11	2	0	0	0	0	0	54	0	0	0	0	0	0	0	1	0	4	0	3	3	0	0	0
23669	40955	"Burgaschisee"	47.16969	7.66823	442.65	"AWI"	442.65	3927.35	4068.1	4025.6	40	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	60	0	2	0	0	0	0	0	128	0	27	0	0	0	2	0	0	0	0	0	0	0	0	0	4	5	0	0	0	1	0	39	0	0	0	0	0	1	0	0	0	1	0	3	5	0	0	0
23669	40955	"Burgaschisee"	47.16969	7.66823	442.95	"AWI"	442.95	3933.05	4072.3	4032.8	26	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	70	0	2	0	0	0	0	0	191	0	17	0	0	0	3	0	0	0	0	0	0	0	0	0	3	5	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	3	4	0	0	0
