"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fagus"	"Geraniaceae"	"Juglans"	"Ostrya.Carpinus"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Rosaceae"	"Salix"	"Thalictrum"	"Tilia"	"Ulmus"
16245	25157	"Baie de Seine estuary"	49.41667	-0.03333	37	"AWI"	37	285	751	493	5	11	0	2	8	5	3	12	18	0	8	0	1	0	12	0	39	0	27	1	3	0	0	0
16245	25157	"Baie de Seine estuary"	49.41667	-0.03333	76	"AWI"	76	905	1652	1223	14	4	0	4	7	5	5	17	11	0	4	0	1	2	17	0	35	0	32	1	3	0	0	4
16245	25157	"Baie de Seine estuary"	49.41667	-0.03333	117	"AWI"	117	1677	2669	2151	11	7	1	0	0	5	0	60	2	0	5	0	0	0	4	0	0	0	44	0	0	0	0	3
16245	25157	"Baie de Seine estuary"	49.41667	-0.03333	137	"AWI"	137	2113	3103	2609	35	6	0	0	0	2	0	106	6	0	1	0	0	0	0	0	0	2	66	0	0	0	4	0
16245	25157	"Baie de Seine estuary"	49.41667	-0.03333	150	"AWI"	150	2395	3373	2907	21	4	0	0	0	2	0	79	3	0	0	1	0	0	0	0	0	0	33	1	0	2	3	2
16245	25157	"Baie de Seine estuary"	49.41667	-0.03333	170	"AWI"	170	2880	3769	3358	31	14	0	0	0	0	0	83	2	0	2	0	0	0	10	0	0	0	67	0	1	0	4	4
16245	25157	"Baie de Seine estuary"	49.41667	-0.03333	175	"AWI"	175	3010	3865	3468	22	8	0	1	0	2	0	99	0	2	0	0	0	0	7	0	0	0	39	0	0	0	2	2
16245	25157	"Baie de Seine estuary"	49.41667	-0.03333	197	"AWI"	197	3524	4308	3925	5	23	0	4	0	3	0	47	1	0	0	0	0	0	12	0	0	0	39	0	1	1	3	3
16245	25157	"Baie de Seine estuary"	49.41667	-0.03333	207	"AWI"	207	3694	4546	4114	5	22	0	4	0	6	0	78	4	0	0	0	0	0	19	0	0	0	39	0	0	0	0	6
16245	25157	"Baie de Seine estuary"	49.41667	-0.03333	217	"AWI"	217	3858	4769	4303	2	26	0	5	0	2	0	52	4	1	0	0	0	0	15	0	0	0	55	0	0	1	0	14
16245	25157	"Baie de Seine estuary"	49.41667	-0.03333	257	"AWI"	257	4535	5593	5062	1	25	0	1	3	4	0	98	3	0	1	0	0	0	14	0	0	0	33	0	0	0	0	5
16245	25157	"Baie de Seine estuary"	49.41667	-0.03333	267	"AWI"	267	4722	5799	5259	3	20	0	1	0	3	0	57	4	0	0	0	0	0	9	0	0	0	41	0	0	0	0	10
16245	25157	"Baie de Seine estuary"	49.41667	-0.03333	297	"AWI"	297	5287	6385	5835	3	30	0	1	4	3	0	66	6	0	0	0	0	0	19	0	0	0	36	0	1	0	0	11
16245	25157	"Baie de Seine estuary"	49.41667	-0.03333	307	"AWI"	307	5472	6581	6031	1	40	0	0	0	7	0	76	2	0	0	1	0	0	17	0	0	0	21	0	0	0	0	7
16245	25157	"Baie de Seine estuary"	49.41667	-0.03333	317	"AWI"	317	5658	6764	6217	2	26	0	1	0	6	0	57	8	0	0	0	0	0	18	0	0	0	26	0	0	0	0	7
16245	25157	"Baie de Seine estuary"	49.41667	-0.03333	327	"AWI"	327	5865	6949	6413	3	21	0	1	0	9	0	81	3	0	0	0	0	0	20	0	0	0	24	0	0	0	1	9
16245	25157	"Baie de Seine estuary"	49.41667	-0.03333	337	"AWI"	337	6054	7122	6602	3	19	1	1	0	7	0	107	4	0	0	0	0	0	14	0	0	0	19	0	0	0	0	6
16245	25157	"Baie de Seine estuary"	49.41667	-0.03333	347	"AWI"	347	6253	7297	6796	3	20	0	1	0	4	0	72	4	0	0	0	0	0	11	0	0	0	31	0	0	0	0	9
16245	25157	"Baie de Seine estuary"	49.41667	-0.03333	357	"AWI"	357	6455	7469	6989	2	20	0	1	0	5	0	70	0	0	0	0	0	0	25	0	0	0	19	0	0	0	0	9
16245	25157	"Baie de Seine estuary"	49.41667	-0.03333	367	"AWI"	367	6665	7630	7182	2	16	0	3	0	11	0	83	7	0	0	0	0	0	14	0	0	0	19	0	0	0	0	4
16245	25157	"Baie de Seine estuary"	49.41667	-0.03333	377	"AWI"	377	6873	7795	7376	1	22	0	1	0	6	0	67	5	0	0	0	0	0	18	0	0	0	29	0	0	0	1	5
16245	25157	"Baie de Seine estuary"	49.41667	-0.03333	387	"AWI"	387	7102	7948	7572	2	14	0	0	4	7	0	67	4	0	0	0	0	0	20	0	0	0	17	0	0	0	0	6
16245	25157	"Baie de Seine estuary"	49.41667	-0.03333	397	"AWI"	397	7341	8105	7756	4	28	0	0	0	4	0	70	6	0	0	0	0	0	23	0	0	0	19	0	0	0	2	2
16245	25157	"Baie de Seine estuary"	49.41667	-0.03333	407	"AWI"	407	7581	8248	7947	4	25	1	1	0	1	0	56	7	0	0	0	0	0	18	0	0	0	41	0	1	0	0	4
16245	25157	"Baie de Seine estuary"	49.41667	-0.03333	417	"AWI"	417	7841	8401	8131	3	21	0	0	35	3	0	60	5	0	0	0	0	0	12	0	0	0	27	0	0	0	0	3
