x,y,species cloglog values
1.0,1.0,0.8755218
2.0,2.0,0.21874706
3.0,3.0,0.84918857
4.0,4.0,0.27873516
5.0,5.0,0.006191929
6.0,6.0,0.04127476
7.0,7.0,0.17073205
8.0,8.0,0.021671938
9.0,9.0,0.04073112
10.0,10.0,0.005137635
11.0,11.0,0.5269767
12.0,12.0,0.009844693
13.0,13.0,0.073402286
14.0,14.0,0.48398474
15.0,15.0,0.023172855
16.0,16.0,0.1359718
17.0,17.0,0.7474812
18.0,18.0,0.0078235995
19.0,19.0,0.02354453
20.0,20.0,0.6429706
21.0,21.0,0.6513329
22.0,22.0,0.0013598914
23.0,23.0,0.0017237536
24.0,24.0,0.85191125
25.0,25.0,0.006764358
26.0,26.0,0.06395924
27.0,27.0,0.5120248
28.0,28.0,0.07156522
29.0,29.0,6.809204E-4
30.0,30.0,0.6650629
31.0,31.0,0.11219589
32.0,32.0,0.057008564
33.0,33.0,0.099685244
34.0,34.0,0.0591096
35.0,35.0,0.11954948
36.0,36.0,0.50327647
37.0,37.0,0.054515924
38.0,38.0,0.018793054
39.0,39.0,0.019544432
40.0,40.0,0.0051342095
41.0,41.0,0.00340202
42.0,42.0,0.83427155
43.0,43.0,0.6347482
44.0,44.0,0.6482796
45.0,45.0,0.0013698862
46.0,46.0,0.02201305
47.0,47.0,0.56691384
48.0,48.0,0.87222046
49.0,49.0,0.009958793
50.0,50.0,0.0057169916
51.0,51.0,0.027703138
52.0,52.0,0.005294473
53.0,53.0,0.7895663
54.0,54.0,0.2999757
55.0,55.0,0.011279766
56.0,56.0,0.39439616
57.0,57.0,0.07350212
58.0,58.0,8.662935E-4
59.0,59.0,0.32400066
60.0,60.0,0.028377471
61.0,61.0,0.0026392024
62.0,62.0,0.009298435
63.0,63.0,0.46987072
64.0,64.0,0.14658168
65.0,65.0,0.75625473
66.0,66.0,0.52831805
67.0,67.0,0.8774802
68.0,68.0,0.65030235
69.0,69.0,0.7850487
70.0,70.0,0.8359561
71.0,71.0,0.005324243
72.0,72.0,0.19845487
73.0,73.0,0.47882473
74.0,74.0,0.0058757733
75.0,75.0,0.012226806
76.0,76.0,0.8549743
77.0,77.0,0.0040837144
78.0,78.0,0.42937928
79.0,79.0,0.008085873
80.0,80.0,0.22186199
81.0,81.0,0.0331914
82.0,82.0,0.010035379
83.0,83.0,0.009534668
84.0,84.0,0.8127284
85.0,85.0,0.018022068
86.0,86.0,0.38177827
87.0,87.0,0.023651611
88.0,88.0,0.0065526254
89.0,89.0,0.8097761
90.0,90.0,0.0014532222
91.0,91.0,0.011033658
92.0,92.0,0.044343054
93.0,93.0,0.002267752
94.0,94.0,0.85418206
95.0,95.0,0.42851374
96.0,96.0,0.004092843
97.0,97.0,0.19433717
98.0,98.0,0.055245616
99.0,99.0,0.25327128
100.0,100.0,0.8629362
101.0,101.0,0.05019226
102.0,102.0,0.354236
103.0,103.0,0.0056686793
104.0,104.0,0.010752854
105.0,105.0,0.03827445
106.0,106.0,0.57557106
107.0,107.0,7.605518E-4
108.0,108.0,0.037625886
109.0,109.0,0.12358985
110.0,110.0,0.005533798
111.0,111.0,0.47194687
112.0,112.0,0.02522835
113.0,113.0,0.5394056
114.0,114.0,0.008222642
115.0,115.0,0.0010082315
116.0,116.0,0.47608173
117.0,117.0,0.67932767
118.0,118.0,0.16694987
119.0,119.0,0.20848955
120.0,120.0,0.009714236
121.0,121.0,0.7987774
122.0,122.0,0.458832
123.0,123.0,0.48754048
124.0,124.0,0.02561372
125.0,125.0,0.37746817
126.0,126.0,0.35878998
127.0,127.0,0.62028235
128.0,128.0,0.45833966
129.0,129.0,0.36830738
130.0,130.0,0.008821176
131.0,131.0,0.4726794
132.0,132.0,0.6066937
133.0,133.0,0.26287323
134.0,134.0,0.060399402
135.0,135.0,0.12427812
136.0,136.0,0.49043676
137.0,137.0,0.5883702
138.0,138.0,0.7111127
139.0,139.0,0.006929743
140.0,140.0,0.12305454
141.0,141.0,0.22043926
142.0,142.0,0.004081368
143.0,143.0,0.86773974
144.0,144.0,0.050558873
145.0,145.0,0.38159582
146.0,146.0,0.83893454
147.0,147.0,0.5459543
148.0,148.0,0.7008113
149.0,149.0,0.004944584
150.0,150.0,0.76704884
151.0,151.0,0.004293028
152.0,152.0,0.05728564
153.0,153.0,8.1810233E-4
154.0,154.0,0.6062039
155.0,155.0,0.11255454
156.0,156.0,0.33068874
157.0,157.0,0.6944804
158.0,158.0,0.0065481807
159.0,159.0,3.946534E-4
160.0,160.0,0.11816155
161.0,161.0,0.58862555
162.0,162.0,0.12181124
163.0,163.0,8.146592E-4
164.0,164.0,0.12369874
165.0,165.0,0.39586452
166.0,166.0,0.61779654
167.0,167.0,0.0026574538
168.0,168.0,0.38866308
169.0,169.0,0.287147
170.0,170.0,0.8040099
171.0,171.0,0.844233
172.0,172.0,0.39175272
173.0,173.0,0.71102417
174.0,174.0,0.053427927
175.0,175.0,0.21070437
176.0,176.0,0.620696
177.0,177.0,0.5968843
178.0,178.0,0.008633567
179.0,179.0,0.5853698
