Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
7.77303E-9,0.000000777,0.000196124,1,0,0
8.11703E-9,0.000001589,0.000204803,0.999980127,0,0
9.05367E-9,0.000003333,0.000228433,0.999940382,0,0
1.04123E-8,0.00001022,0.000262707,0.999801272,0,0
1.18297E-8,0.000026067,0.000298464,0.999523052,0,0
1.28241E-8,0.000050892,0.000323549,0.999125596,0,0
1.44827E-8,0.000100226,0.000365388,0.998410175,0,0
1.7677E-8,0.000250142,0.00044596,0.996581876,0,0
2.10368E-8,0.000500774,0.000530698,0.994018283,0,0
2.59649E-8,0.001000611,0.00065498,0.989805246,0,0
3.70727E-8,0.002502625,0.00093505,0.980325914,0,0
5.20404E-8,0.005001424,0.001312316,0.969236884,0,0
7.26933E-8,0.010006184,0.00183265,0.953159777,0,0
1.30036E-7,0.025010911,0.003275929,0.923171701,0,0
2.06654E-7,0.050003783,0.005201107,0.893541335,0,0
3.37273E-7,0.100023703,0.008474585,0.85649841,0,0
5.19E-7,0.200013748,0.013010978,0.80981717,0,0
7.11321E-7,0.300029511,0.01778922,0.777166137,0,0
9.34868E-7,0.400023935,0.023314229,0.75282194,0.001,0
1.15446E-6,0.500023887,0.028711178,0.733803657,0.001,0
1.35911E-6,0.600061445,0.033714224,0.717984897,0.001,0
1.55809E-6,0.700114152,0.038553838,0.704332273,0.001,0
1.64861E-6,0.750079998,0.040747312,0.698151828,0.001,0
1.73195E-6,0.800152634,0.042762474,0.692269475,0.002,0
1.90227E-6,0.900003428,0.046867778,0.681339428,0.002,0
2.06096E-6,1.000177237,0.050676652,0.671303657,0.003,0
2.20671E-6,1.100176358,0.054161841,0.661983307,0.003,0
2.36077E-6,1.200058513,0.057831604,0.653279014,0.003,0
2.52412E-6,1.300111146,0.061707122,0.645131161,0.004,0
2.6955E-6,1.40010461,0.065756086,0.637519873,0.004,0
2.85533E-6,1.500227419,0.069516427,0.630345787,0.004,0
3.27588E-6,1.75013092,0.079338606,0.614129571,0.004,0
3.68202E-6,2.000069034,0.088725827,0.599841017,0.004,0
4.13232E-6,2.250128115,0.099021895,0.587102544,0.004,0
4.5503E-6,2.500155602,0.108474773,0.575675676,0.004,0
4.94264E-6,2.750378352,0.117257538,0.565202703,0.004,0
5.35582E-6,3.000111303,0.126413233,0.555564388,0.004,0
5.79031E-6,3.250174121,0.135938864,0.546641494,0.006,0
6.211E-6,3.500291438,0.145062919,0.538354531,0.007,0
6.57152E-6,3.750590167,0.152805214,0.530564388,0.009,0
6.98237E-6,4.00046175,0.161543054,0.523251192,0.014,0
7.34617E-6,4.250424655,0.169204871,0.51631558,0.015,0
7.73586E-6,4.500551369,0.17733432,0.509717806,0.017,0
8.12036E-6,4.750123632,0.18527761,0.50345787,0.018,0
8.51131E-6,5.000537102,0.193275495,0.497476153,0.019,0
8.85264E-6,5.250601748,0.200193965,0.491752782,0.019,0
9.19774E-6,5.50044813,0.207128571,0.486248013,0.022,0
