X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
1.0,1.0,train,4.240604683339775E-5,39.41158445078371,0.6570146022565987
2.0,2.0,train,4.331396590165478E-5,40.44325815258229,0.6647831655361023
3.0,3.0,train,2.7282475948296204E-5,22.25827061705098,0.49764168324032354
4.0,4.0,train,3.181744684547333E-5,27.341904587000236,0.5519616134448215
5.0,5.0,train,2.4503662697474644E-5,19.068850857128037,0.46115186783194284
6.0,6.0,train,1.1663191152109764E-5,7.45986746850553,0.25495234823088564
7.0,7.0,train,2.3440495746985068E-5,17.884265887277746,0.44650010772097104
8.0,8.0,train,5.343573756606667E-5,53.04626546087335,0.7403417296170206
9.0,9.0,train,2.4074874281625998E-5,18.563290052994727,0.4552898866585481
10.0,10.0,train,2.6648355231953072E-5,21.5348043683344,0.48953864000201364
11.0,11.0,train,1.729689247576297E-5,12.092413677314388,0.35368418625349607
12.0,12.0,train,2.6477963667990533E-5,21.308068963255277,0.48733911806840724
13.0,13.0,train,3.466004005598819E-5,30.444969693578813,0.5829736661655431
14.0,14.0,train,2.0682669789444742E-5,15.018979288796617,0.40660985694523144
15.0,15.0,train,4.754959167194088E-5,45.44672368368191,0.6987632543181184
16.0,16.0,train,1.4946657395723642E-5,10.114932715846175,0.31419473560113154
17.0,17.0,train,4.396549918018255E-5,41.27746015574509,0.6702493037883748
18.0,18.0,train,3.824882830368903E-5,34.46834130214485,0.6190795876995261
19.0,19.0,train,5.501774567507718E-6,3.0841128000446987,0.12962480326173265
20.0,20.0,train,3.65509255898074E-5,32.66382718054606,0.602404535594418
21.0,21.0,train,1.0777689398785294E-5,6.750264480254412,0.23811716190176802
22.0,22.0,train,2.1926435458203418E-5,16.30105659875383,0.42494418091589903
23.0,23.0,train,1.56117728959207E-5,10.638427412561105,0.3256088403662811
24.0,24.0,train,3.9052009529524994E-5,35.42580357144407,0.6267221251471669
25.0,25.0,train,3.232544851204301E-5,27.900504169687565,0.5576682880221919
26.0,26.0,train,2.281421592002033E-5,17.206873020805162,0.43768341907953856
27.0,27.0,train,1.0042598773459983E-5,6.157836704620402,0.223852990568862
28.0,28.0,train,2.4250458523032324E-5,18.767388641640938,0.457697975856427
29.0,29.0,train,3.46301786383098E-5,30.413017076459194,0.5826593107955865
30.0,30.0,train,4.435965637339779E-5,41.75038942028861,0.6735127807150756
31.0,31.0,train,1.5522557361812768E-5,10.552752676859868,0.32408890668246937
32.0,32.0,train,2.8512371693988323E-5,23.723810526153787,0.5129929249028856
33.0,33.0,train,2.0140501596386304E-5,14.553421999747272,0.3984359086673446
34.0,34.0,train,2.782306662692896E-5,22.930353834931964,0.5044479147786664
35.0,35.0,train,2.3721228844252798E-5,18.166931475055254,0.45040723129432303
36.0,36.0,train,1.8714699579693922E-5,13.281763832270382,0.3763985001409722
37.0,37.0,train,1.6151021493038552E-5,11.089235275765564,0.3347233393183632
38.0,38.0,train,2.8834609952663747E-5,24.058362388319786,0.5169368733043129
39.0,39.0,train,9.514002634030012E-6,5.75501643136062,0.21343099312528968
40.0,40.0,train,1.0853475940093034E-5,6.810652945898631,0.23957278326902154
41.0,41.0,train,3.379909171269132E-5,29.511887547249714,0.5738146253781833
42.0,42.0,train,1.7015710586635745E-5,11.855409406418307,0.3490820750475827
43.0,43.0,train,1.6019119651713417E-5,10.97482355075136,0.33250535003305626
44.0,44.0,train,2.1538053524031232E-5,15.879427714641094,0.4192807157949012
45.0,45.0,train,1.9785869518968272E-5,14.227385431237245,0.39302851599597577
46.0,46.0,train,4.1606086165240613E-5,38.39599820995667,0.6500207196726384
47.0,47.0,train,4.563573026044293E-5,43.19327044281006,0.6838582911085425
48.0,48.0,train,2.7837090244998372E-5,22.948181914786456,0.5046232446404083
49.0,49.0,train,2.460382559606423E-5,19.17382771332004,0.46251208386477105
50.0,50.0,train,1.8272595980839584E-5,12.91384505533541,0.3694026694810747
51.0,51.0,train,2.2401787968817255E-5,16.79228010899089,0.43180075338068213
52.0,52.0,train,4.7243191953595246E-5,45.113909943066524,0.6964251728377159
53.0,53.0,train,4.2578358511468916E-5,39.601697760879645,0.6585026945127931
54.0,54.0,train,1.878414221249833E-5,13.338161500547512,0.3774902828785395
55.0,55.0,train,4.420382166549175E-5,41.5440210811611,0.6722264048223372
56.0,56.0,train,1.3971166160923847E-5,9.311859957408705,0.297103885662397
57.0,57.0,train,2.3358981350896523E-5,17.80862422618564,0.4453604303266908
58.0,58.0,train,1.0015057364986691E-5,6.135659149520549,0.22331339993548383
59.0,59.0,train,1.336544507021918E-5,8.832298604271987,0.28627782550267433
60.0,60.0,train,7.448187934299513E-6,4.315905962386397,0.17134086402270998
61.0,61.0,train,1.0106705963981661E-5,6.209458637880278,0.2251075257771925
62.0,62.0,train,2.5891594763282448E-5,20.696009785892,0.4796972171171354
63.0,63.0,train,1.2017753967164827E-5,7.756265275802163,0.2615885444676703
64.0,64.0,train,2.513319877989074E-5,19.750628343422832,0.46964416934410114
65.0,65.0,train,1.8292347240751547E-5,12.9291810031812,0.3697168809672756
66.0,66.0,train,2.679353051045506E-5,21.711781491876938,0.4914052072820926
67.0,67.0,train,3.813267029350644E-5,34.32553652297276,0.6179614291347402
68.0,68.0,train,2.19919046496594E-5,16.367443649850802,0.42589341131978464
69.0,69.0,train,4.0894610903864115E-5,37.54660595831375,0.6436807115221379
70.0,70.0,train,4.767611558353484E-5,45.58131905533857,0.6997234744470648
71.0,71.0,train,1.7340350466536295E-5,12.12733915009726,0.3543925554501567
72.0,72.0,train,3.682221304173004E-5,32.98620963718346,0.6051170297694363
73.0,73.0,train,2.9779473463534736E-5,25.12189082113495,0.5283181048339913
74.0,74.0,train,1.5207261910710413E-5,10.311445769129092,0.3186898309431401
75.0,75.0,train,2.4475342486208734E-5,19.039169540120927,0.4607666544143022
