#	Lower parameter range for CMA-ES calibration																																																																																																														
#speciesCode	speciesName	CRF	CRRG	CRRF	CRBV	Crrepro	tronviv	branviv	rgviv	Lignroots	LIGNrl	LIGNll	LIGNfb	LIGNcb	LIGNcr	TGSS	Nitrogen	NRG	NRF	NBR	NTV	NSS	Nrepro	potToWood	GBVmin	TMRF	ratioBR	RS	coefrac	ratioG	TMBV	SF	LMA0	KLMA	alphal	alphab	CrownArea1	CrownArea2	CoefLAI1	CoefLAI2	CoefLAI3	aDBH	bDBH	aGF	bGF	Phi	ros	logaRDI	bRDI	clumping	RauwPIR	RauwPAR	RaufPIR	TaufPIR	RaufPAR	TaufPAR	emsf	Tleaf	Tbark	CIA	CIB	propec	g0	g1	RSoilleaf	CapSoilleaf	P50	P50Roots	pleafMin	Kplantini	EaVJ	ETT	JMT	NC	teta	TBASEA	TBASEB	TBASEC	NSTART	NSTART3	TSUMBB	HSUMFL	HSUMLMA	TSUMLFAL	SmatchDelay	SShape	Rec0	frec0	T1rec	T2rec	T3rec	T6rec	fa0	fd0	ffrost	woodStop	FHminfe	FHmax	decidue	cohorLeaves	reservesToReproduce	reservesToMortality	reserveToLeafFall	BSSminCrit	rateOfSeed	rateOfSeedJourne	seedMass_mg	seedMass_mu	auxiliaryReproStructure	seedMortality	seedsperFruit
1	Abies alba	1	1	1	1	1	0	0	0	25	0.38	0.38	0.35	0.35	0.38	0	0	0	0	0	0	0.04	0	-1.5	0	0	0	0	0	0.22	0	100	50	0	1	1	0	-2	0	0	0.3	-5	0	0	0	0	100	5	-5	0	0.314	0.135	0.3317	0.264	0.086	0.0376	0.97	0	0	0	0	1	0	0	5000	0.04	-10	-10	-10	0	37000	710	220000	1	0.7	-5	-2	20	5	213	100	100	200	100	0	0	0	0	0	-10	-10	-10	0	0	0	50	-20	-100	2	11	50	0	0	50	0.2	0.003	79	0.01643	0	0	1
2	Cedrus atlantica	1	1	1	1	1	0	0	0	25	0.38	0.38	0.35	0.35	0.38	0	0	0	0	0	0	0.04	0	-1.5	0	0	0	0	0	0.22	0	10	50	0	1	1	0	-2	0	0	0.3	-5	0	0	0	0	100	5	-5	0	0.314	0.135	0.343	0.243	0.073	0.029	0.97	0	0	0	0	1	0	0	5000	0.04	-10	-10	-10	0	37000	710	220000	1	0.7	-5	-2	20	5	213	100	100	200	100	0	0	0	0	0	-10	-10	-10	0	0	0	50	-20	-100	2	3	50	0	0	50	0.2	0.003	71.7	0.01643	0	0	1
3	Fagus sylvatica	1	1	1	1	1	0	0	0	25	0.38	0.38	0.35	0.35	0.38	0	0	0	0	0	0	0.04	0	-1.5	0	0	0	0	0	0.22	0	1500	50	0	1	1	0	-2	0	0	0.3	-5	0	0	0	0	100	5	-5	0	0.314	0.135	0.356	0.377	0.0877	0.055	0.97	0	0	0	0	1	0	0	5000	0.04	-10	-10	-10	0	37000	710	220000	1	0.7	-5	-2	20	5	213	100	100	200	100	0	0	0	0	0	-10	-10	-10	0	0	0	50	-20	-100	1	1	50	0	0	-80	0.2	0.003	167.7	2.8	0	0	1
4	Picea abies	1	1	1	1	1	0	0	0	25	0.38	0.38	0.35	0.35	0.38	0	0	0	0	0	0	0.04	0	-1.5	0	0	0	0	0	0.22	0	10	50	0	1	1	0	-2	0	0	0.3	-5	0	0	0	0	100	5	-5	0	0.314	0.135	0.303	0.32	0.08	0.0503	0.97	0	0	0	0	1	0	0	5000	0.04	-10	-10	-10	0	37000	710	220000	1	0.7	-5	-2	20	5	213	100	100	200	100	0	0	0	0	0	-10	-10	-10	0	0	0	50	-20	-100	2	11	50	0	0	50	0.2	0.003	6.4	0.01643	0	0	1
5	Pinus halepensis	1	1	1	1	1	0	0	0	25	0.38	0.38	0.35	0.35	0.38	0	0	0	0	0	0	0.04	0	-1.5	0	0	0	0	0	0.22	0	10	50	0	1	1	0	-2	0	0	0.3	-5	0	0	0	0	100	5	-5	0	0.49	0.155	0.345	0.243	0.074	0.029	0.97	0	0	0	0	1	0	0	5000	0.04	-10	-10	-10	0	37000	710	220000	1	0.7	-5	-2	20	5	213	100	100	200	100	0	0	0	0	0	-10	-10	-10	0	0	0	50	-20	-100	2	3	50	0	0	50	0.2	0.003	21	0.01643	0	0	1
6	Pinus nigra	1	1	1	1	1	0	0	0	25	0.38	0.38	0.35	0.35	0.38	0	0	0	0	0	0	0.04	0	-1.5	0	0	0	0	0	0.22	0	10	50	0	1	1	0	-2	0	0	0.3	-5	0	0	0	0	100	5	-5	0	0.49	0.155	0.335	0.243	0.071	0.029	0.97	0	0	0	0	1	0	0	5000	0.04	-10	-10	-10	0	37000	710	220000	1	0.7	-5	-2	20	5	213	100	100	200	100	0	0	0	0	0	-10	-10	-10	0	0	0	50	-20	-100	2	3	50	0	0	50	0.2	0.003	19	0.01643	0	0	1
7	Pinus pinaster	1	1	1	1	1	0	0	0	25	0.38	0.38	0.35	0.35	0.38	0	0	0	0	0	0	0.04	0	-1.5	0	0	0	0	0	0.22	0	100	50	0	1	1	0	-2	0	0	0.3	-5	0	0	0	0	100	5	-5	0	0.49	0.155	0.279	0.118	0.09	0.014	0.97	0	0	0	0	1	0	0	5000	0.04	-10	-10	-10	0	37000	710	220000	1	0.7	-5	-2	20	5	213	100	100	200	100	0	0	0	0	0	-10	-10	-10	0	0	0	50	-20	-100	2	3	50	0	0	50	0.2	0.003	55.02	0.01643	0	0	1
8	Pinus sylvestris	1	1	1	1	1	0	0	0	25	0.38	0.38	0.35	0.35	0.38	0	0	0	0	0	0	0.04	0	-1.5	0	0	0	0	0	0.22	0	100	50	0	1	1	0	-2	0	0	0.3	-5	0	0	0	0	100	5	-5	0	0.495	0.146	0.311	0.312	0.093	0.038	0.97	0	0	0	0	1	0	0	5000	0.04	-10	-10	-10	0	37000	710	220000	1	0.7	-5	-2	20	5	213	100	100	200	100	0	0	0	0	0	-10	-10	-10	0	0	0	50	-20	-100	2	3	50	0	0	50	0.2	0.003	7.44	0.01643	0	0	1
9	Pinus uncinata	1	1	1	1	1	0	0	0	25	0.38	0.38	0.35	0.35	0.38	0	0	0	0	0	0	0.04	0	-1.5	0	0	0	0	0	0.22	0	100	50	0	1	1	0	-2	0	0	0.3	-5	0	0	0	0	100	5	-5	0	0.495	0.146	0.335	0.243	0.071	0.029	0.97	0	0	0	0	1	0	0	5000	0.04	-10	-10	-10	0	37000	710	220000	1	0.7	-5	-2	20	5	213	100	100	200	100	0	0	0	0	0	-10	-10	-10	0	0	0	50	-20	-100	2	3	50	0	0	50	0.2	0.003	9.15	0.01643	0	0	1
10	Pseudotsuga menziesii	1	1	1	1	1	0	0	0	25	0.38	0.38	0.35	0.35	0.38	0	0	0	0	0	0	0.04	0	-1.5	0	0	0	0	0	0.22	0	10	50	0	1	1	0	-2	0	0	0.3	-5	0	0	0	0	100	5	-5	0	0.314	0.135	0.305	0.279	0.095	0.0419	0.97	0	0	0	0	1	0	0	5000	0.04	-10	-10	-10	0	37000	710	220000	1	0.7	-5	-2	20	5	213	100	100	200	100	0	0	0	0	0	-10	-10	-10	0	0	0	50	-20	-100	2	10	50	0	0	50	0.2	0.003	11.3	0.01643	0	0	1
