#	Upper parameter range for CMA-ES calibration																																																																																																														
#speciesCode	speciesName	CRF	CRRG	CRRF	CRBV	Crrepro	tronviv	branviv	rgviv	Lignroots	LIGNrl	LIGNll	LIGNfb	LIGNcb	LIGNcr	TGSS	Nitrogen	NRG	NRF	NBR	NTV	NSS	Nrepro	potToWood	GBVmin	TMRF	ratioBR	RS	coefrac	ratioG	TMBV	SF	LMA0	KLMA	alphal	alphab	CrownArea1	CrownArea2	CoefLAI1	CoefLAI2	CoefLAI3	aDBH	bDBH	aGF	bGF	Phi	ros	logaRDI	bRDI	clumping	RauwPIR	RauwPAR	RaufPIR	TaufPIR	RaufPAR	TaufPAR	emsf	Tleaf	Tbark	CIA	CIB	propec	g0	g1	RSoilleaf	CapSoilleaf	P50	P50Roots	pleafMin	Kplantini	EaVJ	ETT	JMT	NC	teta	TBASEA	TBASEB	TBASEC	NSTART	NSTART3	TSUMBB	HSUMFL	HSUMLMA	TSUMLFAL	SmatchDelay	SShape	Rec0	frec0	T1rec	T2rec	T3rec	T6rec	fa0	fd0	ffrost	woodStop	FHminfe	FHmax	decidue	cohorLeaves	reservesToReproduce	reservesToMortality	reserveToLeafFall	BSSminCrit	rateOfSeed	rateOfSeedJourne	seedMass_mg	seedMass_mu	auxiliaryReproStructure	seedMortality	seedsperFruit
1	Abies alba	2	2	2	2	2	0.3	0.5	0.3	25	0.38	0.38	0.35	0.35	0.38	0.5	10	2	10	10	2	0.04	10	-1.5	1	2	1	1	1	0.22	0.01	700	400	0.5	90	90	0.5	2	3	3	0.3	0	5	5	1	1	1000	15	0	1	0.314	0.135	0.3317	0.264	0.086	0.0376	0.97	2	5	5	10	1	0.2	20	100000	0.04	0	0	0	1	37000	710	220000	50	0.7	10	15	20	100	213	1000	2000	2000	300	2000	4	300	1	0	0	0	0	0.5	0.5	0.5	800	0	-5	2	11	300	200	50	50	0.2	0.003	79	0.01643	1	0.9	300
2	Cedrus atlantica	2	2	2	2	2	0.3	0.5	0.3	25	0.38	0.38	0.35	0.35	0.38	0.5	10	2	10	10	2	0.04	10	-1.5	1	2	1	1	1	0.22	0.01	90	400	0.5	90	90	0.5	2	3	3	0.3	0	5	5	1	1	1000	15	0	1	0.314	0.135	0.343	0.243	0.073	0.029	0.97	2	5	5	10	1	0.2	20	100000	0.04	0	0	0	1	37000	710	220000	50	0.7	10	15	20	100	213	1000	2000	2000	300	2000	4	300	1	0	0	0	0	0.5	0.5	0.5	800	0	-5	2	3	300	200	50	50	0.2	0.003	71.7	0.01643	1	0.9	300
3	Fagus sylvatica	2	2	2	2	2	0.3	0.5	0.3	25	0.38	0.38	0.35	0.35	0.38	0.5	10	2	10	10	2	0.04	10	-1.5	1	2	1	1	1	0.22	0.01	4000	400	0.5	90	90	0.5	2	3	3	0.3	0	5	5	1	1	1000	15	0	1	0.314	0.135	0.356	0.377	0.0877	0.055	0.97	2	5	5	10	1	0.2	20	100000	0.04	0	0	0	1	37000	710	220000	50	0.7	10	15	20	100	213	1000	2000	2000	300	2000	4	300	1	0	0	0	0	0.5	0.5	0.5	800	0	-5	1	1	300	200	50	-80	0.2	0.003	167.7	2.8	1	0.9	300
4	Picea abies	2	2	2	2	2	0.3	0.5	0.3	25	0.38	0.38	0.35	0.35	0.38	0.5	10	2	10	10	2	0.04	10	-1.5	1	2	1	1	1	0.22	0.01	90	400	0.5	90	90	0.5	2	3	3	0.3	0	5	5	1	1	1000	15	0	1	0.314	0.135	0.303	0.32	0.08	0.0503	0.97	2	5	5	10	1	0.2	20	100000	0.04	0	0	0	1	37000	710	220000	50	0.7	10	15	20	100	213	1000	2000	2000	300	2000	4	300	1	0	0	0	0	0.5	0.5	0.5	800	0	-5	2	11	300	200	50	50	0.2	0.003	6.4	0.01643	1	0.9	300
5	Pinus halepensis	2	2	2	2	2	0.3	0.5	0.3	25	0.38	0.38	0.35	0.35	0.38	0.5	10	2	10	10	2	0.04	10	-1.5	1	2	1	1	1	0.22	0.01	90	400	0.5	90	90	0.5	2	3	3	0.3	0	5	5	1	1	1000	15	0	1	0.49	0.155	0.345	0.243	0.074	0.029	0.97	2	5	5	10	1	0.2	20	100000	0.04	0	0	0	1	37000	710	220000	50	0.7	10	15	20	100	213	1000	2000	2000	300	2000	4	300	1	0	0	0	0	0.5	0.5	0.5	800	0	-5	2	3	300	200	50	50	0.2	0.003	21	0.01643	1	0.9	300
6	Pinus nigra	2	2	2	2	2	0.3	0.5	0.3	25	0.38	0.38	0.35	0.35	0.38	0.5	10	2	10	10	2	0.04	10	-1.5	1	2	1	1	1	0.22	0.01	90	400	0.5	90	90	0.5	2	3	3	0.3	0	5	5	1	1	1000	15	0	1	0.49	0.155	0.335	0.243	0.071	0.029	0.97	2	5	5	10	1	0.2	20	100000	0.04	0	0	0	1	37000	710	220000	50	0.7	10	15	20	100	213	1000	2000	2000	300	2000	4	300	1	0	0	0	0	0.5	0.5	0.5	800	0	-5	2	3	300	200	50	50	0.2	0.003	19	0.01643	1	0.9	300
7	Pinus pinaster	2	2	2	2	2	0.3	0.5	0.3	25	0.38	0.38	0.35	0.35	0.38	0.5	10	2	10	10	2	0.04	10	-1.5	1	2	1	1	1	0.22	0.01	700	400	0.5	90	90	0.5	2	3	3	0.3	0	5	5	1	1	1000	15	0	1	0.49	0.155	0.279	0.118	0.09	0.014	0.97	2	5	5	10	1	0.2	20	100000	0.04	0	0	0	1	37000	710	220000	50	0.7	10	15	20	100	213	1000	2000	2000	300	2000	4	300	1	0	0	0	0	0.5	0.5	0.5	800	0	-5	2	3	300	200	50	50	0.2	0.003	55.02	0.01643	1	0.9	300
8	Pinus sylvestris	2	2	2	2	2	0.3	0.5	0.3	25	0.38	0.38	0.35	0.35	0.38	0.5	10	2	10	10	2	0.04	10	-1.5	1	2	1	1	1	0.22	0.01	700	400	0.5	90	90	0.5	2	3	3	0.3	0	5	5	1	1	1000	15	0	1	0.495	0.146	0.311	0.312	0.093	0.038	0.97	2	5	5	10	1	0.2	20	100000	0.04	0	0	0	1	37000	710	220000	50	0.7	10	15	20	100	213	1000	2000	2000	300	2000	4	300	1	0	0	0	0	0.5	0.5	0.5	800	0	-5	2	3	300	200	50	50	0.2	0.003	7.44	0.01643	1	0.9	300
9	Pinus uncinata	2	2	2	2	2	0.3	0.5	0.3	25	0.38	0.38	0.35	0.35	0.38	0.5	10	2	10	10	2	0.04	10	-1.5	1	2	1	1	1	0.22	0.01	700	400	0.5	90	90	0.5	2	3	3	0.3	0	5	5	1	1	1000	15	0	1	0.495	0.146	0.335	0.243	0.071	0.029	0.97	2	5	5	10	1	0.2	20	100000	0.04	0	0	0	1	37000	710	220000	50	0.7	10	15	20	100	213	1000	2000	2000	300	2000	4	300	1	0	0	0	0	0.5	0.5	0.5	800	0	-5	2	3	300	200	50	50	0.2	0.003	9.15	0.01643	1	0.9	300
10	Pseudotsuga menziesii	2	2	2	2	2	0.3	0.5	0.3	25	0.38	0.38	0.35	0.35	0.38	0.5	10	2	10	10	2	0.04	10	-1.5	1	2	1	1	1	0.22	0.01	90	400	0.5	90	90	0.5	2	3	3	0.3	0	5	5	1	1	1000	15	0	1	0.314	0.135	0.305	0.279	0.095	0.0419	0.97	2	5	5	10	1	0.2	20	100000	0.04	0	0	0	1	37000	710	220000	50	0.7	10	15	20	100	213	1000	2000	2000	300	2000	4	300	1	0	0	0	0	0.5	0.5	0.5	800	0	-5	2	10	300	200	50	50	0.2	0.003	11.3	0.01643	1	0.9	300
