# Command file for Castanea
# Generated on Rstudio by user vandermeersch, on the 2023-07-07

# The filenames below are relative to the folder containing this command file
castaneaFileName	=	fagus_cmaes_output_subset1_rep2.txt
inventoryFileName	=	C:/Users/vandermeersch/Documents/CEFE/phd/hindcasting/simulation/castanea/run/inventory.txt

climateBaseName	=	D:/climate/HadCM3B_60Kyr_Climate/2023_dataset/castanea_format/025deg/1500BP/
climateExtension	=	.txt
simulationName	=	ind1_


#	siteId	gridName	latitude	longitude	soilHeight	stone	wfc	wilt	bulk	SOLCLAYtop	SOLCLAYsol	SOLFINtop	SOLFINsol	SOLSANDtop	SOLSANDsol	numberOfYears
1	8143	49.12	18.96	195.321	0.196	0.313	0.141	1.426	0.186	0.198	0.624	0.594	0.376	0.406	30
2	8144	49.12	19.21	192.957	0.223	0.318	0.137	1.399	0.177	0.189	0.614	0.58	0.386	0.42	30
3	8145	49.12	19.46	192.231	0.204	0.316	0.137	1.408	0.18	0.191	0.613	0.584	0.386	0.415	30
4	8146	49.12	19.71	186.51	0.225	0.311	0.128	1.374	0.155	0.163	0.562	0.529	0.438	0.471	30
5	8147	49.12	19.96	181.041	0.245	0.308	0.121	1.359	0.139	0.145	0.524	0.49	0.476	0.51	30
6	8148	49.12	20.21	185.821	0.228	0.307	0.129	1.397	0.161	0.169	0.555	0.526	0.445	0.474	30
7	8149	49.12	20.46	197.537	0.181	0.306	0.139	1.454	0.189	0.201	0.618	0.592	0.382	0.408	30
8	8150	49.12	20.71	198.218	0.196	0.307	0.136	1.441	0.182	0.192	0.615	0.585	0.385	0.415	30
9	8151	49.12	20.96	199.405	0.189	0.309	0.144	1.466	0.192	0.204	0.649	0.624	0.35	0.376	30
10	8152	49.12	21.21	199.915	0.153	0.308	0.154	1.491	0.204	0.221	0.673	0.653	0.327	0.347	30
11	8153	49.12	21.46	199.81	0.122	0.308	0.156	1.508	0.208	0.227	0.682	0.664	0.318	0.336	30
12	8154	49.12	21.71	199.931	0.106	0.309	0.155	1.515	0.214	0.235	0.678	0.659	0.321	0.341	30
13	8155	49.12	21.96	199.674	0.124	0.312	0.152	1.498	0.214	0.233	0.676	0.653	0.323	0.347	30
14	8156	49.12	22.21	199.219	0.165	0.317	0.146	1.46	0.199	0.212	0.656	0.624	0.344	0.376	30
15	8157	49.12	22.46	198.153	0.193	0.318	0.14	1.429	0.184	0.193	0.631	0.594	0.368	0.406	30
16	8158	49.12	22.71	197.072	0.189	0.317	0.136	1.418	0.175	0.183	0.617	0.581	0.383	0.419	30
17	8159	49.12	22.96	197.863	0.179	0.318	0.137	1.421	0.179	0.188	0.615	0.585	0.384	0.415	30
18	8160	49.12	23.21	195.891	0.198	0.319	0.136	1.402	0.178	0.187	0.612	0.575	0.387	0.424	30
19	8161	49.12	23.46	195.622	0.198	0.319	0.14	1.418	0.185	0.195	0.626	0.59	0.374	0.41	30
20	8162	49.12	23.71	198.379	0.15	0.315	0.145	1.467	0.192	0.204	0.642	0.612	0.358	0.388	30
21	8163	49.12	23.96	199.792	0.115	0.306	0.143	1.496	0.183	0.197	0.623	0.597	0.377	0.403	30
22	8164	49.12	24.21	199.992	0.1	0.299	0.14	1.501	0.179	0.193	0.618	0.593	0.382	0.407	30
23	8165	49.12	24.46	199.998	0.088	0.299	0.143	1.502	0.189	0.205	0.642	0.621	0.358	0.379	30
24	8166	49.12	24.71	200	0.085	0.303	0.15	1.493	0.205	0.221	0.672	0.655	0.328	0.345	30
25	8167	49.12	24.96	199.999	0.096	0.306	0.153	1.493	0.204	0.222	0.705	0.688	0.295	0.312	30
26	8168	49.12	25.21	200	0.099	0.308	0.152	1.485	0.201	0.215	0.715	0.697	0.286	0.303	30
27	8169	49.12	25.46	200	0.088	0.317	0.157	1.469	0.215	0.227	0.736	0.721	0.265	0.279	30
28	8170	49.12	25.71	200	0.091	0.314	0.157	1.475	0.208	0.22	0.715	0.701	0.285	0.299	30
29	8171	49.12	25.96	200	0.088	0.312	0.159	1.473	0.207	0.217	0.702	0.688	0.298	0.312	30
30	8172	49.12	26.21	200	0.089	0.314	0.161	1.46	0.214	0.225	0.708	0.694	0.292	0.306	30
31	8173	49.12	26.46	200	0.09	0.312	0.158	1.456	0.211	0.22	0.713	0.698	0.288	0.302	30
32	8174	49.12	26.71	200	0.087	0.314	0.161	1.452	0.213	0.22	0.722	0.707	0.278	0.293	30
33	8175	49.12	26.96	200	0.085	0.314	0.159	1.458	0.209	0.217	0.717	0.704	0.283	0.297	30
34	8176	49.12	27.21	200	0.086	0.308	0.151	1.469	0.199	0.21	0.697	0.682	0.304	0.318	30
35	8177	49.12	27.46	200	0.082	0.307	0.148	1.465	0.201	0.212	0.69	0.676	0.31	0.324	30
36	8178	49.12	27.71	200	0.084	0.304	0.148	1.472	0.205	0.217	0.694	0.679	0.307	0.321	30
37	8179	49.12	27.96	200	0.079	0.303	0.148	1.477	0.205	0.217	0.694	0.681	0.307	0.319	30
38	8180	49.12	28.21	200	0.073	0.301	0.148	1.485	0.198	0.209	0.682	0.671	0.318	0.329	30
39	8181	49.12	28.46	200	0.071	0.299	0.147	1.488	0.193	0.204	0.669	0.657	0.332	0.343	30
40	8182	49.12	28.71	200	0.066	0.306	0.153	1.474	0.204	0.215	0.699	0.689	0.301	0.311	30
41	8183	49.12	28.96	200	0.065	0.314	0.159	1.462	0.214	0.224	0.719	0.711	0.281	0.289	30
42	8184	49.12	29.21	200	0.072	0.31	0.157	1.472	0.207	0.218	0.701	0.691	0.299	0.309	30
43	8185	49.12	29.46	200	0.067	0.315	0.163	1.466	0.218	0.228	0.719	0.707	0.281	0.293	30
44	8186	49.12	29.71	200	0.063	0.319	0.166	1.456	0.222	0.231	0.733	0.721	0.267	0.279	30
45	8187	49.12	29.96	200	0.06	0.32	0.166	1.454	0.226	0.234	0.734	0.723	0.267	0.277	30
46	8188	49.12	30.21	199.999	0.058	0.319	0.169	1.453	0.234	0.242	0.733	0.722	0.267	0.278	30
47	8189	49.12	30.46	200	0.055	0.32	0.17	1.451	0.236	0.244	0.728	0.718	0.272	0.282	30
48	8190	49.12	30.71	200	0.058	0.316	0.167	1.458	0.23	0.24	0.717	0.707	0.283	0.293	30
49	8191	49.12	30.96	200	0.06	0.308	0.161	1.476	0.217	0.228	0.684	0.673	0.317	0.327	30
50	8192	49.12	31.21	200	0.052	0.314	0.164	1.466	0.22	0.227	0.679	0.668	0.321	0.332	30
51	8193	49.12	31.46	200	0.048	0.313	0.162	1.468	0.224	0.231	0.679	0.668	0.321	0.332	30
52	8194	49.12	31.71	199.999	0.051	0.309	0.157	1.473	0.217	0.226	0.672	0.66	0.328	0.34	30
53	8195	49.12	31.96	199.999	0.046	0.31	0.156	1.468	0.213	0.219	0.669	0.657	0.332	0.343	30
54	8196	49.12	32.21	199.991	0.047	0.305	0.151	1.48	0.206	0.215	0.644	0.632	0.356	0.369	30
55	8197	49.12	32.46	199.974	0.042	0.308	0.15	1.476	0.214	0.221	0.645	0.633	0.355	0.367	30
56	8198	49.12	32.71	198.885	0.049	0.312	0.146	1.467	0.219	0.224	0.627	0.617	0.373	0.383	30
57	8199	49.12	32.96	196.455	0.068	0.318	0.145	1.461	0.209	0.216	0.615	0.606	0.385	0.394	30
58	8200	49.12	33.21	199.507	0.042	0.314	0.148	1.472	0.215	0.221	0.639	0.628	0.361	0.372	30
59	8201	49.12	33.46	199.99	0.034	0.318	0.154	1.471	0.221	0.226	0.641	0.63	0.359	0.37	30
60	8202	49.12	33.71	199.981	0.032	0.324	0.161	1.461	0.231	0.235	0.672	0.661	0.328	0.339	30
61	8203	49.12	33.96	199.98	0.026	0.329	0.168	1.432	0.244	0.245	0.718	0.707	0.282	0.294	30
62	8204	49.12	34.21	199.978	0.026	0.325	0.162	1.452	0.233	0.236	0.677	0.666	0.323	0.334	30
63	8205	49.12	34.46	200	0.019	0.333	0.167	1.443	0.236	0.239	0.684	0.674	0.316	0.326	30
64	8206	49.12	34.71	200	0.018	0.342	0.173	1.415	0.246	0.247	0.703	0.693	0.297	0.307	30
65	8207	48.87	-1.54	199.989	0.121	0.311	0.147	1.487	0.202	0.218	0.671	0.651	0.329	0.349	30
