# Command file for Castanea
# Generated on Rstudio by user vandermeersch, on the 2023-06-23

# The filenames below are relative to the folder containing this command file
castaneaFileName	=	CastaneaSpecies_08_2021.txt
inventoryFileName	=	C:/Users/vandermeersch/Documents/CEFE/phd/hindcasting/simulation/castanea/run/inventory.txt

climateBaseName	=	D:/climate/HadCM3B_60Kyr_Climate/2023_dataset/castanea_format/025deg/5500BP/
climateExtension	=	.txt
simulationName	=	ind1_


#	siteId	gridName	latitude	longitude	soilHeight	stone	wfc	wilt	bulk	SOLCLAYtop	SOLCLAYsol	SOLFINtop	SOLFINsol	SOLSANDtop	SOLSANDsol	numberOfYears
1	9385	46.87	33.21	199.996	0.025	0.332	0.2	1.493	0.298	0.307	0.739	0.735	0.26	0.265	30
2	9386	46.87	33.46	199.994	0.031	0.325	0.191	1.495	0.287	0.299	0.723	0.721	0.277	0.279	30
3	9387	46.87	33.71	199.986	0.034	0.326	0.188	1.489	0.277	0.289	0.709	0.705	0.291	0.295	30
4	9388	46.87	33.96	199.998	0.02	0.339	0.205	1.481	0.299	0.312	0.743	0.741	0.256	0.259	30
5	9389	46.87	34.21	200	0.02	0.348	0.215	1.484	0.318	0.33	0.771	0.769	0.228	0.231	30
6	9390	46.87	34.46	200	0.019	0.351	0.218	1.484	0.324	0.335	0.785	0.781	0.215	0.218	30
7	9391	46.87	34.71	200	0.02	0.355	0.223	1.477	0.325	0.335	0.792	0.788	0.208	0.212	30
8	9392	46.62	-1.54	199.999	0.113	0.309	0.161	1.51	0.211	0.248	0.621	0.617	0.379	0.383	30
9	9393	46.62	-1.29	199.997	0.117	0.312	0.167	1.508	0.221	0.259	0.652	0.645	0.348	0.355	30
10	9394	46.62	-1.04	199.999	0.124	0.315	0.175	1.506	0.237	0.275	0.686	0.68	0.313	0.32	30
11	9395	46.62	-0.789999999999999	199.983	0.13	0.315	0.174	1.506	0.227	0.271	0.675	0.673	0.325	0.327	30
12	9396	46.62	-0.539999999999999	199.998	0.132	0.316	0.174	1.512	0.219	0.268	0.664	0.664	0.336	0.336	30
13	9397	46.62	-0.289999999999999	200	0.133	0.315	0.174	1.515	0.219	0.269	0.655	0.656	0.345	0.345	30
14	9398	46.62	-0.0399999999999991	199.998	0.136	0.321	0.183	1.518	0.245	0.294	0.703	0.703	0.297	0.297	30
15	9399	46.62	0.210000000000001	199.997	0.136	0.32	0.19	1.516	0.263	0.313	0.713	0.716	0.286	0.284	30
