# Command file for Castanea
# Generated on Rstudio by user vandermeersch, on the 2023-06-23

# The filenames below are relative to the folder containing this command file
castaneaFileName	=	CastaneaSpecies_08_2021.txt
inventoryFileName	=	C:/Users/vandermeersch/Documents/CEFE/phd/hindcasting/simulation/castanea/run/inventory.txt

climateBaseName	=	D:/climate/HadCM3B_60Kyr_Climate/2023_dataset/castanea_format/025deg/5500BP/
climateExtension	=	.txt
simulationName	=	ind1_


#	siteId	gridName	latitude	longitude	soilHeight	stone	wfc	wilt	bulk	SOLCLAYtop	SOLCLAYsol	SOLFINtop	SOLFINsol	SOLSANDtop	SOLSANDsol	numberOfYears
1	6034	52.37	1.21	200	0.118	0.321	0.16	1.467	0.231	0.248	0.549	0.539	0.451	0.462	30
2	6035	52.37	1.46	200	0.107	0.32	0.156	1.454	0.222	0.233	0.521	0.507	0.479	0.493	30
3	6036	52.37	1.71	200	0.102	0.322	0.151	1.453	0.206	0.211	0.51	0.493	0.49	0.507	30
4	6037	52.37	4.96	199.996	0.057	0.341	0.153	1.415	0.258	0.249	0.573	0.545	0.427	0.455	30
5	6038	52.37	5.21	199.995	0.062	0.317	0.14	1.435	0.213	0.206	0.488	0.462	0.512	0.538	30
6	6039	52.37	5.46	199.988	0.069	0.321	0.136	1.437	0.2	0.183	0.507	0.472	0.493	0.528	30
7	6040	52.37	5.71	199.997	0.077	0.287	0.116	1.449	0.127	0.12	0.36	0.335	0.64	0.665	30
8	6041	52.37	5.96	199.998	0.076	0.274	0.11	1.449	0.105	0.107	0.281	0.267	0.719	0.733	30
9	6042	52.37	6.21	199.999	0.055	0.268	0.109	1.465	0.109	0.111	0.282	0.263	0.718	0.736	30
10	6043	52.37	6.46	199.994	0.056	0.25	0.098	1.476	0.068	0.075	0.214	0.202	0.785	0.798	30
11	6044	52.37	6.71	199.999	0.055	0.246	0.097	1.486	0.065	0.073	0.217	0.205	0.783	0.794	30
12	6045	52.37	6.96	200	0.065	0.256	0.099	1.475	0.068	0.078	0.245	0.237	0.755	0.762	30
13	6046	52.37	7.21	200	0.07	0.257	0.099	1.471	0.07	0.081	0.253	0.25	0.747	0.75	30
14	6047	52.37	7.46	200	0.076	0.256	0.098	1.465	0.072	0.083	0.267	0.267	0.732	0.733	30
15	6048	52.37	7.71	199.998	0.092	0.274	0.107	1.473	0.096	0.112	0.383	0.384	0.617	0.616	30
16	6049	52.37	7.96	199.988	0.108	0.284	0.117	1.485	0.121	0.14	0.479	0.476	0.521	0.524	30
17	6050	52.37	8.21	199.995	0.115	0.295	0.124	1.482	0.132	0.15	0.517	0.513	0.483	0.487	30
18	6051	52.37	8.46	199.995	0.105	0.293	0.127	1.492	0.137	0.153	0.522	0.517	0.478	0.483	30
19	6052	52.37	8.71	199.997	0.098	0.286	0.124	1.496	0.13	0.145	0.483	0.48	0.517	0.52	30
20	6053	52.37	8.96	199.997	0.099	0.287	0.126	1.503	0.144	0.158	0.526	0.519	0.474	0.481	30
21	6054	52.37	9.21	199.922	0.119	0.298	0.135	1.507	0.154	0.171	0.59	0.582	0.41	0.418	30
22	6055	52.37	9.46	199.924	0.119	0.301	0.139	1.509	0.158	0.176	0.599	0.591	0.401	0.409	30
23	6056	52.37	9.71	199.986	0.099	0.288	0.132	1.505	0.149	0.164	0.542	0.536	0.458	0.464	30
24	6057	52.37	9.96	199.998	0.088	0.284	0.131	1.51	0.143	0.16	0.511	0.508	0.489	0.492	30
25	6058	52.37	10.21	199.999	0.081	0.279	0.129	1.513	0.133	0.15	0.495	0.491	0.505	0.509	30
26	6059	52.37	10.46	200	0.084	0.276	0.126	1.511	0.13	0.146	0.473	0.47	0.527	0.53	30
27	6060	52.37	10.71	200	0.105	0.293	0.136	1.507	0.151	0.169	0.556	0.554	0.444	0.446	30
28	6061	52.37	10.96	200	0.109	0.296	0.137	1.505	0.154	0.173	0.558	0.556	0.442	0.443	30
29	6062	52.37	11.21	200	0.102	0.283	0.123	1.499	0.125	0.143	0.463	0.466	0.536	0.533	30
30	6063	52.37	11.46	199.998	0.095	0.263	0.108	1.494	0.092	0.107	0.343	0.35	0.657	0.65	30
31	6064	52.37	11.71	199.994	0.081	0.256	0.106	1.5	0.095	0.11	0.309	0.316	0.69	0.684	30
32	6065	52.37	11.96	199.976	0.071	0.25	0.103	1.504	0.089	0.104	0.275	0.282	0.724	0.718	30
33	6066	52.37	12.21	199.961	0.075	0.246	0.1	1.495	0.077	0.093	0.242	0.25	0.757	0.75	30
34	6067	52.37	12.46	199.996	0.081	0.248	0.1	1.495	0.075	0.09	0.248	0.254	0.752	0.746	30
35	6068	52.37	12.71	199.964	0.078	0.249	0.102	1.497	0.08	0.095	0.262	0.268	0.737	0.732	30
36	6069	52.37	12.96	199.856	0.083	0.249	0.102	1.489	0.079	0.092	0.253	0.257	0.747	0.743	30
37	6070	52.37	13.21	199.959	0.08	0.254	0.107	1.486	0.092	0.103	0.267	0.269	0.733	0.731	30
38	6071	52.37	13.46	199.954	0.081	0.258	0.113	1.491	0.107	0.118	0.296	0.299	0.704	0.701	30
39	6072	52.37	13.71	199.911	0.094	0.241	0.099	1.492	0.068	0.08	0.211	0.213	0.789	0.787	30
40	6073	52.37	13.96	199.983	0.099	0.238	0.096	1.497	0.06	0.073	0.2	0.205	0.799	0.795	30
41	6074	52.37	14.21	199.998	0.094	0.245	0.1	1.51	0.079	0.094	0.26	0.267	0.739	0.732	30
42	6075	52.37	14.46	199.999	0.087	0.254	0.107	1.508	0.102	0.116	0.316	0.32	0.684	0.68	30
