# Command file for Castanea
# Generated on Rstudio by user vandermeersch, on the 2023-07-07

# The filenames below are relative to the folder containing this command file
castaneaFileName	=	fagus_cmaes_output_subset1_rep2.txt
inventoryFileName	=	C:/Users/vandermeersch/Documents/CEFE/phd/hindcasting/simulation/castanea/run/inventory.txt

climateBaseName	=	D:/climate/HadCM3B_60Kyr_Climate/2023_dataset/castanea_format/025deg/1500BP/
climateExtension	=	.txt
simulationName	=	ind1_


#	siteId	gridName	latitude	longitude	soilHeight	stone	wfc	wilt	bulk	SOLCLAYtop	SOLCLAYsol	SOLFINtop	SOLFINsol	SOLSANDtop	SOLSANDsol	numberOfYears
1	6786	51.62	30.46	199.999	0.042	0.281	0.117	1.504	0.112	0.125	0.408	0.401	0.592	0.599	30
2	6787	51.62	30.71	199.996	0.044	0.278	0.114	1.492	0.111	0.123	0.414	0.406	0.585	0.594	30
3	6788	51.62	30.96	199.999	0.037	0.28	0.124	1.517	0.132	0.143	0.497	0.49	0.502	0.51	30
4	6789	51.62	31.21	199.999	0.037	0.289	0.129	1.512	0.146	0.159	0.537	0.531	0.463	0.469	30
5	6790	51.62	31.46	200	0.035	0.296	0.131	1.507	0.148	0.161	0.545	0.539	0.455	0.461	30
6	6791	51.62	31.71	200	0.039	0.3	0.131	1.5	0.144	0.157	0.53	0.524	0.47	0.476	30
7	6792	51.62	31.96	200	0.04	0.303	0.134	1.504	0.145	0.158	0.548	0.542	0.452	0.458	30
8	6793	51.62	32.21	200	0.037	0.304	0.132	1.5	0.149	0.163	0.548	0.542	0.451	0.457	30
9	6794	51.62	32.46	200	0.04	0.302	0.128	1.498	0.141	0.154	0.524	0.517	0.476	0.483	30
10	6795	51.62	32.71	199.999	0.048	0.298	0.123	1.495	0.127	0.139	0.489	0.48	0.511	0.52	30
11	6796	51.62	32.96	200	0.05	0.299	0.126	1.49	0.138	0.15	0.526	0.517	0.474	0.483	30
12	6797	51.62	33.21	199.998	0.044	0.291	0.127	1.499	0.141	0.155	0.532	0.524	0.468	0.476	30
13	6798	51.62	33.46	199.999	0.054	0.286	0.123	1.499	0.124	0.141	0.514	0.505	0.486	0.494	30
14	6799	51.62	33.71	199.999	0.053	0.292	0.129	1.484	0.142	0.158	0.58	0.571	0.419	0.429	30
15	6800	51.62	33.96	200	0.045	0.297	0.135	1.476	0.161	0.179	0.648	0.639	0.352	0.36	30
16	6801	51.62	34.21	200	0.04	0.301	0.14	1.463	0.176	0.194	0.682	0.673	0.318	0.327	30
17	6802	51.62	34.46	200	0.044	0.309	0.147	1.458	0.196	0.213	0.723	0.715	0.277	0.285	30
18	6803	51.62	34.71	200	0.048	0.308	0.143	1.464	0.195	0.21	0.693	0.682	0.307	0.318	30
19	6804	51.37	-2.79	198.952	0.144	0.332	0.163	1.436	0.228	0.236	0.612	0.597	0.388	0.403	30
