#	Constant	and	species	specific	parameter	of	CASTANEA	model	for	different	species																																																																																																				
MRN	=	0.0011																																																																																																													
QDIX	=	2.1																																																																																																													
tc	=	0.5																																																																																																													
Tbase	=	15																																																																																																													
Oi0	=	205																																																																																																													
Ko0	=	248																																																																																																													
Kc0	=	404																																																																																																													
cVc	=	26.35																																																																																																													
cVo	=	22.98																																																																																																													
cKc	=	404.9																																																																																																													
cKo	=	278.4																																																																																																													
cgama	=	42.75																																																																																																													
EaKc	=	79430																																																																																																													
EaKo	=	36380																																																																																																													
EaVc	=	65330																																																																																																													
EaVo	=	60110																																																																																																													
Eagama	=	37830																																																																																																													
rdtq	=	0.24																																																																																																													
coefbeta	=	2.2																																																																																																													
KAR	=	0.4																																																																																																													
Cd	=	0.2																																																																																																													
Zosol	=	0.001																																																																																																													
K1	=	3.9																																																																																																													
K2	=	4.9																																																																																																													
K3	=	7.3																																																																																																													
K4	=	6																																																																																																													
K5	=	14.8																																																																																																													
K6	=	18.5																																																																																																													
K7	=	0.2																																																																																																													
K8	=	0.0045																																																																																																													
Cph	=	1.01																																																																																																													
R	=	8.3144621																																																																																																													
IO	=	1370																																																																																																													
gsolmax	=	0.003																																																																																																													
gsolmin	=	7.75E-05																																																																																																													
emsg	=	0.96																																																																																																													
Alit	=	0.28																																																																																																													
Asoil	=	0.39																																																																																																													
#	Respiration	Allometric	Radiatif	budget	Hydrology	Photosynthesis	Phenology																																																																																																								
#speciesCode	speciesName	CRF	CRRG	CRRF	CRBV	Crrepro	tronviv	branviv	rgviv	Lignroots	LIGNrl	LIGNll	LIGNfb	LIGNcb	LIGNcr	TGSS	Nitrogen	NRG	NRF	NBR	NTV	NSS	Nrepro	potToWood	GBVmin	TMRF	ratioBR	RS	coefrac	ratioG	TMBV	SF	LMA0	KLMA	alphal	alphab	CrownArea1	CrownArea2	CoefLAI1	CoefLAI2	CoefLAI3	aDBH	bDBH	aGF	bGF	Phi	ros	logaRDI	bRDI	clumping	RauwPIR	RauwPAR	RaufPIR	TaufPIR	RaufPAR	TaufPAR	emsf	Tleaf	Tbark	CIA	CIB	propec	g0	g1	RSoilleaf	CapSoilleaf	P50	P50Roots	pleafMin	Kplantini	EaVJ	ETT	JMT	NC	teta	TBASEA	TBASEB	TBASEC	NSTART	NSTART3	TSUMBB	HSUMFL	HSUMLMA	TSUMLFAL	SmatchDelay	SShape	Rec0	frec0	T1rec	T2rec	T3rec	T6rec	fa0	fd0	ffrost	woodStop	FHminfe	FHmax	decidue	cohorLeaves	reservesToReproduce	reservesToMortality	reserveToLeafFall	BSSminCrit	rateOfSeed	rateOfSeedJourne	seedMass_mg	seedMass_mu	auxiliaryReproStructure	seedMortality	seedsperFruit
1	Abies alba	1.22	1.41	1.42	1.41	1.384	0.0322	0.05474	0.05474	25	0.38	0.38	0.35	0.35	0.38	0.0722	1.04	0.37	0.74	0.54	0.098	0.04	0.876	-1.5	0.42	1.17	0.169	0.183	0.63	0.22	3.56E-05	252.6	252.99	0.0729	11.85	75.9	0.08151	0.69535	1.5	0.45	0.3	-3.4687	1.9428	2.232	0.645	0.52	353	12.621	-1.779	0.4	0.314	0.135	0.3317	0.264	0.086	0.0376	0.97	0.5	0.1	2.2	1.7	1	0.00247	6.5	28747	0.04	-3.79	-3.78	-2.13	0.34	37000	710	220000	16.7	0.7	1	0	20	10	213	586	350	1000	100	120	3	150	0.1	0	-3	-4	-5	0.3	0.05	0.15	300	-6.5	-30	2	11	200	50	50	50	0.2	0.003	79	0.01643	0.844	0.003	258.3
