# Command file for Castanea
# Generated on Rstudio by user vandermeersch, on the 2023-06-23

# The filenames below are relative to the folder containing this command file
castaneaFileName	=	CastaneaSpecies_08_2021.txt
inventoryFileName	=	C:/Users/vandermeersch/Documents/CEFE/phd/hindcasting/simulation/castanea/run/inventory.txt

climateBaseName	=	D:/climate/HadCM3B_60Kyr_Climate/2023_dataset/castanea_format/025deg/5500BP/
climateExtension	=	.txt
simulationName	=	ind1_


#	siteId	gridName	latitude	longitude	soilHeight	stone	wfc	wilt	bulk	SOLCLAYtop	SOLCLAYsol	SOLFINtop	SOLFINsol	SOLSANDtop	SOLSANDsol	numberOfYears
1	4693	55.12	26.21	199.949	0.094	0.299	0.116	1.455	0.107	0.122	0.399	0.392	0.601	0.608	30
2	4694	55.12	26.46	199.974	0.081	0.31	0.123	1.434	0.126	0.141	0.452	0.447	0.548	0.553	30
3	4695	55.12	26.71	199.992	0.079	0.311	0.123	1.436	0.117	0.132	0.439	0.435	0.561	0.565	30
4	4696	55.12	26.96	199.996	0.076	0.31	0.122	1.438	0.115	0.13	0.429	0.424	0.571	0.576	30
5	4697	55.12	27.21	199.998	0.076	0.308	0.12	1.424	0.11	0.125	0.411	0.406	0.589	0.594	30
6	4698	55.12	27.46	199.999	0.073	0.311	0.122	1.427	0.118	0.133	0.437	0.432	0.564	0.568	30
7	4699	55.12	27.71	199.998	0.073	0.314	0.126	1.45	0.125	0.139	0.462	0.457	0.538	0.543	30
8	4700	55.12	27.96	199.982	0.069	0.31	0.121	1.435	0.119	0.132	0.438	0.431	0.562	0.569	30
9	4701	55.12	28.21	199.982	0.075	0.304	0.115	1.435	0.104	0.117	0.411	0.402	0.589	0.598	30
10	4702	55.12	28.46	199.997	0.073	0.302	0.115	1.442	0.107	0.121	0.422	0.413	0.578	0.587	30
11	4703	55.12	28.71	199.999	0.069	0.305	0.117	1.43	0.11	0.122	0.424	0.416	0.576	0.584	30
12	4704	55.12	28.96	199.997	0.065	0.312	0.12	1.411	0.116	0.127	0.444	0.436	0.556	0.564	30
13	4705	55.12	29.21	199.999	0.065	0.31	0.119	1.406	0.114	0.125	0.432	0.424	0.568	0.576	30
14	4706	55.12	29.46	200	0.062	0.311	0.12	1.404	0.115	0.127	0.431	0.424	0.569	0.576	30
15	4707	55.12	29.71	200	0.06	0.314	0.122	1.404	0.124	0.135	0.455	0.447	0.546	0.553	30
16	4708	55.12	29.96	200	0.064	0.311	0.12	1.405	0.124	0.135	0.457	0.448	0.543	0.552	30
17	4709	55.12	30.21	200	0.066	0.31	0.122	1.411	0.131	0.142	0.475	0.464	0.525	0.536	30
